"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"2f39508cce35674d0aa34f21ca9979eec2af5172","2017-06-19T10:25:46Z","0","0","0","0","0","0","0"
"0cddef506dc0d7bdbba6078ee7cb12615b8b731c","2017-05-02T02:02:56Z","0","0","0","0","0","1","0"
"fd9e0870c86319a7c867bc5752942b1787be6a9d","2017-04-28T06:30:56Z","0","0","0","0","0","1","0"
"32827763e1d3415cf6250dc686e130585d072a67","2017-03-29T07:35:36Z","0","0","0","0","0","0","0"
"7e55fae49b5184f503294bd5a35055e80ed9921b","2017-03-28T07:54:30Z","0","0","0","0","0","0","0"
"ea64efba75fe549add224166e44615c0f2e847b4","2017-03-27T04:24:35Z","0","0","0","0","0","0","0"
"fb604c99e43874e62a739b568cb4a33d5da8c6f1","2017-03-27T04:20:20Z","0","0","0","0","0","0","0"
"b1e1600486a8498761b1e11a5a0a5a6d610f217c","2017-01-16T09:52:46Z","0","0","0","0","0","0","0"
"1d1a436582a06ca7e286acd1952e32486edad9cf","2017-01-16T09:50:58Z","0","0","0","0","0","0","0"
"2c669046113af5c7d2eeac355fab5fcb01da4b9a","2017-01-16T09:43:13Z","0","0","0","0","0","1","0"
"9eddca7858237788cc0bcb75f29ec65e7ab322cc","2017-01-16T09:25:16Z","4","33","16","49","1","0","0"
"19ed25e6953645f1f400f8b4675e4e7c5316711b","2016-11-11T12:18:06Z","0","0","0","0","0","1","0"
"1bb66712566ff0f263831aeba4fd73ef06e48858","2016-11-11T12:00:55Z","1","18","0","18","1","0","0"
"b9c5f4dab30b32247dd549437cbaa44b34c2d979","2016-11-07T11:27:25Z","1","1","1","2","1","0","0"
"dfed7a707725c51b03db8ecac8504891794f1157","2016-11-06T13:04:09Z","0","0","0","0","0","0","0"
"b6d7c1c251e18e5bdff4fe8526ae88f40874e9c8","2016-11-06T12:50:02Z","0","0","0","0","0","0","0"
"d5644b1e495c27ad11de18d9c9f96c4b405a9eef","2016-11-06T12:48:49Z","6","77","18","95","1","1","0"
"84f12e427c7eacbeea6b902ac7a72c4455f7b7f8","2016-10-31T01:26:15Z","0","0","0","0","0","1","0"
"6e4fb7f7ec0cf7b7106f9624988756cd6a589c36","2016-10-31T01:12:36Z","1","1","1","2","1","0","0"
"84cc692a3d4427a6f0cf5baefe6110060459e6f0","2016-10-31T01:12:17Z","1","48","35","83","1","0","0"
"e827f80b90e017b67641ffe0f93970440fe78a6d","2016-10-31T01:02:57Z","11","213","31","244","1","1","0"
"75f6ab3ddd4787aa1023bbe2b27f408768ea5839","2016-10-25T01:39:43Z","0","0","0","0","0","1","0"
"5184f0883616685d1c63568767a5560913267483","2016-10-14T07:58:02Z","5","72","7","79","1","0","0"
"c497be970d4bf413711f1ad3c19ba5ca08fd020f","2016-10-14T02:45:30Z","0","0","0","0","0","1","0"
