"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"d509da002a295de9df79cd61fb50b2d25ebc67ca","2018-08-20T03:48:14Z","1","1","1","2","1","0","0"
"912de53db2b0bf7e8dcc4ba0f79e8ee5f324ddee","2018-08-20T03:46:24Z","0","0","0","0","0","0","0"
"2ca9e83d6f39318a85da4f2f5eea5e0f775d25fa","2018-08-20T03:21:53Z","0","0","0","0","0","1","0"
"af0eeee5f51253bfacc79dea6add1fec67d891dd","2018-08-20T03:03:05Z","1","1","1","2","1","0","0"
"c6e24abdf3dc6c27fe2bdd415c3b1ac96e1b3f6b","2018-08-20T02:41:26Z","1","3","0","3","1","0","0"
"3aed691a53c776974e8df3fac5ea1b277c43e1a0","2018-08-20T02:27:31Z","1","2","2","4","1","0","0"
"9a4b8c180b9fb6062928397dc011050932b18401","2018-08-10T10:17:31Z","1","32","3","35","1","0","0"
"b5c9551814e8fe57049ae56c0162e8ab7a0571bc","2018-08-10T07:45:57Z","1","1","1","2","1","0","0"
"f8605577918fbae5dd3f671c719d47b84073f65a","2018-07-04T01:39:50Z","1","3","3","6","1","0","0"
"8c85e1fa9898e812e5aad7175f6634756565a7bd","2018-07-04T00:34:53Z","1","3","3","6","1","0","0"
"058886ae3daa25f1f6269cf40b8dfec0e4a402e3","2018-06-11T03:51:00Z","0","0","0","0","0","1","0"
"cfc278eb0efcad51f273a01b88a12b6fd39c20d6","2018-06-10T08:21:24Z","0","0","0","0","0","0","0"
"ff0c1550e730cae39c1edb2e34fae1d0c0ed31dc","2018-06-10T08:07:05Z","1","6","0","6","1","1","0"
"9bada255eb779180b7b501c4b5f759f6fa2c75bd","2018-06-10T08:01:11Z","1","9","0","9","1","0","0"
"92c4630d3aa84e237d969d4809bd0b7dc5cdd9db","2018-06-10T08:00:58Z","1","3","4","7","1","0","0"
"fac8aa3afee3295fe90a036e9dbed010a1c903f3","2018-06-06T02:38:16Z","0","0","0","0","0","0","0"
"f81c58ab3ff90b6a4e14a1c42cd39003eb2a0e85","2018-06-06T02:34:50Z","1","6","2","8","1","0","0"
"e6f5d686f47c471f72c08977d2619c58ddc61031","2018-06-05T14:42:42Z","0","0","0","0","0","0","0"
"173872d404d74eebc77ad8c43616e6326c43df4e","2018-06-05T14:39:35Z","1","7","2","9","1","0","0"
"da30b749ab2b825629f5c0f9fbac3572cfccb88b","2018-06-04T11:04:24Z","0","0","0","0","0","0","0"
"2923c4c91f05ebfc621a005ea2af2c512505f4dd","2018-06-04T08:35:43Z","1","2","4","6","1","0","0"
"78742445591ad10f38d826403faf6471bd021cb5","2018-06-04T08:32:41Z","1","19","25","44","1","0","0"
"dc5edd1919f3dec6a9048a1a4194a53ef17ad39f","2018-06-04T07:58:49Z","1","50","1","51","1","0","0"
"78b92de2becca7f0b3cc9cf772a8d86e73222ae9","2018-06-04T07:13:41Z","1","50","1","51","1","0","0"
"0f6d1bc206c8bf7ff9b50a0356f93d41de1b62bc","2018-06-02T12:25:24Z","0","0","0","0","0","0","0"
"52ff87f7aee00bfe1a3fd9aeb5b070bcdd3954b0","2018-06-02T05:54:05Z","0","0","0","0","0","0","0"
"a26787e55302242b38059bd7981ebb89dd8fbaae","2018-06-02T05:39:18Z","7","299","267","566","1","0","0"
"6516df68e04e5f99413e7b61a8fe7895ae24646f","2018-05-30T09:10:38Z","0","0","0","0","0","0","0"
"e8fa12787e41a1f2e4dfdec598625b7cb05c0e63","2018-05-30T08:47:17Z","6","350","3","353","1","0","0"
"29f6f02d7d99e94d39778c7ee8138cdbb815064d","2018-05-30T08:44:00Z","0","0","0","0","0","0","0"
"8a8428af00b91e93269cdd7f3def733a37115ecc","2018-05-30T08:28:42Z","12","664","79","743","1","0","0"
"f34553061fefdbde186da22cb20fed324e1cee28","2018-05-29T10:06:49Z","1","4","7","11","1","0","0"
"fa3dde111547611995635a3b0e182e29b318b432","2018-05-29T06:04:55Z","11","173","135","308","1","0","0"
"80fad3208ec12c721ec26879adaa78dd164db917","2018-05-29T05:54:54Z","0","0","0","0","0","0","0"
"4f57e86ae0605b5f1dee3c7d6fa992f114640cb8","2018-05-28T15:20:50Z","1","11","3","14","1","0","0"
"960e1f4f911e0f1384638f88c322edf7dc866b00","2018-05-12T14:10:59Z","0","0","0","0","0","0","0"
"1c2155f7c4b161fb923a70f3efa44d187aa7dbfd","2018-05-12T13:14:12Z","0","0","0","0","0","0","0"
"6bc09e95933ed18eb336f8ad088a4949a14a5e6c","2018-05-12T13:14:12Z","4","192","59","251","1","0","0"
"0e90cedab2a8c5eb3e48d1c2c1e005b6a078a779","2018-05-12T13:14:11Z","13","298","104","402","1","0","0"
"166298cea966103a3c8909fe439f09b0a15fc51e","2018-05-12T13:14:11Z","1","0","4","4","1","0","0"
"0abe40707643b44d0956e6e230795e2f6c17a373","2018-05-12T13:14:11Z","3","87","318","405","1","0","0"
"eca0b6a90f6f13b933ef0af0b51aa3fb593cf2f9","2018-05-12T13:14:11Z","1","162","10","172","1","0","0"
"c55e77fe93682ce60219eed47b10f98d0fb02c34","2018-05-12T13:14:11Z","1","2","2","4","1","1","0"
"22ac2eb91c0a30673f9c37bf1d4f743440296567","2018-05-12T13:13:00Z","8","59","68","127","1","0","0"
"b2db98bf3aeb9b89d91184a03160d14e75b722fd","2018-04-29T04:16:02Z","2","80","0","80","1","0","0"
"97dcc51df3898d0065158809061e4a8f63a8b36a","2018-04-29T04:15:28Z","1","6","1","7","1","0","0"
"8286a38b487f0118b7e9175c62fcd84291b3ec45","2018-04-29T03:48:09Z","2","15","7","22","1","0","0"
"84b3ddc4c8297861fc5db83845cc7f44aa4d49c0","2018-04-29T03:36:00Z","21","718","153","871","1","0","0"
"29b0319181e776321b638c0648993fcb70f8946d","2018-04-29T03:33:38Z","1","1","1","2","1","0","0"
"c4daf3731bc7c7ea34d01311fd52088c88fa9b20","2018-04-29T03:07:15Z","1","33","2","35","1","0","0"
"a4f11a7d0de7800dee62ea05fdc49acaef4af161","2018-04-28T05:57:33Z","22","433","188","621","1","0","0"
"a8446c56febf674ef0fc0ebc5a57573717a01dc5","2018-04-28T03:21:16Z","1","53","0","53","1","0","0"
"a327848bed43e5b5bd6813aeb26d9ee9c80811e1","2018-04-28T03:17:40Z","1","6","4","10","1","0","0"
"e6012b7dbf7b37754710ac51b32b3d91f18250d9","2018-04-26T06:13:11Z","1","6","6","12","1","0","0"
"a8bc108adfb140f432203e18d18893dd2a14c697","2018-04-26T06:06:58Z","1","1","0","1","1","1","0"
"20d50f432a3c260818eaba4a55d2e9efc867f3d9","2018-04-26T05:49:22Z","2","5","5","10","1","0","0"
"d26e12524d3b3d4dbb7179b21cc649d55987a37c","2018-04-26T04:36:24Z","1","6","1","7","1","0","0"
"ecfec2df25e42b6b53cb9ec0d96b9b9196664063","2018-04-26T04:32:03Z","0","0","0","0","0","0","0"
"aa95d03ed1ffa3645c6dc3f071765cc9c553878f","2018-04-26T04:30:36Z","0","0","0","0","0","1","0"
"af67ffe7574a389bb4622ad54bec147dc0ed461e","2018-04-26T03:45:24Z","1","6","1","7","1","0","0"
"0b25af88c8802108ecbb369c6deb2f5e11a06df1","2018-04-26T03:32:23Z","0","0","0","0","0","0","0"
"50a543fdb0ae74510804bb9f3c32e630b5609675","2018-04-19T15:38:54Z","1","6","1","7","1","0","0"
"653fee440dff4e9deb8636d0226edf231d263df1","2018-03-27T02:38:23Z","0","0","0","0","0","0","0"
"84e19c60e3724761afbe922de1a1c07f97423bbd","2018-03-27T02:34:01Z","0","0","0","0","0","0","0"
"c8ad797aeb47c17f264fadda1f701675f03f7801","2018-03-27T02:32:57Z","1","1","1","2","1","0","0"
"f087b8648bdeb9d972074adeb482f34c85b47c67","2018-03-27T02:25:32Z","2","19","14","33","1","0","0"
"4924113881ba5cfff6fc619ade787483e87f4637","2018-03-27T02:25:16Z","2","0","144","144","1","0","0"
"33ff64a7ea933627efbfdb73383e0676f36b696d","2018-03-27T02:06:18Z","0","0","0","0","0","1","0"
"fada40d81ccab9c4ed5c40f6e31f5a38450148f5","2018-03-26T15:57:37Z","1","1","1","2","1","0","0"
"2560e2610943e634a97d216a9696908957b86a74","2018-03-26T15:38:10Z","0","0","0","0","0","1","0"
