"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"421241d8e2257392c3f0c624dcb261c9000d8074","2018-08-21T09:39:47Z","0","0","0","0","0","0","0"
"54156afd19f754ff708a7abf579cd5b7c36310e1","2018-07-16T12:46:28Z","0","0","0","0","0","0","0"
"cba310c0fde20a819186c14b59ab9c1409c52382","2018-06-01T11:57:05Z","1","3","0","3","1","0","0"
"1bf68d4b7992655a9c755e7afb824f8847df1672","2018-04-06T14:04:10Z","0","0","0","0","0","1","0"
"092a39533aa760472299a442773c7e2eee404de8","2018-04-06T13:30:30Z","0","0","0","0","0","0","0"
"5ce4985b2c1a0556416025b821a06aed537dd269","2018-04-06T13:21:50Z","0","0","0","0","0","0","0"
"848f6120a1a2bdcbab96b54ea2910303a57a8741","2018-04-06T13:05:51Z","0","0","0","0","0","1","0"
"0c7ade1f3c1464318e2a1047862ee0dfa2f9707c","2018-04-06T08:55:17Z","0","0","0","0","0","0","0"
"ab04de6039ed37762805398bf942455bca422429","2018-04-06T08:55:04Z","0","0","0","0","0","0","0"
"839806c5ca6bdedcffa52ef31ec91fe9a1ec5104","2018-04-06T08:54:35Z","0","0","0","0","0","0","0"
"f54f7783fa895528bf25796c3159161e79d8397e","2018-04-06T08:52:53Z","1","1","1","2","1","0","0"
"391d3cab8410d0eaadcd717bf644016214e993dc","2018-04-06T08:52:29Z","0","0","0","0","0","0","0"
"b8a492e0fe4a4313329d7596d2a9277347487821","2018-03-19T19:12:23Z","0","0","0","0","0","0","0"
"fb942380451f30a6ef7ea4bbbde161e2f9b3f70b","2018-03-15T14:22:25Z","1","1","1","2","1","0","0"
"f0337f08f1dc2a719fd364708088ecc8e1d3a76d","2018-02-06T08:42:14Z","0","0","0","0","0","0","0"
"2debbd692b6395a9a4679341b735ad7515712bd8","2018-02-05T23:52:15Z","0","0","0","0","0","0","0"
"3863da46ff87af725d4e67e9d31cc9b5e339eaf5","2018-01-17T07:20:44Z","0","0","0","0","0","0","0"
"a68af94e5960577548fc47a4686d1a47d906d943","2017-12-16T11:57:56Z","0","0","0","0","0","0","0"
