"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"9c05725aaf2391874c13cfec0267e99b936b77e1","2018-08-07T03:06:38Z","1","5","5","10","1","0","0"
"2310b1f03dd003227b4da9e898602ee61e0bc454","2018-08-07T03:04:34Z","0","0","0","0","0","0","0"
"0926e0363e3f38fb14daca189f7ca81f6451f96e","2018-08-07T03:04:15Z","1","11","31","42","1","1","0"
"807fbad03ce573c7f3f8cdb315a167ad15aaa0a2","2018-07-24T02:59:35Z","0","0","0","0","0","0","0"
"400affbc60e1a7392617032483616b9fe8b5b3e2","2018-07-24T02:58:49Z","0","0","0","0","0","0","0"
"b3d9285d5cdb0c4ed5705cd018ede462d39ca7a5","2018-07-12T02:20:16Z","2","6","78","84","1","1","0"
"ff13fe9384ad4aeaa72a6bb7d5af1314a52db3ff","2018-07-11T03:41:33Z","1","3","0","3","1","0","0"
"b3b86cb17118eb64db4c6621e51294daf68c0a17","2018-07-11T03:35:20Z","1","3","0","3","1","0","0"
"53c2316d69dd8fb9b6a6aa69dcf848fa46859879","2018-07-02T03:50:00Z","1","8","1","9","1","0","0"
"82cc78fb43ad797caf663b7eceb2ab3db809a4fd","2018-06-12T14:55:02Z","1","8","1","9","1","0","0"
"ba53b06c678577c0336d17fb98f6185d8b74cebe","2018-06-07T13:19:49Z","1","3","3","6","1","0","0"
"a79b35e269dc0c751cdd13e3c62853724d90aef8","2018-06-05T13:28:46Z","0","0","0","0","0","0","0"
"6a2461401aa439715347b60c8dee75550454ed08","2018-06-05T13:15:40Z","0","0","0","0","0","1","0"
"08ce1110e05e6d2596c35a549b0546a80ba6b79c","2018-06-05T13:14:52Z","1","6","13","19","1","0","0"
"c7578450da5a843d65fe78af8516e3b028bd8d79","2018-04-14T10:13:22Z","3","47","46","93","1","1","0"
"d7d29d9a1f74e92edc88333845880a63dac7e1e3","2018-04-10T07:06:33Z","0","0","0","0","0","0","0"
"25c631dd39e63a9cbf3ea9239748cadaa4cb9a5a","2018-04-10T06:41:32Z","0","0","0","0","0","0","0"
"f367fec2ee7fc0103b5fc7a7ff78fff6bd81cbbe","2018-04-02T05:16:50Z","0","0","0","0","0","0","0"
"cb7a68d98e49909b2b386be69f34b99b472897b8","2018-04-02T05:15:14Z","1","19","18","37","1","1","0"
"ddfba54cc2f98afd26c398d35bc39e381a0a44f2","2018-04-02T01:21:40Z","0","0","0","0","0","0","0"
"2f43d460a43328472a87b26db65be4646ca65730","2018-04-02T01:19:41Z","0","0","0","0","0","0","0"
"f8d803b9778f1b7e0c5de24d2b4499811706c8fd","2018-04-02T01:19:03Z","0","0","0","0","0","0","0"
"de10e006b7f7fee51a45e7e129719dc8125aede0","2018-03-31T09:15:20Z","1","1","1","2","1","0","0"
"d6884097a29598e41d20ad8a052f77121e65d0f6","2018-03-31T09:14:37Z","1","7","2","9","1","0","0"
"58862713f78572859f6a0944f670ba17c8da6485","2018-03-31T03:58:24Z","1","7","8","15","1","0","0"
"8798c80f895539518352727e0e4b8dfbe7e046d6","2018-03-30T06:28:44Z","4","32","16","48","1","0","0"
"5c244b0003e559c8076e702fe34f502c2bb1fcee","2018-03-27T03:45:24Z","0","0","0","0","0","1","0"
"c61aa916fc856e6f4e40247690ddb01be27024e9","2018-03-26T10:36:34Z","1","1","1","2","1","0","0"
"25e23dfb5b97160e01935569e15c7d771f4da6a9","2018-03-26T10:28:31Z","2","4","6","10","1","1","0"
"f662aced98bae1133bfc521133c60a471e6c9557","2018-03-26T03:38:15Z","1","4","4","8","1","0","0"
