"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"690e2cf3cfa65506cd8a6d176f7c0c0e2beebb8e","2018-06-28T23:15:17Z","0","0","0","0","0","0","0"
"d84cb4db3039ac31af63dba79a4cee5887280a5d","2018-06-28T20:49:09Z","0","0","0","0","0","1","0"
"408e6a2741a20a890efe58ce032ab4a111862dfa","2018-06-28T19:39:45Z","1","31","2","33","1","0","0"
"e08bbc19b286a2982bda975488a9c1d56e9754c4","2018-06-28T19:39:24Z","1","19","27","46","1","0","0"
"119129bfddd66c0f35aedfb261afeb2fa1201b04","2018-06-28T18:53:19Z","1","38","1","39","1","0","0"
"b5a4544f8662d073ca1209735b7db2aa7376f3cd","2018-06-28T18:52:39Z","4","57","1","58","1","0","0"
"47e38cfbaee5cffe10f8880e0ca45d4e33075a0c","2018-06-28T18:52:21Z","3","8","7","15","1","0","0"
"cc068158be1001a74fd333522dfac39433bdbeb7","2018-06-28T18:11:08Z","4","56","1","57","1","0","0"
"fddf1359aaa9e1d5570bc7f485fdd41ac5df4595","2018-06-21T22:42:28Z","1","38","1","39","1","0","0"
"a352e4a11c2f7943dab2509bbba5cff324333a17","2018-04-09T06:20:30Z","4","13","13","26","1","0","0"
"389c1e4a8d63014f16c14d4a1e202d2f7c10e3be","2018-04-07T10:18:26Z","7","317","36","353","1","0","0"
"c0ff2926e1a1b487dae939acdf4ebeacfa42d668","2018-04-03T10:57:35Z","4","56","1","57","1","0","0"
"af4d4b2fba9bf80a591b3bb6e7f5b8e23e5aa476","2018-01-06T16:45:17Z","3","45","13","58","1","1","0"
"828f7208185e0e396ed7a199679554c6a53aa879","2017-12-15T21:48:45Z","2","37","4","41","1","1","0"
"a47595799112d1d74a442a774b5eefdee179012b","2017-11-18T17:10:01Z","2","7","7","14","1","1","0"
"9f7c87ce60d77aba4405947694841a7cb8ce1edd","2017-11-15T20:43:35Z","6","55","44","99","1","1","0"
"624bceab445269a67a054a3640a404dd4666f8d9","2017-11-12T12:18:42Z","0","0","0","0","0","1","0"
"2f35f0f845a1a858e7b126c4b2e8b45cc23fceb2","2017-11-12T11:49:47Z","1","28","81","109","1","0","0"
"28382bbc1e4b7fc1600e695c71c94414d4a6dfcf","2017-11-12T11:29:48Z","18","1188","678","1866","1","0","0"
"46e2dde664964efae35c2c0dec5d22ef24f4c752","2017-11-11T17:30:08Z","1","3","0","3","1","1","0"
"af4ba89f80c889dfb468a8b6366255ea43629833","2017-10-31T20:44:32Z","0","0","0","0","0","0","0"
"4050f24cd90b108d920c149571e843f8b65fc2b6","2017-10-30T23:46:00Z","0","0","0","0","0","0","0"
"499ffbc77f5f031d4166c1c544b28aeeb7b7cc94","2017-10-30T23:42:46Z","5","184","28","212","1","1","0"
"69f73986c0a4604b90a25a646cf0bd8c31e74069","2017-08-30T17:45:24Z","0","0","0","0","0","1","0"
"8259993eab040a0ab35609a2960298b2218806c3","2017-08-30T17:42:25Z","1","4","0","4","1","0","0"
"12f1745d53512f14b11ef1d4ccea96d0c62022d5","2017-08-30T16:55:40Z","1","3","2","5","1","0","0"
"a372a8b305e9b669d047f852b1e78b81488f81c6","2017-08-30T16:53:22Z","1","3","0","3","1","0","0"
"9dba1971e366d895f8653c71ba5a0a13c36e768a","2017-08-30T16:52:46Z","3","65","6","71","1","0","0"
"44c09c9c7bb6929ee4b930fda2393d1727c3a7c3","2017-08-30T16:51:57Z","2","5","5","10","1","0","0"
"2e9bb6c281eedd8a9d327614e424da60dee57e7f","2017-08-04T07:07:49Z","1","1","1","2","1","0","0"
"868cc82fdf315278e2e49b66bf1eb65ba191d114","2017-08-04T07:04:23Z","1","3","0","3","1","0","0"
"c94c03444c44f985ac2dcc67d0a557eea0c8e7f2","2017-08-01T04:40:22Z","3","65","6","71","1","0","0"
"94f7b78e80f35309907a90e8cfbab93d10921f9f","2017-07-05T20:12:40Z","0","0","0","0","0","0","0"
"7856b6c2b759ef53d1a3d5a8fb6bcc417c525d2d","2017-07-05T20:03:56Z","2","5","11","16","1","1","0"
"8c1090c3c10d3683a58cf8ff89bfc62cdb14848d","2017-06-16T18:21:05Z","4","198","92","290","1","1","0"
"0c7aec51b1376d25ac5541ac4c25d628fb5bb676","2017-06-08T20:32:10Z","2","16","16","32","1","1","0"
"f0ce905bbaf8a9cf58f30f888b8b2937bad12e1f","2017-06-03T22:28:01Z","3","44","55","99","1","1","0"
"7fd803aa8af75d4685d3219f8a43f751f0029ce1","2017-04-08T19:07:59Z","0","0","0","0","0","0","0"
"4ffc44e576072734a6571a178643eda534aaf044","2017-04-08T19:04:29Z","0","0","0","0","0","0","0"
"df457e0966ff13c96659507fde553cb0081dc9c1","2017-04-08T19:04:08Z","0","0","0","0","0","1","0"
"83ffb08c05ec7e1253930c3ea1fc8092c84d308d","2017-03-24T07:30:55Z","0","0","0","0","0","0","0"
"dbaa980ead8dd459788c04b2228e13b7ac6e0912","2017-03-23T21:49:32Z","5","169","40","209","1","1","0"
"4f77803324510e7a7fe7033dd82bf784b1f4ae45","2016-12-30T22:08:06Z","0","0","0","0","0","1","0"
"bb61b2ab587ca840c5b1b342cae6a19edaae8700","2016-12-30T22:00:20Z","2","22","2","24","1","0","0"
"4db57034ce76c4004f8c7e010628d21b05341d6d","2016-12-30T21:58:40Z","1","2","2","4","1","0","0"
"f8d81e24e5540f8a5e995eb13167f9dbb6e21234","2016-12-30T20:03:30Z","2","22","2","24","1","0","0"
"c591719e26157d738b4e5086f1ec1ad0dea21cc4","2016-12-30T20:00:29Z","3","51","96","147","1","0","0"
"8576474ab41410649b331da37378a99ad6effe45","2016-12-30T19:42:28Z","2","12","4","16","1","0","0"
"e6cd56fca641f421663392376bf10ee5cfba6a2d","2016-12-22T23:52:17Z","3","44","97","141","1","0","0"
"14880a79fe107829677b82beeb055834f018704f","2016-12-06T14:16:33Z","2","22","3","25","1","0","0"
"997cdf36c2c02cb835e652e9c9f10afb70e0a8bc","2016-11-20T09:07:48Z","0","0","0","0","0","0","0"
"ed82e0b53ffdfb2c8bbf21e728740a972a26e816","2016-11-20T09:05:31Z","0","0","0","0","0","0","0"
"40000ac03edfff4fbf4f3a1f5ad76ba1ef996b9a","2016-11-19T11:48:19Z","0","0","0","0","0","1","0"
"8c465354366eef8ebf29467010b63657c065fb55","2016-11-19T11:35:51Z","1","1","0","1","1","0","0"
"8b8fb009864ca1c04719113274a24556a9885235","2016-11-19T11:33:31Z","10","288","75","363","1","1","0"
"878cd30acc057a9d655a77eac73ed11a841d6c19","2016-11-15T20:02:25Z","0","0","0","0","0","1","0"
"d3de236f3506c18a65256a45a36d3c5ce956926d","2016-11-15T18:08:59Z","2","16","9","25","1","0","0"
"7052eda7a2787db67c48c57e922c769697327111","2016-11-15T16:32:00Z","1","40","0","40","1","0","0"
"395b1f2fef7dbcb9620ee90f5ac1ba193e2525c4","2016-11-15T16:31:47Z","1","40","0","40","1","0","0"
"8a50dae5d69d3bbff8dbd838a41e7edbc5fc5c82","2016-11-15T16:31:15Z","1","9","1","10","1","0","0"
