"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"1cee5e173a8e336499f65f7f87af55c2158955cb","2018-08-23T02:25:44Z","0","0","0","0","0","0","0"
"e19357780c50fd777900dc83ea4f9f2268552ca6","2018-06-24T07:06:20Z","0","0","0","0","0","1","0"
"3af381bfd05b5385253708f00cfca233fce8d332","2018-06-07T03:52:45Z","1","3","0","3","1","0","0"
"f49bd521bc74026356146dd407d744b21b1ac264","2018-06-07T03:38:47Z","1","20","19","39","1","0","0"
"82d64ce03017928569306e920f4d74b0890021d9","2018-06-07T03:32:21Z","1","25","7","32","1","0","0"
"1041ffacad72e4be20f5238553ce64cd778c4248","2018-06-01T09:43:50Z","0","0","0","0","0","1","0"
"1b8c3291b3a64295ed91d1f93a458b6f8b52bbb4","2018-06-01T09:39:23Z","0","0","0","0","0","1","0"
"b48bf18e2a18330c7c12110c28cafec9f203036c","2018-06-01T09:26:23Z","0","0","0","0","0","1","0"
"154ea95b0ec7e6339a8ab3b42cfa2bcf7307a55e","2018-06-01T09:12:46Z","0","0","0","0","0","1","0"
"dd45d24e6be983f0ebd9f468ef175f4378327cc0","2018-06-01T08:33:30Z","7","89","40","129","1","1","0"
"9674d0ea68243a892988b6bd6e429411bafdb879","2018-02-01T13:21:46Z","1","14","4","18","1","0","0"
"2376e8e9d9195634da0d36b8d800e70ff39f1936","2018-02-01T13:18:49Z","3","11","2","13","1","1","0"
"bd842376a6d1ef7d8db6356ff581e6c5a3564a41","2017-12-18T07:29:49Z","0","0","0","0","0","0","0"
"5069bbc299a5536d3b8c070368c16aca76462bdb","2017-12-18T07:25:28Z","0","0","0","0","0","0","0"
"0637b872631f7a7ecf99b3cf527bfde7b5238565","2017-10-13T06:42:10Z","1","2","0","2","1","0","0"
"a9bef5b6dd0af3765110de609cfdb2df32315833","2017-10-13T06:36:08Z","3","174","7","181","1","0","0"
"fe37e9208318bb1e096a28d5b77ab7c30ed2f94e","2017-10-13T06:24:50Z","1","25","8","33","1","0","0"
"8b5b40b26847e8c081045b19d2b63de8b8464323","2017-09-27T08:40:23Z","1","30","0","30","1","0","0"
"59110879c2cb88de4a54a99f129a3e396bde4248","2017-09-18T06:13:31Z","0","0","0","0","0","0","0"
"27380552c56888f78a1ed296969a9652c4e69147","2017-09-18T05:49:59Z","1","7","0","7","1","0","0"
"def39dd615d11146d88ad906bcc914afea9e568a","2017-09-04T08:02:23Z","2","63","0","63","1","0","0"
"6b2441a2bdaf9bd889719468dce44ea8bbf2b2d1","2017-09-04T02:13:09Z","1","2","0","2","1","0","0"
"c948bc5a7a37c9f1e8e5d99b0f1bdd8a4f03c3a7","2017-09-02T03:02:05Z","1","1","0","1","1","0","0"
