"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"bd1f65f5ceef10c2220398ba1c654d04d49cf4bd","2018-01-23T16:46:13Z","1","1","1","2","1","1","0"
"828207f4ab16776201b9a38893da03fec5f8142c","2018-01-23T16:45:27Z","1","1","1","2","1","1","0"
"cb4b5ba1de3f73f7ed04b277bb39dfcedc804e5d","2018-01-13T19:58:22Z","3","81","53","134","1","1","0"
"3595f9d937a50587fca85fe5ef37e1eb125ea933","2018-01-13T19:57:25Z","3","81","53","134","1","1","0"
"484a669102e9055d384ddfe83689b7f4a9566644","2018-01-13T06:07:49Z","4","235","14","249","1","1","0"
"cd497fc77210067f0a1ee3aa4af3b4af586c8582","2018-01-13T06:05:50Z","4","235","14","249","1","1","0"
"52ac39beba7d83efb23dcb8438ee35e3d6d69578","2018-01-06T08:53:12Z","1","1","1","2","1","1","0"
"86a7646d631e31841b56d57b9d1eedfd6615512f","2018-01-06T08:51:35Z","1","1","1","2","1","1","0"
"5c1ff1d0a6108da1aad312118f7e0e2e7c1e222c","2018-01-06T08:09:42Z","1","2","1","3","1","0","0"
"eef59726528ac7b9f10a798c62af2712fcbc9f7a","2018-01-06T08:09:07Z","1","2","1","3","1","0","0"
"81157cba23a48a9b36138ffd302ac1ce44952fa9","2018-01-06T07:53:49Z","1","16","25","41","1","1","0"
"fb6140dbcf44e1464e5b25546831206439f71e0e","2018-01-06T07:53:11Z","1","16","25","41","1","1","0"
"e852539e8bc8387262da34bf8dad31e5ca1ee246","2017-11-25T13:25:01Z","7","57","41","98","1","1","0"
"aa1b51f0dedce8465a634ce5b0a9ab1ec75ab1f7","2017-11-25T13:22:52Z","7","57","41","98","1","1","0"
"4e96b88869ea37156ebef2dd53fd84116159c610","2017-10-26T18:30:24Z","4","18","8","26","1","1","0"
"5bf2d6f66cd1e08a7f15c5c9b8668f13b03419b2","2017-10-26T18:27:54Z","4","18","8","26","1","1","0"
"65a42e5e0c0ef0f5d90b1c6aa28dc8482d20bc89","2017-01-13T15:55:01Z","2","32","8","40","1","1","0"
"e4c9173e4bbc3ac65fed08bbaee21cfbeecc0b60","2017-01-13T15:53:00Z","0","0","0","0","0","1","0"
"669dc03d721cdb447a22e72c52931da66c65aac5","2017-01-13T15:15:18Z","1","10","6","16","1","1","0"
"0d37479a58089a22ed7af34afc6aed0aaee2a7a0","2017-01-13T14:31:02Z","1","22","2","24","1","1","0"
"a0310185853d92f03f9253b6abe6ed0ce617a0ed","2016-12-23T01:13:36Z","2","38","38","76","1","1","0"
"02a8194c71144a14e21176da97542e88e185f7a4","2016-12-23T01:12:40Z","2","38","38","76","1","1","0"
"64e53af1794b6f34170f9d818e1beb24ff3d9f56","2016-12-14T14:36:31Z","1","51","8","59","1","0","0"
"d0c578af33ecbd17669d60cfcb7c7ae2b64bc8e2","2016-12-14T14:34:53Z","1","51","8","59","1","0","0"
"2709e13fb8d93aa0a49b6e524eef6277c88731e7","2016-12-12T15:55:35Z","5","110","4","114","1","1","0"
"aa7a30c009bce02d9a4a9760724e344bf7f93281","2016-12-12T15:53:41Z","5","110","4","114","1","1","0"
"5602f6691591360238e6fde4ff8058e6bc4b2ee6","2016-12-09T03:48:42Z","4","33","15","48","1","1","0"
"51f2ed1a7a8f1ea3dd484bc82340fe8b84be83ba","2016-12-09T03:47:25Z","4","33","15","48","1","1","0"
"4145b2c54e228a832162dbe6ec3576546d4b0dde","2016-12-08T03:55:11Z","2","33","20","53","1","1","0"
"f86b1c8df19555d212ff6c110768b6aa9d31c0a5","2016-12-08T03:53:55Z","2","33","20","53","1","1","0"
"1cafee22e1c3e73d8c150e0fd65c1e86c192f8bb","2016-12-07T17:28:08Z","7","243","132","375","1","1","0"
"df191219110ba2a2b1d87117fa0f6ab91040e372","2016-12-07T17:26:34Z","0","0","0","0","0","0","0"
"2fcc92b0d55666f292bfa572c5428dc7017aff37","2016-12-07T17:22:25Z","7","243","132","375","1","1","0"
"dfcd28b46949c0caaa3d633303100bd8cb18e19e","2016-12-05T15:17:46Z","0","0","0","0","0","0","0"
"2fe47ea9c5fa9c37170cd294135c41135d4c4d8b","2016-12-05T15:15:51Z","0","0","0","0","0","0","0"
"c117f91600f36381cbf99ca864f5339e4bff8de5","2016-12-05T15:12:45Z","14","115","129","244","1","1","0"
"84ccaf8337fd8b583b2eefa24cec69a7ed4927b1","2016-12-05T15:12:08Z","14","115","129","244","1","1","0"
"69f0391d8c11decaade2d50412bda61b5bb10a82","2016-11-27T14:43:53Z","3","144","5","149","1","1","0"
"a42b0f14b44f77083a7ad96d67c01d19d1558ce6","2016-11-27T14:42:14Z","3","144","5","149","1","1","0"
"603b4de07fee8a522e9115719c7f80406bf0530d","2016-11-24T07:53:02Z","2","69","2","71","1","1","0"
"49695d493379b5be6e420f35f3ca2e91c63f6286","2016-11-24T07:50:11Z","2","69","2","71","1","1","0"
