"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"857a6568ab7378f9205f3d37f90c7a5e930cc01c","2018-08-29T06:13:53Z","0","0","0","0","0","0","0"
"c481941b7fc7b0a84f418f73ff15150eb9bdb0bc","2018-08-24T06:58:55Z","0","0","0","0","0","0","0"
"de33faef4c8feb65a917e952d4f14542b78fe08a","2018-08-24T06:58:19Z","0","0","0","0","0","0","0"
"88c9875585e025dfc856c19b13cd7b03c2ba38e8","2018-08-24T06:57:47Z","0","0","0","0","0","0","0"
"6ea20d260c96b737fb2a2eed3d32602f16669184","2018-06-07T02:51:25Z","0","0","0","0","0","0","0"
"da85091817ae7438ec56f794c87a12a0a9682c25","2018-06-07T02:50:14Z","0","0","0","0","0","0","0"
"9ba46c8ef21b86c71773a3d71d07668d3dee6aa9","2017-11-21T06:17:19Z","1","0","4","4","1","0","0"
"21cfb06aa4b5abc8dc591c139ff4aef8bc4fc18d","2017-11-13T09:35:47Z","0","0","0","0","0","0","0"
"6e70ac725ad81cab8762ad3e4c0c1be7fce67edf","2017-08-04T08:27:42Z","9","198","30","228","1","0","0"
"1c5e01ef620472cf904977ae22ee320e451587e8","2017-08-03T15:39:42Z","2","12","1","13","1","0","0"
"05d96eb8b739fad40d3b5a14aae0dc43604b77ca","2017-08-03T15:32:21Z","3","79","24","103","1","0","0"
"39adad14cb41f130ff17ec0b3f243237629c658e","2017-08-03T13:15:44Z","1","2","2","4","1","0","0"
"2e56da59569aadac278eef539b0b1b9622140298","2017-08-03T13:08:18Z","3","76","5","81","1","0","0"
"c0a600ab7e9edb1938a1e2bce30715e057c47c3a","2017-08-03T12:29:11Z","1","1","1","2","1","0","0"
"27028c495c0d800fbbac617833a13d151f8bad2a","2017-08-03T10:35:08Z","1","9","2","11","1","0","0"
"973a93ccfbb222739fce4b2aa10eea37fdd8040e","2017-08-03T10:00:10Z","2","24","0","24","1","0","0"
"f9553c7ff29e1361dcde14ce8d0c495e78320f73","2017-07-28T00:36:59Z","0","0","0","0","0","1","0"
"9293894c0663235e1c694528cd955783bf174a1d","2017-07-25T09:43:52Z","0","0","0","0","0","1","0"
"57b280a15048218020f895a404000778041d5a69","2017-06-03T11:43:25Z","0","0","0","0","0","0","0"
"a326496827055698e34efe7aa04a39ee4f31a1fc","2017-04-24T11:34:46Z","0","0","0","0","0","0","0"
"3ed994d921489b9c1a1fca12a85e08d2cf569563","2017-04-24T11:34:33Z","0","0","0","0","0","0","0"
"acb687c6daad80dce83cbc29dc00b299be46774f","2017-04-01T12:33:27Z","2","14","1","15","1","0","0"
"cdf40fcb4ab44478efe849fd6d1ab070daab825d","2017-03-21T09:51:51Z","0","0","0","0","0","0","0"
"a61524d2fa07bc0961022a40edea9a9253244dfd","2017-03-20T02:17:37Z","0","0","0","0","0","0","0"
"c08cf5195432a3ca9dd8513f58e43b4d489ef5ca","2017-03-20T01:50:53Z","0","0","0","0","0","0","0"
"58a32ef4df05c0f7099c80e0065db2b8a054cbfa","2017-03-20T01:45:34Z","0","0","0","0","0","0","0"
"9b8e4875b4bf50700222ebc100e40ca6cad803d4","2017-03-20T01:43:05Z","0","0","0","0","0","0","0"
"133629347e78738a5b9570570299d5b34c972bcc","2017-03-17T02:55:47Z","1","11","3","14","1","0","0"
"4808c917e1e95e26a6ab39f931263a85771d4aad","2017-03-14T01:14:41Z","1","24","5","29","1","0","0"
"79a0b1221a2be883c9c8e5bcd33ff0859adc73a2","2017-03-10T09:02:14Z","1","1","1","2","1","0","0"
"5d01e7244412b3083751dd8e629d722c8b3ed597","2017-03-06T02:27:49Z","2","15","1","16","1","1","0"
"5c59e974ff3c54082227094ee6b77f7975816543","2017-03-06T01:48:53Z","2","42","4","46","1","0","0"
"fd39a5f409730761451f2fdc6707049565bf6e20","2017-02-10T03:24:26Z","0","0","0","0","0","0","0"
"738c4f168cd0c1071a60112ea57b648ae99615e4","2017-01-30T07:56:44Z","1","2","2","4","1","0","0"
"b5c915e3d4916327ae60f8cccd50ee5bc03b9579","2017-01-30T07:53:46Z","1","4","2","6","1","0","0"
"b0c8915b0307ff8c4abfa3b37076379929447471","2017-01-30T07:44:54Z","30","512","109","621","1","0","0"
"57cc5261de8e5037fe56ac18d8bbc6c16469a699","2017-01-30T05:45:03Z","0","0","0","0","0","0","0"
"11ff07e748648e71af97ae8d5de54bf238097de4","2017-01-30T05:44:46Z","11","186","209","395","1","0","0"
"16f969017c226aa710d6a3b95b48e9ddecee3d74","2017-01-29T10:41:10Z","0","0","0","0","0","0","0"
"b6b3c004ed78120f6f6df440b5bfc52bc397bfdb","2017-01-29T10:36:54Z","0","0","0","0","0","0","0"
"9dc38a7f3867ad7b6a2b858e4fd7d3cbb1db10bb","2017-01-10T02:39:43Z","15","96","7","103","1","0","0"
"1c883cd2abe0cd8cf10b9875a6d9d09e3c3a7e95","2017-01-10T02:30:27Z","0","0","0","0","0","0","1"
