"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"e20b5ea52d67679968c6950b40fb7430f574cb71","2017-09-11T16:21:50Z","0","0","0","0","0","0","0"
"18f7c1571de8b0d27bfc2fbdff56325c5d98231d","2017-09-11T16:20:52Z","0","0","0","0","0","0","0"
"dfcbe1f4be81406048bc41eb84ccc90ebd7a20b8","2017-09-11T16:20:30Z","0","0","0","0","0","0","0"
"6ec29918d5620a31a3f295209e520c674e04b748","2017-09-11T16:14:09Z","0","0","0","0","0","1","0"
"abcba275e1602c75d077b954535f54fa7f3c87f6","2017-09-11T16:04:41Z","6","148","2","150","1","1","0"
"c33dca7174cd3328e24c5875d77107e1a5f41c55","2017-09-11T16:01:54Z","2","8","1","9","1","0","0"
"fb99fb678029bd8ee0b66af17a1e7d78eb155217","2017-07-07T11:16:56Z","1","7","1","8","1","0","0"
"3cdc95d5d47cb1981f3cc1a8534f2e86b19c68c0","2017-05-26T17:18:15Z","0","0","0","0","0","0","0"
"2d76be411866c7799ca293126801842c4201a75b","2017-05-26T12:25:54Z","0","0","0","0","0","0","0"
"b285603c9a15cb1cee29b33052f9bfe4e03d844f","2017-05-26T12:24:36Z","0","0","0","0","0","0","0"
"ac85b6c26377031daa6ef2c954dec88c89a622a7","2017-05-26T12:23:26Z","35","2574","2198","4772","1","1","0"
"3e989ef43aac397b21635b3416aeace704b9af0b","2017-04-07T13:18:48Z","0","0","0","0","0","0","0"
"7771a07f9606e3896436e4ca05b429b6b656b120","2017-04-07T10:01:03Z","3","45","90","135","1","0","0"
"995d0b2cafc1bedcb2e305109ec92313b137af5b","2017-04-07T09:45:14Z","0","0","0","0","0","0","0"
"8169ade3474b35b86caf762bdc2a6f1b5835296a","2017-04-07T09:38:24Z","0","0","0","0","0","0","0"
"576177881a14dfa3902865155f7e5a743da499b1","2017-04-07T09:36:22Z","0","0","0","0","0","0","0"
"593335683931940aa3d50e6fad231efd5d28a7ad","2017-04-07T09:36:11Z","15","1443","2189","3632","1","1","0"
"d6853a96da76b63e2bc8af338c32b1ea32f42d55","2017-03-29T07:31:48Z","0","0","0","0","0","0","0"
"879197e6cd184f0e8cf79850f884a3ed39df59ed","2017-03-29T04:11:36Z","0","0","0","0","0","0","0"
"dec2109933de1cba8d7f5c0831422a0605fdc3a6","2017-03-29T04:11:22Z","1","1","1","2","1","0","0"
"5d7f51e96aa37c83aeca0058b095bc8192d1e737","2017-03-28T15:32:30Z","0","0","0","0","0","0","0"
"7256aaadfc2e17d51459f443c20fd78f5c8a9b6b","2017-03-28T15:29:27Z","0","0","0","0","0","0","0"
