"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"91d39bf13ee19352ed27c69544d03912b7f7dc60","2018-08-26T03:38:07Z","1","3","3","6","1","0","0"
"de0a58661e2e7c57a527c1b9aa66a8506fa21a4a","2018-08-26T03:36:46Z","0","0","0","0","0","0","0"
"f0153ecbe7d28daf06d608a49683968e17bd5716","2018-08-26T03:36:19Z","0","0","0","0","0","0","0"
"6716fca29d5b87a354b5ca30da74e4e8aeb84e0f","2018-08-23T10:53:39Z","0","0","0","0","0","0","0"
"26928d158dedb384197fc37c519de8c88cc19b22","2018-08-22T08:13:45Z","0","0","0","0","0","0","0"
"eb45324357159c150288dafb602e23b7952dfdd6","2018-08-22T08:09:35Z","11","205","180","385","1","1","0"
"5644c1b7c4cee48fab7075a811688e530c9731fb","2018-08-21T14:58:04Z","6","134","106","240","1","0","0"
"23caf5f72162baf30f80626f866f431968e0c861","2018-08-21T14:58:04Z","1","4","6","10","1","0","0"
"c30a2a492b75ed4b939593b69345a02214d1aef4","2018-08-21T14:58:04Z","5","49","49","98","1","0","0"
"98d7b89a4996fe8543d038589ad7153687829800","2018-08-21T14:58:04Z","2","3","4","7","1","0","0"
"6c8a5376949b72a8f10417da45e5b27ebbb29ea2","2018-08-21T14:58:04Z","1","1","2","3","1","0","0"
"efcf96f774713b9f27e1b4782974ab4203fc8c64","2018-08-21T14:58:04Z","2","6","6","12","1","0","0"
"d7a0fc794e342b30fb1c2dd4c339be5237a27920","2018-08-21T14:58:04Z","2","8","7","15","1","0","0"
"073ff64ac70c304116c6f52523b141de165d0464","2018-08-21T14:58:04Z","0","0","0","0","0","1","0"
"262eb63dadd82197448a26528d9722c492562b83","2018-08-21T12:22:22Z","0","0","0","0","0","0","0"
"01b0bb3aad1768bc0cef624631ee3238dd43a235","2018-07-10T04:25:48Z","0","0","0","0","0","0","0"
"8b2599ee67096ca8cfb19ddd53e99263e03dfce4","2018-07-10T04:13:37Z","0","0","0","0","0","0","0"
"7932d12e43f24968361d9daba38e42888f1c073a","2018-07-10T04:10:56Z","0","0","0","0","0","0","0"
"e451c34da0f09bf042cbae5bd5a2a7b502f715d3","2018-07-10T04:04:22Z","0","0","0","0","0","0","0"
"bc40554891ee2aaff7a249df7b5f54e81d6b0f1f","2018-07-10T04:00:25Z","0","0","0","0","0","0","0"
"f53f5dcea4501d2b5fa0e6e95d698cb4248dfc58","2018-07-10T03:58:50Z","0","0","0","0","0","0","0"
"cc35eb72321783b358e60704249060b4a880481e","2017-12-18T17:14:52Z","0","0","0","0","0","1","0"
"eda6cf41f8023832b665018926584fff662ace01","2017-10-16T05:58:22Z","0","0","0","0","0","0","0"
"96b6fe21ec6ce7eabb8c062dd2fe39e07ec53caf","2017-10-16T05:57:56Z","2","15","15","30","1","1","0"
"228f519e8af853e2b7f4512be9c9fb6db6f8187e","2017-07-19T12:43:44Z","0","0","0","0","0","0","0"
"9288a5b5d55422a0f501cfd973bb68abe1bfc909","2017-07-10T17:51:55Z","0","0","0","0","0","0","0"
"a20be39d32d68ca1f1c676a459da5b95e724c4dc","2017-07-10T17:51:20Z","3","318","23","341","1","0","0"
"8a19a87c89f2037e26c7815d2bf1aaae44f03eb4","2017-07-10T06:25:25Z","4","299","270","569","1","1","0"
"abbc9ed06ac1e65dac3940d3755c9db846349911","2017-06-26T19:03:49Z","0","0","0","0","0","0","0"
"a9af55ff232a5bff17818cb6654529d3f6411043","2017-06-26T19:02:21Z","4","85","58","143","1","0","0"
"39d0b4600f2d843206a295428cec6c6e30930ad0","2017-06-24T08:24:40Z","0","0","0","0","0","0","0"
"ab57224edd4b519fc3d202ad452a03ec27ccc47e","2017-06-24T07:30:49Z","3","8","9","17","1","0","0"
"e92d7d653bce7b6b2e7d9a816b33d765788c4078","2017-06-24T07:23:43Z","0","0","0","0","0","1","0"
"dea7e7270744e17f636a19480a00275c2430dc6e","2017-06-24T03:31:36Z","5","114","77","191","1","0","0"
"e70f73a2143f91d37bcf732197df481a5e49d6aa","2017-06-24T02:25:30Z","4","103","21","124","1","0","0"
"62d2b1857da9d7e167205d528520c36db785142d","2017-06-23T20:13:51Z","8","425","19","444","1","0","0"
"701d45326ae47de318963f776cc982ff158b59d6","2017-06-23T17:26:22Z","3","21","15","36","1","0","0"
"8f1eda58ca383a169a9177b3e69b1816e42530ed","2017-06-23T17:20:03Z","7","345","301","646","1","0","0"
"a851684d6feb7591e94462ab784d222ff1d44fb2","2017-06-22T16:33:34Z","3","14","6","20","1","1","0"
