"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"085e441954d787bd4ef31f245afe5f2f2a311ea5","2018-05-22T16:22:54Z","0","0","0","0","0","0","0"
"4394a39ab08ea399340f7e7df8d0d16cacf909b4","2018-05-22T16:07:16Z","0","0","0","0","0","0","0"
"6ae1b009d0cba190bb8146e7d3fcc18f3e30b05d","2018-05-14T16:22:49Z","1","3","3","6","1","0","0"
"bc98cb99be5ba9797dd216bf39cd6cd0adba2f7b","2018-05-14T16:21:44Z","1","1","1","2","1","0","0"
"ca4e85db677904631fa25c1ab8bad99f60ea5781","2018-05-14T16:21:09Z","0","0","0","0","0","0","0"
"f8919c360759d07028e408c688e4b41e5454893a","2018-05-14T16:20:29Z","1","2","9","11","1","1","0"
"7405690a516b0dc52f8f0f7c37260b47d955ea22","2018-04-16T09:57:40Z","1","2","9","11","1","1","0"
"fc73fc2506ceebb99d6c5ec97a59cda38b84754b","2017-07-30T10:39:24Z","0","0","0","0","0","0","0"
"bdaa081bf0c156354ed6ce327077e795e389b239","2017-07-17T15:10:36Z","1","3","3","6","1","0","0"
"df338f1138d4dbb03ab1b71788bd49d39250e11d","2017-05-16T00:07:58Z","0","0","0","0","0","1","0"
"2713b3937d42b40464018ff470cca4cc3ba17bca","2017-05-14T00:05:48Z","0","0","0","0","0","1","0"
"572bf0d534d7bfb68c724e544feb97b6966e7b55","2017-05-11T16:38:02Z","0","0","0","0","0","0","0"
"3286a641a7f8e5273110b397776579e90577fbc7","2017-05-11T16:33:14Z","1","22","55","77","1","0","0"
"0f91ffa818638cc323b86e7705e735b06cf5a233","2017-05-09T10:46:23Z","1","8","8","16","1","0","0"
"205dadeef6d4ec03d78fc95a4d77e92b7b3de375","2017-05-09T02:00:04Z","0","0","0","0","0","1","0"
"79b4589ede36163e79117e77cbfd5876b5c3292b","2017-05-08T22:09:06Z","1","5","6","11","1","0","0"
"a826eed96947ae240cc899e5e8e57dddee154501","2017-05-08T21:52:59Z","0","0","0","0","0","0","0"
"35af3284c2374de97bc8268c4f8e5ff4d962469d","2017-05-08T21:52:25Z","1","26","28","54","1","0","0"
"da944901749b802fd1b87099f3701bf2ac200817","2017-05-08T21:52:25Z","1","23","53","76","1","0","0"
"d48030dd6ecf2fda93ba0140b3d93d1d18474e90","2017-05-08T21:16:14Z","0","0","0","0","0","0","0"
"72609b142bdf5c11765ae57684a7942995ee73a1","2017-05-08T21:13:00Z","0","0","0","0","0","1","0"
"397249014acbf7a06ec9ad464aa533d53128a99d","2016-12-20T23:31:26Z","0","0","0","0","0","0","0"
"ba77c7a81bb551e039004d2bb10fb8dd8dcad23a","2016-12-13T22:59:49Z","1","1","1","2","1","0","0"
"bd980b7401c31ed0481f1d396cd7faed093b242e","2016-12-12T19:43:20Z","0","0","0","0","0","0","0"
