"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"af33b9c747119f266aeaf5ddafdc1d34a9e3c900","2017-01-12T11:32:08Z","0","0","0","0","0","1","0"
"a1420c70cdf7bd62720154d03da849ca08f81c39","2017-01-12T11:28:01Z","23","222","357","579","1","1","0"
"bb886768519563e16e19b89c4e90b693b416e1e4","2017-01-11T09:36:34Z","0","0","0","0","0","0","0"
"8e63ac6d7957d7f8e2da61e64f1480ec8248b602","2017-01-11T09:14:08Z","8","77","1","78","1","0","0"
"225e8ae899d93d3f27416b25911b4009c29d8cdf","2017-01-06T09:40:48Z","8","77","1","78","1","0","0"
"57c6fdc4c274e4abb00153b755bb03955c3e3d96","2016-12-30T14:32:05Z","0","0","0","0","0","0","0"
"518c66889ccba4306772f3e53976f2bb44430cfc","2016-12-30T14:26:46Z","2","10","2","12","1","0","0"
"784f1dbd2f4ad8d8f5c210473c298ce91cd32d94","2016-12-30T14:12:53Z","0","0","0","0","0","1","0"
"768bf66cdb36385012b965b221a5e19e02411afc","2016-12-30T14:06:04Z","4","34","24","58","1","0","0"
"eeae88b9fbbfadbcc8b09e6cd3a9ab4f6798ccb6","2016-12-30T13:37:00Z","10","164","27","191","1","0","0"
"55cd862806b0677752e8aaa9beaa5070fd08a1a6","2016-12-30T10:34:08Z","3","53","58","111","1","0","0"
"f3fa994115887315fb748db6985db268217e83e3","2016-12-30T10:16:01Z","5","120","6","126","1","0","0"
"3397e4e32488aaf5fd4339568410bf1a8caf1d0f","2016-12-29T15:09:01Z","0","0","0","0","0","0","0"
"be8fc45e26543acbe486d235fd2d75908885c5d8","2016-12-29T09:29:52Z","2","52","16","68","1","0","0"
"888bce76f936b076d3593c42ed46545943667222","2016-12-28T14:45:25Z","3","15","19","34","1","0","0"
"54bd6505610a9da8d3262caeef875b7787d39dc1","2016-12-28T14:20:16Z","0","0","0","0","0","0","0"
"0562afd56e5276db7030204e0523901b4b156e76","2016-12-28T14:18:54Z","5","56","61","117","1","0","0"
"5769d53d455e2a075d3e0ef1848355a15f9acc1c","2016-12-28T14:10:09Z","6","70","91","161","1","0","0"
"d928a0fcb9b4e21ce7e279877e0998bb53d10c8f","2016-12-28T14:03:49Z","4","164","3","167","1","0","0"
"e7653f75c5a1c67af387e6953c8542bd9140319c","2016-12-28T11:19:14Z","1","19","3","22","1","0","0"
"331c2d66757ac6e9242be055bdc0a0cb32667613","2016-12-28T11:14:55Z","4","64","51","115","1","1","0"
"cf3065f64e48adbd00ecd2f5957cf4aa60d1d7c2","2016-12-28T10:37:58Z","3","12","12","24","1","1","0"
