"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"08ad2dc092397c3095d5f3be0a3530908178ec4e","2018-09-26T00:27:43Z","0","0","0","0","0","0","0"
"dc4358d48755be3c52d8bb0b8f2d74fb5f51dc83","2018-09-26T00:25:47Z","0","0","0","0","0","1","0"
"b944e8d67e9f49a4d22714fc17f6158d579f5530","2018-05-28T22:00:42Z","0","0","0","0","0","1","0"
"083d002c3dff89790ff8b78c89ade8a8d03f15ff","2018-05-24T18:22:00Z","1","3","3","6","1","0","0"
"953b09abf8a4ce028e93fd1ec59a024cdc3b10df","2018-05-24T18:17:47Z","77","3982","0","3982","1","1","0"
"712e86b1e01c07f40d3d7e9c0c6a6b8a52c7d79e","2018-05-24T14:30:32Z","46","208","987","1195","1","1","1"
"9a86f34d4a23641bddbb0f3f519cbc47cc511f8c","2018-05-24T13:08:39Z","0","0","0","0","0","0","0"
"9c305b3b8e45de236ca04475ed7729437816bd89","2018-05-24T13:08:27Z","0","0","0","0","0","0","0"
"ccc410afed96cadfcade8e4e6dae1ed925ae2e22","2018-05-24T12:58:34Z","0","0","0","0","0","0","0"
"a4f4bd7702dcac9aa92e6f5381f3f42e82ebe65f","2018-05-24T12:50:43Z","97","4571","0","4571","1","1","1"
"d7a1b8f9c121cd6cb0e09ec80ba4da564186ae1d","2018-05-24T12:37:10Z","101","0","4571","4571","1","1","1"
"ceb209d94b045bcea7f9bc71475b47af1ee18e3f","2018-05-24T12:33:51Z","0","0","0","0","0","0","0"
"97d777ffb0c49ae2b2f87537f1796f1e98d3eff9","2018-05-24T12:31:38Z","5","8","7","15","1","1","0"
"938e24de85d38411eba6e98044e2ae5cb4212967","2018-05-24T12:06:49Z","158","356","8091","8447","1","1","1"
"e16457d032295b342797680297c0f8c4a1399fc7","2018-04-16T14:49:47Z","2","12","23","35","1","0","0"
"999fcf1f8de6df7cc28e25f0dbf5ee35a94e8cc9","2018-04-16T01:10:52Z","4","0","11","11","1","0","0"
"f0993d57f834497ae5398caef75a5ee972fbfdb5","2018-04-16T01:05:36Z","1","16","16","32","1","0","0"
"7249b86a75f33b7e2c7679d88937e7d94c68ce63","2018-04-16T00:15:26Z","1","9","6","15","1","0","0"
"7e78e368858624502f7d63c7f04f1d17d43c9bb0","2018-04-16T00:06:59Z","1","5","6","11","1","0","0"
"4ba73109fa1aad42fdb77ff646872071a3ad5f75","2018-04-15T23:59:44Z","0","0","0","0","0","0","0"
