"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"e2846461a09e33720a049f628f09c653f55531f0","2018-03-01T05:24:36Z","0","0","0","0","0","0","0"
"744e8f54bbffb8a441ca0ddbc5672d26dc1020c6","2018-03-01T04:01:08Z","1","1","1","2","1","0","0"
"52754e2b96edefbfad02d3eb49263cff35570820","2018-02-15T09:03:38Z","0","0","0","0","0","0","0"
"54592ea5a8f7376dbf6439791bbb2796fa760942","2018-02-15T08:55:55Z","1","1","0","1","1","0","0"
"26e42e6632b1638e41ee1c9ed277b04b8dd1e600","2018-02-12T09:38:08Z","0","0","0","0","0","1","0"
"fdc84ed27b0435b067ffb1899d5380d40ac579eb","2018-02-06T09:11:00Z","0","0","0","0","0","1","0"
"317a997d7c51c7e4e10447a4329321a10fe80a15","2018-02-06T08:34:36Z","0","0","0","0","0","1","0"
"8a9df41c96bc2162a8565b3bd97707022f4554c4","2018-02-06T08:22:30Z","0","0","0","0","0","0","0"
"892d263610d80720b0c6834a65a64bc6c539a931","2018-02-06T08:17:14Z","0","0","0","0","0","0","0"
"b413f467768bf53aaa1f94fb35f8bc7d0e4af8b7","2018-02-06T08:13:01Z","0","0","0","0","0","1","0"
"21f902fc0e25a50d9c631b049205c7fa4ce45e3d","2018-02-06T08:13:01Z","1","2","0","2","1","0","0"
"2bd85eb73d2852ab3fb1930b81ea65eec8a058c9","2018-01-11T11:07:43Z","0","0","0","0","0","0","0"
"5a8ee6e2f6db64d418dbb62c9af3c9f2586493a8","2018-01-11T11:04:57Z","1","3","0","3","1","0","0"
"0dfe5d3fa4ba905d9c18ee848d9c62ab5d4c0e58","2018-01-08T06:21:08Z","0","0","0","0","0","0","0"
"eff951ca96de1015eab4b0524dce587b4bea93b3","2018-01-08T04:20:50Z","1","8","3","11","1","0","0"
"411141e9d8333130eb8eb1a4802d9d40088534b6","2017-11-28T03:19:01Z","0","0","0","0","0","0","0"
"7f6903a7c115c72723270f6bed0405ba16d832f6","2017-11-28T03:16:42Z","1","2","1","3","1","0","0"
"eec8a7d9fcfb2c5e40daedeb606e41dfe9483282","2017-11-13T10:18:01Z","0","0","0","0","0","0","0"
"7a41272586fff791be51a4ddb1c7af9e23cfe61f","2017-11-13T09:39:05Z","1","3","1","4","1","0","0"
"d45a27f041658f1cfd33ee48215984cf7964e695","2017-10-19T02:59:31Z","0","0","0","0","0","0","0"
"ed453764400d050e9ea237bddbbf9f1467bf43ff","2017-10-19T02:57:49Z","1","20","15","35","1","0","0"
"b477c29e1b6bee0377e6e6ea06672bbc90e089e0","2017-10-18T04:25:01Z","0","0","0","0","0","0","0"
"5eeeb29b65bc06567d4feb75d0686240f6aa22f5","2017-10-18T04:25:01Z","1","5","3","8","1","0","0"
