"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"11cfa35a2eaa51f01f6678adb69bed0382a867e7","2018-06-21T10:52:36Z","0","0","0","0","0","0","0"
"0f211299f904cc3e8450fd9bb96aeec5d02f6913","2018-06-21T10:46:19Z","0","0","0","0","0","0","0"
"47da0c9fae80f6d2d0b86c622e538e4fe38aeb8f","2018-06-21T10:35:00Z","0","0","0","0","0","0","0"
"5eaa0ae2285cb25c534b00924d264d6640c4bbd0","2018-06-21T10:27:07Z","3","22","0","22","1","1","0"
"e66d9f9fe2c49e9e82ce4c5d6f1f678c7f356bb8","2018-06-21T09:16:56Z","0","0","0","0","0","1","0"
"65a4a59c1c4264866035c55541cdac0b8ccf5f0d","2018-01-25T08:46:17Z","0","0","0","0","0","0","0"
"cff9f125ca4b663eaba3971b3d8d229471d6c17d","2017-10-31T11:19:22Z","0","0","0","0","0","0","0"
"7e19a52846fc3a3db4e5bf49f988fbd9a831599f","2017-10-31T11:13:01Z","0","0","0","0","0","0","0"
"bbae30027eef44ecd4c272b653f398d81ff6deb1","2017-08-16T15:42:18Z","0","0","0","0","0","0","0"
"e859eb0836afe0e923d9fd997234c537231d86c0","2017-08-11T13:11:46Z","5","116","5","121","1","1","0"
"0694397eba6892e9758dddb4acf97de3550a8d3f","2017-08-11T13:10:30Z","0","0","0","0","0","0","0"
"e81d2af273c47c2c83c487fa4abbca6c8f552743","2017-08-11T13:09:58Z","3","52","13","65","1","1","0"
"87fcdd6bced8c0b201c0d1629b2b0b52cfd6c776","2017-08-07T13:08:38Z","3","36","38","74","1","0","0"
"37bbdf430c4754994d06a7b9ad45944861964adb","2017-07-10T06:42:02Z","0","0","0","0","0","0","0"
"15ac9202f182d3614945e8df016be767ff186e00","2017-06-28T09:40:17Z","0","0","0","0","0","0","0"
"152a826e43ddb8ebd21da82e39b029efa53ad779","2017-06-28T09:31:58Z","0","0","0","0","0","0","0"
"cf197b9a5be483dd9cf9a353049c2ff985c24a09","2017-06-28T09:28:38Z","0","0","0","0","0","1","0"
"67ae5206276fa7503da258a8d1eaba2338aeb157","2017-06-23T13:22:05Z","1","5","5","10","1","1","0"
"d87712f5f7285360a29cf5df6d1470d959b2b34a","2017-06-23T13:20:08Z","1","2","1","3","1","0","0"
"e348a31d46332bef47bf95601bf83d13354c7095","2017-06-23T10:49:59Z","0","0","0","0","0","0","0"
"192a3319299179eefa248d01b52befe889e07b3d","2017-06-23T08:38:34Z","1","7","1","8","1","0","0"
