"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"4e9b8d3029c5d33ef6857949cfd816e51796a5ee","2018-09-30T11:26:42Z","0","0","0","0","0","1","0"
"a062ca4b53cf355fb60e8495528de95facc62fe2","2018-09-30T10:48:30Z","100","347","358","705","1","1","0"
"3fe48169754e13d51aad9542110ad3aec35251a6","2018-09-16T13:44:16Z","0","0","0","0","0","1","0"
"c1ca25e65ab2738fb14b6d0c7448adf28f6a6912","2018-09-16T10:49:44Z","2","18","10","28","1","0","0"
"26b2dfc5dbbe20e9db849e9c627bd2412de4ebb7","2018-09-16T10:21:53Z","2","23","8","31","1","0","0"
"e166587b98eb3be7918a77997a052b315d98452e","2018-09-15T07:43:18Z","1","6","2","8","1","0","0"
"1fe7ab7eef70d5e8820a19d6c0c9433dfcd7afa7","2018-07-16T21:19:10Z","5","26","11","37","1","1","0"
"2b8a6a428a66dcd36784aa840357560cd57735bb","2018-06-03T11:17:17Z","0","0","0","0","0","1","0"
"efd3a2aa7984ddc8cce3f09cab87609ef774a05f","2018-06-02T09:07:37Z","1","29","9","38","1","0","0"
"99f13252957807685362ffceda234d5a3a50fdd1","2018-06-02T08:16:30Z","2","6","6","12","1","0","0"
"301b8cb5c455d327b0ef4b5b968087286fa0f7cb","2018-05-26T12:10:00Z","2","33","16","49","1","0","0"
"4351141c58a48741d1076229dffff0102cc5b6db","2018-05-26T08:24:30Z","1","4","7","11","1","0","0"
"6373afbd8dd004a03463bf8a6e24c44c33dddf07","2018-05-20T10:49:35Z","12","79","44","123","1","1","0"
"e822bd7022df7069c99489fd398fcf8e58f3f542","2018-05-18T12:07:50Z","3","18","1","19","1","0","0"
"7234a176881500005f968420ac7b797bd25ffbab","2018-05-13T21:58:50Z","3","255","34","289","1","0","0"
"94d89bc21ad27778d8ead47fc6c3c0d3a7cfd2de","2018-05-10T14:40:05Z","1","32","26","58","1","0","0"
"f287f9d829f1922b00c0f501681c7efaec3621b5","2018-05-08T23:34:18Z","1","26","9","35","1","0","0"
"b77cc5383e85aa487743844f8b26c96918b8fab1","2018-05-07T22:22:29Z","3","14","11","25","1","0","0"
"d9e3b6faa63b6cd6e1007342900aefe77ea94990","2018-05-01T14:03:05Z","0","0","0","0","0","0","0"
"8068f7d6cc7aa092ab9f6770fed7b0860a656cfb","2018-05-01T12:22:16Z","0","0","0","0","0","0","0"
"e8894c29cd60c41d1083ca59c9f82a86f169e51f","2018-05-01T11:53:32Z","0","0","0","0","0","0","0"
"60c62c80b6c54e0b87b1e001aa090daf2f5f531f","2018-04-29T22:05:20Z","0","0","0","0","0","1","0"
"63adf791eaae35b2cfc19ac0cda5a4ca4cfa3f20","2018-04-29T21:43:55Z","2","34","7","41","1","0","0"
"afb120bd205ae3ebc7e27d9d2e25d1d4ae17e748","2018-04-29T21:28:36Z","1","3","2","5","1","0","0"
"893e61455bec6e9eeec0813145c026612609d0ec","2018-04-29T21:26:52Z","3","14","6","20","1","1","0"
"7bed1e22f663a35603b916b99c8f02c1a3d60050","2018-04-29T21:23:15Z","3","15","19","34","1","0","0"
"1a4655b17ff764b5a2d81d8c6281b0a59de6df03","2018-04-29T21:19:09Z","1","22","11","33","1","0","0"
"70c88d64841494089bf6c91a0813ebf09f149895","2018-04-29T21:15:57Z","2","27","13","40","1","0","0"
"cdc9f7839834f20db985df27220cd79b51dc708a","2018-04-22T20:49:29Z","8","54","26","80","1","1","0"
"d570f68d1ec18ad1ec0eb0846afde8730a2afa1b","2018-04-13T17:24:49Z","0","0","0","0","0","1","0"
"7c6d07a655e63e541c35b38f8b8de8a920edc0d9","2018-04-13T17:11:52Z","0","0","0","0","0","1","0"
"9514603c782b5443551643e32ffb1cad10cca90e","2018-04-13T17:04:42Z","0","0","0","0","0","1","0"
"561b056b7275975114b367d232aa31336916ee5c","2018-04-13T16:17:25Z","1","9","6","15","1","0","0"
"af02b08f5d625389c513a47164f120c0520f076b","2018-04-12T17:31:29Z","1","4","2","6","1","0","0"
"131ac64a6bb7a9e4fa2182b63714753ddd890715","2018-03-28T21:58:35Z","0","0","0","0","0","0","0"
"ec9ff758745ec340b5e465ef1c2885c2a281304c","2018-03-28T21:56:36Z","0","0","0","0","0","0","0"
"4bc959f3c5c6fc3b15ca15469a77f31318b83a77","2018-03-28T21:54:22Z","4","27","10","37","1","1","0"
"044efaf752b18e00f0ca3f45534872e9f9a7c4da","2018-03-22T23:22:11Z","3","21","8","29","1","0","0"
"8f310f7243321f4200e13f28f2fbe539036d3936","2018-03-17T15:26:21Z","8","138","45","183","1","0","0"
"34bf00d03aefae627c4f26e3b6424d25540bc121","2018-03-11T14:54:54Z","0","0","0","0","0","1","0"
"72eee89a4d2530ada3078b910f85c19827a2ccf1","2018-03-11T12:25:56Z","2","32","12","44","1","0","0"
"f5542c331d31f880b55ef563073e54997cd41478","2018-03-04T17:38:46Z","1","18","1","19","1","0","0"
"ed86e5a9d98133845f2fa9f02a14a4d56c1ca14d","2018-03-04T16:05:14Z","0","0","0","0","0","1","0"
"4e48ff996bca1bccea5e95fb832721b89d22af6f","2018-03-04T15:26:43Z","10","88","135","223","1","0","0"
"c0891fd887f719f9bf03e6d1e033624fb6333f84","2018-02-28T13:00:17Z","1","1","1","2","1","0","0"
"2330e56fb73ba2fb5b38eef295a46b2dc898d1dc","2018-02-28T12:57:03Z","1","3","2","5","1","0","0"
"27903078808fffb4bf5f8958cb6dcadbc512cb6c","2018-02-27T16:39:50Z","2","3","3","6","1","0","0"
"7cebacdd639e2ae0d6559c5220e6be863d60c689","2018-02-27T08:55:50Z","1","5","2","7","1","0","0"
"8133d12b490ded49e4baa2ca39eb5e6aee54b5f8","2018-02-26T11:07:25Z","2","13","6","19","1","0","0"
"615752bc6a79e9f7108f25ac2d4e058f96053673","2018-02-15T08:33:46Z","0","0","0","0","0","0","0"
"5a236e3627304512f83923179bda6a72ddeab6b8","2018-02-15T00:01:59Z","0","0","0","0","0","0","0"
"41c3d28504ff9e13d9df5a9fdfb8822ba188378c","2018-02-14T23:55:50Z","0","0","0","0","0","0","0"
"731b59d8123fe6d8e88bea5bc3e51e3bea63e4ee","2018-02-14T23:26:15Z","7","211","37","248","1","0","0"
"002eeaddffa4be9480938a9799e3db48c5a7406f","2018-02-14T14:27:33Z","1","6","2","8","1","0","0"
"faa96d3d6c4a588572d050ae8704acd39082fac2","2018-02-14T14:07:55Z","1","4","2","6","1","0","0"
"728e7fe86a828b369ef3b29ee72e093ee7b908fb","2018-02-13T16:39:11Z","9","126","52","178","1","0","0"
"486ca15bad9c6c8118e424c701d8cc8edc264a5d","2018-02-05T10:46:14Z","1","1","1","2","1","0","0"
"509b17d4fb07ce43c07c887ca1865f6a21010dc1","2018-02-04T18:50:49Z","6","13","14","27","1","0","0"
"72d925f91806e253db473a0fdab77a1201c7c356","2018-02-04T16:54:32Z","0","0","0","0","0","1","0"
"22fca3185b1204c3f275da6fe281fa0f4538da94","2018-02-04T15:43:29Z","2","52","8","60","1","0","0"
"ab47cde605d57cea2619b62d9f0c7cf9b8ef0d0b","2018-02-04T11:55:26Z","2","12","10","22","1","0","0"
"3dabac7e9d73f286312303e7968ead89a164de50","2018-02-04T11:55:16Z","3","16","14","30","1","0","0"
"3630c333402c226d4a105a7728c6ff9e8e4b0c9e","2018-02-01T08:49:21Z","1","1","1","2","1","0","0"
"90a74c037a5239659c35d2405d7f87d76cbf2f20","2018-01-24T16:18:31Z","2","11","9","20","1","0","0"
"8f9714cbf1263d56409b8ec70d0c5c0f166f9d00","2018-01-17T10:01:08Z","1","2","2","4","1","0","0"
"d36347367444de971d1ebf46dcdd5d91c3e0b877","2018-01-17T09:55:20Z","26","443","117","560","1","1","0"
"5b0f0973ec6ea8e3ab523011992c5014258a5acf","2018-01-17T09:55:00Z","8","38","31","69","1","0","0"
"fb68e016959ca5d23604c1e05f638ca7a9134376","2018-01-07T11:19:43Z","1","2","2","4","1","0","0"
"81f7bddb948495426f6a8faa5b3e09e39c1c55b2","2018-01-07T11:16:57Z","1","55","2","57","1","0","0"
"4783fe2216004b05a26a439f5e746feca27e078a","2018-01-07T10:58:21Z","1","15","1","16","1","0","0"
"174f1adc48e54d4fbe9024e43e86fee1d19af8e9","2018-01-07T10:15:51Z","1","11","9","20","1","0","0"
"7a7f68503ccbe9f886dc1afb73142436b8dafc3c","2017-12-26T16:20:24Z","13","310","65","375","1","1","0"
"5f6e38c48a306a79fa13e40bcb676bdad787e4a2","2017-12-26T15:57:06Z","11","52","40","92","1","0","0"
"f38e78c427706f89623f2edcd10df933ec3526a1","2017-12-17T14:05:13Z","0","0","0","0","0","1","0"
"e64001a130bd2e2a3ef7d412b6be4bd777408e29","2017-12-16T13:30:51Z","10","31","35","66","1","0","0"
"939f0514efb3036214c78dc70db98ec138719429","2017-12-15T16:05:09Z","1","5","4","9","1","0","0"
"e8cfcb3ff8e4d5e2b52cf80bcc64b584ef98c1b2","2017-12-08T00:10:03Z","5","70","12","82","1","0","0"
"96f7ef5c5e6948cf049935f029fa1eb639567ecd","2017-12-07T23:26:40Z","14","71","56","127","1","0","0"
"b0715732f1934154e2db4f6a1067b445ae2bea69","2017-12-07T22:53:04Z","2","98","151","249","1","0","0"
"e4db4b74e90301d68b7703d610ca8509d45cc384","2017-12-07T22:46:52Z","11","241","165","406","1","1","0"
"8947fd94e8501c7ac4dc7430221bd2003abfe8b7","2017-12-03T15:02:53Z","0","0","0","0","0","1","0"
"d09b7d32961db94a1b6d4c03cce659cd6ef38cf2","2017-12-03T13:34:53Z","1","10","6","16","1","0","0"
"551bbd33680457635a122880d0bd71f3a4641178","2017-12-03T12:13:29Z","2","81","76","157","1","0","0"
"58148d25c470369bec942f83d757634b6771c06a","2017-11-29T13:06:38Z","3","33","7","40","1","0","0"
"72a44c881eb375a0931f3264b282d80a14bde95c","2017-11-18T11:56:27Z","1","2","0","2","1","0","0"
"e8af2560389129fee53eef4c7d948d3cb5fd346c","2017-11-18T11:01:37Z","6","32","29","61","1","0","0"
"f1c32ae2a1f130fd21a9bf7befc8f77b357b9c3c","2017-11-08T22:57:56Z","2","2","2","4","1","0","0"
"d0681df85feb2af73ef878e9a67970cf30b416ba","2017-11-08T22:57:05Z","0","0","0","0","0","1","0"
"3163590d3ed124b29570efaca5dc49cb19e7b1f6","2017-10-31T00:16:51Z","0","0","0","0","0","1","0"
"e7b22c1eb3b08d0740480d3f00abb2ef1642335e","2017-10-30T16:31:21Z","7","41","34","75","1","1","0"
"40bbbc2fbe1867a00a4612e5ee83e67b0673087e","2017-10-30T16:28:55Z","1","21","15","36","1","0","0"
"420a32cfa4cbba318e38862536f331382afd6508","2017-10-28T11:20:17Z","0","0","0","0","0","0","0"
"81e7d58f488d469bf1d3a01a6942bb8b75d251d2","2017-10-28T11:17:31Z","2","32","28","60","1","1","0"
"43efdc48e144f13b571c476bff9592acbc7e2c35","2017-10-28T11:04:01Z","0","0","0","0","0","0","0"
"2877e9cb5cb18fb01298c4511ae632a28505bf1a","2017-10-26T18:39:55Z","4","8","5","13","1","0","0"
"204da8d7a4f8c7f571a4985f67b0462e6f75e7e2","2017-10-23T17:40:14Z","1","1","1","2","1","0","0"
"4dce84ef900e6f0cf10f4739aee552c1f4ba0f5b","2017-10-20T23:07:00Z","0","0","0","0","0","0","0"
"daf5c7697cbf8b6b5e040770b9106d43d6f83ef8","2017-10-20T22:50:56Z","0","0","0","0","0","0","0"
"cc85ff62f52376b1d1d3059f5776d440479efaed","2017-10-20T22:50:12Z","0","0","0","0","0","1","0"
"259ad6f40c0d31490d8008aae71873a65c7ba237","2017-10-20T19:47:15Z","0","0","0","0","0","1","0"
"b46ec75e1722b28a92319acc289862488faa0ace","2017-10-20T18:41:59Z","0","0","0","0","0","1","0"
"5e3b9aae49f161cf0f7d245ccf1ba728da3a1239","2017-10-20T16:22:40Z","4","98","22","120","1","0","0"
"926d82a364640e9cd8272e54958af0e2255fc6a8","2017-10-20T16:13:34Z","0","0","0","0","0","0","0"
"45cd3e83b1c641580f5660bc6d25b4e243b03fb4","2017-10-11T23:13:22Z","2","28","5","33","1","0","0"
