"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"6e115aa7927441a7348f747b1316d5f4c4b4241a","2018-08-23T02:36:43Z","0","0","0","0","0","0","0"
"390618386424dc2e8a697a794bff3a52b8f07c61","2018-08-23T02:35:59Z","0","0","0","0","0","0","0"
"3258205ae1652c9f608ea194e85e8d7052cbda1e","2018-07-16T06:30:21Z","0","0","0","0","0","0","0"
"887b86e5e4e5f99a60454839e7a7e86201a3ee6a","2018-06-22T07:06:25Z","2","3","2","5","1","0","0"
"7f268b7a8d42b2a4ea2037015940088f6f308652","2018-06-13T10:22:39Z","2","3","2","5","1","0","0"
"9266b11b175615af370d130103d6a5abeab85444","2018-06-11T03:14:24Z","0","0","0","0","0","0","0"
"abd49673e893745b47a5a3348915c0699a852526","2018-06-11T03:12:58Z","0","0","0","0","0","0","0"
"349e1772dbad87f2e2de4a7025a86e4076647e10","2018-04-17T03:04:47Z","0","0","0","0","0","1","0"
"80b7e76e1b96fa46021e554c07b28dfd495f4f0f","2018-04-17T03:04:07Z","0","0","0","0","0","0","0"
"7e4c79bd792677772ca43ca87bc9b8bf3c8ef3df","2018-04-17T02:54:20Z","0","0","0","0","0","1","0"
"c9d2a5f2f99eb01005984bce4a4ebdce60271a4c","2018-04-17T02:53:05Z","0","0","0","0","0","1","0"
"85cf204c42a27e479f3fb3fb0345b185329ea456","2018-03-12T09:46:48Z","0","0","0","0","0","0","0"
"3ae97850a2be46fa36f75d4ce2f0b3261b6e918f","2018-03-12T08:41:29Z","0","0","0","0","0","0","0"
"e9ff5d3f7c793dfe4a9fcee78fdb827c7618723a","2018-03-02T03:23:54Z","0","0","0","0","0","0","0"
"98dbdef0fc441b1771d84eb4e80b58f85a7a607f","2018-03-02T03:21:47Z","0","0","0","0","0","0","0"
"f74c04c6c687968ac6eaa278ebae35016dba880c","2018-03-02T03:08:18Z","9","0","827","827","1","0","0"
"a09f2cc1bcd49fe6ca12170d56b270cf03c91fe3","2018-03-02T02:59:50Z","0","0","0","0","0","1","0"
"bfe9b9d9728dfb18209cebb74fadd79818b0e51f","2018-02-02T02:42:09Z","0","0","0","0","0","0","0"
"50f21a40862ca4499396d3a7991808532012b48c","2018-01-29T08:09:30Z","0","0","0","0","0","0","0"
"9188a636a92a4fc78a36887611d91fbf702a213f","2018-01-24T03:14:13Z","1","19","1","20","1","0","0"
"7951dee40e2157bb88c1d0f3611fe25750546f0c","2018-01-23T20:37:15Z","0","0","0","0","0","0","0"
"eaed3ac3280006037803754fbee345f1465410c1","2018-01-23T20:34:03Z","0","0","0","0","0","0","0"
"2c61a06115a3512d82f3339ba1c021356a68debd","2018-01-23T20:31:40Z","0","0","0","0","0","0","0"
"dde6b8ea885810fea9c7faa7019d793209fb8b78","2018-01-23T20:31:18Z","0","0","0","0","0","0","0"
"0fdee024403a182a1dac465ee7df7736b161f516","2018-01-23T20:27:22Z","0","0","0","0","0","0","0"
"79be5515d73228719e73aa81cf587d6c1abd0d10","2018-01-23T20:26:16Z","0","0","0","0","0","0","0"
"86d8c564a0e29f797d0f56802fe875c0a0221223","2018-01-23T20:24:13Z","0","0","0","0","0","0","0"
"ed3a289a897d0ea14676a7c7d92344f5b398991e","2018-01-23T20:01:29Z","0","0","0","0","0","0","0"
"11791a0f9c061979c46b809224dbc3bdcaf28033","2018-01-23T17:31:12Z","29","2226","0","2226","1","1","1"
"f52a0adac7ec19f2b885b14bb26e8780093558d3","2018-01-23T17:06:53Z","0","0","0","0","0","0","0"
"c15a86d1ed4629b32e043d018b7a30365963a2e4","2018-01-23T17:02:18Z","96","11942","0","11942","1","1","0"
"02eb5f0f2eb4679a5008382cd105688638f3af67","2018-01-23T16:51:47Z","0","0","0","0","0","1","0"
"fe313de5819e378bd121a1ae33245255e48760e5","2018-01-23T16:51:08Z","275","22068","0","22068","1","1","0"
"f3321e58f2095f6179fff87a9f7eb7eb5e134656","2018-01-23T15:33:20Z","247","0","22463","22463","1","1","0"
"407b43744cf993a8d4e10f6b7a90ea5f14a50067","2017-12-16T03:36:58Z","0","0","0","0","0","0","0"
"67bac0ae80da6bb311acd92544194d6cbd522ae9","2017-12-16T03:35:16Z","1","29","9","38","1","0","0"
"6b106c46c0b4552d19ff30cfe5ef6ac4e9b9353f","2017-11-28T13:56:35Z","0","0","0","0","0","0","0"
"29db8b967728f62eb972fda82c11d6d51850376d","2017-11-27T14:09:43Z","1","1","1","2","1","0","0"
"e6c6b1fa38107ab139a4dc3c9a722cd8f0b12afe","2017-11-16T02:51:31Z","247","2282","2282","4564","1","1","0"
"d1b3bb9ced7d44f6694acb5b1ceaa39b3683f235","2017-11-14T07:27:10Z","1","544","581","1125","1","0","0"
"a4ee260b83898cb53c76a7625b6a30f398c2557c","2017-10-31T08:14:22Z","1","787","745","1532","1","0","0"
