"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"10ef642499497680e12d860ed521fdb2d474e195","2018-07-25T10:45:22Z","1","4","1","5","1","0","0"
"d33a880b6ccee315a46372124a18bcbdc801d133","2018-07-25T10:33:50Z","1","4","1","5","1","0","0"
"d09ab1f3ae50622568cde698c758e808cd3432e8","2018-05-07T11:03:00Z","0","0","0","0","0","1","0"
"6540e9b061f558676d8a70f6ed6c91fba5440126","2018-05-07T03:40:28Z","2","22","4","26","1","1","0"
"2456e6089b29ac7933749bb01cd281e32638681a","2018-05-07T02:31:44Z","1","5","1","6","1","0","0"
"85ebe93c763755450aaf6d041518228503a5cee1","2018-05-06T18:39:44Z","1","5","1","6","1","0","0"
"7c6d68e5fd200e27eaaf38aa841e7f1a4a206eac","2018-04-16T02:41:42Z","1","4","4","8","1","0","0"
"65efb0df30acd78f428e8aabb0e2063b48e57ff2","2018-04-16T02:40:05Z","0","0","0","0","0","0","0"
"01a704a28e75001c7b79d5719f7ec9331c04e05d","2018-04-15T07:32:45Z","0","0","0","0","0","0","0"
"6f1bb919bbfd6473eea1eb16ccb564b5552894f3","2018-04-12T08:41:11Z","0","0","0","0","0","1","0"
"fb63dccdd285397ff7c353e924210b889b40ce9a","2018-04-12T08:26:34Z","1","17","1","18","1","1","0"
"e20a2b27b7bc01d3f5e2bc8477f3bc6d96638bdb","2018-02-22T13:51:56Z","1","4","4","8","1","0","0"
"a85871be6d0cc3da1337ce815fdafc3aa810b4ed","2018-01-30T10:20:04Z","0","0","0","0","0","1","0"
"c750af062c48209dac8a9dd39aa85d7acd57c7f7","2018-01-29T12:56:16Z","1","3","2","5","1","0","0"
"556a2f3648de65519f9c7b66137308d2a19db7be","2018-01-29T12:55:44Z","1","4","5","9","1","0","0"
"545e49cc37beeb43d645bfd99aa7d98df807586c","2018-01-29T12:45:27Z","1","7","1","8","1","0","0"
"63e6b8332a91d0dfb79da1ff6c9522dd4a9ee7e9","2018-01-29T12:40:24Z","0","0","0","0","0","1","0"
"d680af29dc7340c25a73e2593414e6db730bd16b","2018-01-29T12:30:15Z","0","0","0","0","0","1","0"
"d025cbe292ed3be16f483d6b6c67d25367437dd3","2017-11-07T07:06:57Z","3","1","44","45","1","1","0"
"7577fc565dfea1482629470eecb3d422b4294a10","2017-11-06T08:34:26Z","1","1","1","2","1","0","0"
"1661333f7c75a4c210d41261ad5f081d9fac8b23","2017-11-06T08:33:10Z","10","42","18","60","1","1","0"
"1daf0434f9db208a8821492e39a398acc16a26e4","2017-11-06T08:33:08Z","10","42","18","60","1","1","0"
"d5d40fbbda9d95242917fe4934007a4ed95224ad","2017-11-04T11:24:42Z","3","24","9","33","1","0","0"
"f484608070a88f2e94124b2e50b52c08fcf4068f","2017-11-04T11:09:25Z","7","18","1","19","1","0","0"
"9025ae3e6f9600704c5af6e35d37129f8a56c1c2","2017-11-03T17:50:48Z","0","0","0","0","0","1","0"
"e79ee4618fdf0ad4b549da5aaacd101526a4ba72","2017-11-02T11:08:59Z","3","19","9","28","1","1","0"
"31c27362c886bf790872c44dc4cdca27ea1f18a5","2017-09-07T07:28:11Z","24","194","5","199","1","0","0"
"46463446debfd6340eff3edab36eb03e84099b84","2017-09-02T16:35:37Z","24","194","5","199","1","0","0"
"15ccfa93388e935e3f24ffe3cbadc7330427e6b6","2017-04-01T10:09:56Z","1","0","1","1","1","0","0"
"a9f913733b15b51a844d5190e00a24e30a03c8fe","2017-04-01T10:04:43Z","1","0","1","1","1","0","0"
"cd36246463516335bf66aaa3a2bc2be9fa7d7136","2017-03-29T14:58:29Z","38","1934","11","1945","1","1","0"
"49b788ddacc6f8d12c707a794c2e4af655886832","2017-03-28T10:37:18Z","0","0","0","0","0","1","0"
"189e3732c066e81b7fac9cdd06a18d59b2aac310","2017-03-28T10:33:47Z","6","41","12","53","1","1","0"
"0cf80b7b98bd99ab0e2eec869821b49dbbedf498","2017-03-16T09:01:22Z","3","269","0","269","1","1","0"
"d357974c0d5752c01a3e6b65aa0ffc1d03e30121","2017-03-16T08:39:05Z","4","246","6","252","1","1","0"
"e90e6468ee0aad787fa1fa2c7924613c5cfcc237","2017-03-16T08:14:06Z","4","63","29","92","1","0","0"
"389d8887b857cf0e2981e49738994c7e9a5e71d5","2017-03-15T11:11:13Z","8","322","15","337","1","1","0"
"586e794651f11c9a50a2cc50f84db84ff0b29ac4","2017-03-15T06:22:36Z","2","118","0","118","1","1","0"
"56356e5d1036e437c235c55f10e8e26df933ab8b","2017-03-14T10:31:53Z","12","158","39","197","1","1","0"
"723b4bee8679122e6ffbdfd56177cd14c1447223","2017-03-14T07:16:34Z","10","303","46","349","1","1","0"
"1be31393f627cbf6ea170ac95ca6be51ebcb902c","2017-03-13T10:00:00Z","14","559","6","565","1","1","0"
"60a1abdce20739f8e3d372887332ed688ed11e70","2017-03-09T02:03:59Z","2","13","0","13","1","0","0"
"edf2a2d7b2648ef18f321558ce91bf6f049ca013","2017-03-09T02:03:48Z","2","14","1","15","1","0","0"
"b1d2765212ba490eb8f82d8187211fdf65f6df6d","2017-03-08T23:19:10Z","1","2","2","4","1","0","0"
"315069862ecab4a609d1255fead4606eef0eb88b","2017-03-08T23:16:22Z","1","9","0","9","1","0","0"
"ea28b6aafeb0d491db43271d1595f048359cddc8","2017-03-08T23:15:09Z","1","4","0","4","1","0","0"
"5ed7766bd7199621034e1b6da3231f52aec6d03b","2017-02-27T04:42:14Z","0","0","0","0","0","1","0"
"ed29a07bd153760b8aebb2adffd103ac22a653ff","2016-10-23T21:55:59Z","1","7","0","7","1","0","0"
