"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"e540ba3fd44b9ef0a18b7ed2b081ba2eddbc7828","2018-09-28T08:44:50Z","1","3","3","6","1","0","0"
"0280f3f416e3bd8b3f65535cab438603276b13c6","2018-09-27T09:04:16Z","1","1","0","1","1","0","0"
"8e04cd7928ca64bcd79c1f19a1836f3a4eff6726","2018-09-26T04:14:57Z","0","0","0","0","0","0","0"
"28062c0e20e809abf8628be35d9dd935f0470dc0","2018-09-26T04:14:27Z","0","0","0","0","0","0","0"
"8763ec7ef89cd66c9cde6c9db374340e408d9883","2018-09-26T04:12:04Z","0","0","0","0","0","1","0"
"f470260fff122fcbe926f2f5998b8f3af80a77ef","2018-09-14T09:32:46Z","1","6","1","7","1","0","0"
"1d7d6b8158109d996e63014ecbd83ba28a6fedd2","2018-09-14T09:31:34Z","1","67","0","67","1","0","0"
"9c76367de299b44dd7170d293fef84d6df50f617","2018-09-11T09:53:50Z","1","7","8","15","1","0","0"
"5005cba002ec23bb2e88659eaf7f95259bc64634","2018-09-11T09:50:09Z","1","12","0","12","1","0","0"
"b5b9d8ae571fba38fe2f838d87a1edcb1fca4c1a","2018-09-11T08:04:22Z","1","12","0","12","1","0","0"
"0730f5c04f23605cf577cd63fe953c61cddcca3e","2018-08-30T10:36:21Z","1","0","1","1","1","0","0"
"0c5c92799b2b1e06eb22d2f58fc2ceeaac338845","2018-08-30T10:31:41Z","1","2","2","4","1","0","0"
"9c2c6ca575c0d75b5d316b6cfcc07b65380dc208","2018-08-30T10:27:55Z","1","20","14","34","1","0","0"
"a2c0aa4ea10f6d7c0f1917cf25179f66e35e97e5","2018-08-30T08:47:09Z","1","10","10","20","1","0","0"
"64d5746803532660e0772f606ef2864a803a96c4","2018-08-30T06:55:52Z","1","28","16","44","1","0","0"
"56a73daa2981ebcd0ac6f0af1344453ac732ce5a","2018-08-30T06:22:33Z","1","42","16","58","1","0","0"
"106f62513cfb3c9fe6c6f0531aa73b3aa428177d","2018-08-30T06:05:07Z","1","1","1","2","1","0","0"
"9ea64030333690648ae5f592814df38ec31eafb0","2018-08-30T06:01:48Z","5","165","68","233","1","0","0"
"6df1fa0160e593a397de37fa1797c28cf0cee04d","2018-08-29T14:13:17Z","1","15","0","15","1","0","0"
"fc074292af059961f92bb98d573a9356b1e68ecc","2018-08-29T14:12:25Z","1","15","39","54","1","0","0"
"1aa17f1892a31fdcdca78ce88b76cff42290fc18","2018-08-29T09:40:19Z","0","0","0","0","0","0","0"
"b2d9fd1d01aec5aca1fc7b94a36d01d233ce9350","2018-08-29T09:37:42Z","0","0","0","0","0","0","0"
"709d591e8fbbcbd815d1a4598828639a1b68269c","2018-08-22T16:43:29Z","4","101","51","152","1","0","0"
"b0380eda334d5bf8b79363c4c6b5d5b98aa2d7ae","2018-08-22T16:24:41Z","1","71","15","86","1","0","0"
"df1f21791575b6949bf689fead79b39794849455","2018-08-20T10:18:27Z","0","0","0","0","0","0","0"
"41a723dbcd85e68f6c3ad2c89a5e45eb03a2bb09","2018-08-20T10:15:10Z","0","0","0","0","0","0","0"
"786fa8c6d4ba17b56f11bd6201d708af23aca219","2018-08-20T10:06:24Z","0","0","0","0","0","0","0"
"5826e000ef7ff0fb35be5f2511b995ed9927bf1d","2018-08-20T10:05:47Z","0","0","0","0","0","0","0"
"736423ab4d49a20d8f20ad05bd1691e4da719ebd","2018-08-20T10:04:16Z","0","0","0","0","0","0","0"
"a5963f50c067bd6ea3a978051e2d4b02ca851a7f","2018-08-20T10:01:05Z","0","0","0","0","0","0","0"
"6769e766c2166dcb2cbecfa0021dc86173bc7fc6","2018-08-20T10:01:00Z","0","0","0","0","0","0","0"
"5405a15752451a6d2053dc08d8fac930ec067eb9","2018-08-20T09:46:04Z","0","0","0","0","0","0","0"
"ebe50e7599e7f431d81b90c28ca8a6a6ec21dcae","2018-08-19T06:27:41Z","5","12","10","22","1","0","0"
"ce56089672ee912dd997111bdc03ef374fd98bbe","2018-08-19T06:15:41Z","1","15","0","15","1","0","0"
"b103e207e4f7966cf08d475c4d1397ed23f0b237","2018-08-17T08:26:53Z","1","5","1","6","1","0","0"
"4a7c708b70e9cae3c2fd44f762d22e34165d88c3","2018-08-10T02:13:13Z","2","4","3","7","1","0","0"
"48fe6569cc64ee09e83fc197b25872fe6530dfe3","2018-08-07T08:13:30Z","1","42","14","56","1","0","0"
"8e252e60203cb4e0798ae357f509c7046ac5d6e3","2018-08-07T06:07:25Z","1","1","1","2","1","0","0"
"6b26359ee9753ca688687ae4072c74cad15da938","2018-08-07T05:42:16Z","0","0","0","0","0","1","0"
"2acfa2a9bfe3014ee473bee1da03bd79a7ece493","2018-08-03T12:18:47Z","1","1","1","2","1","0","0"
"fc5c63fc2eddee3511c7a63295c16c9f8f56a8dc","2018-08-03T12:07:55Z","0","0","0","0","0","1","0"
"7c126f6e0b6ba2b2b008e3228c36be6364d6843a","2018-08-03T11:45:19Z","1","3","2","5","1","0","0"
"853b3c9cfe23bde945e019ec275882957421061a","2018-08-03T11:34:23Z","1","50","2","52","1","0","0"
"1848f1e6ea488cd03fc2619e1028f9df6eb5fa34","2018-08-02T10:18:08Z","1","3","3","6","1","0","0"
"5e71db2d27c0391dbfa1fcc4f2ab280b539945b3","2018-08-02T10:16:13Z","4","12","15","27","1","1","0"
