"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"58ae596b0ff9bd8769c41170ef6ccf6420e30ba1","2018-09-29T06:21:14Z","2","30","15","45","1","0","0"
"f1ca21678daf376cc21f7fb6a7112fac301085a9","2018-09-29T06:02:41Z","1","1","0","1","1","0","0"
"d7eeef2c8a1c143cff8f81a522039aebb0c8c04e","2018-09-29T05:57:51Z","2","67","55","122","1","0","0"
"4f626897f20311d0d7f04cf9b9c16fa043bee838","2018-09-29T04:28:12Z","2","1","5","6","1","0","0"
"b127e01845093f5404f524485ad86ef53611d5b1","2018-09-28T06:05:55Z","0","0","0","0","0","1","0"
"2118beeb23e0e0bc7f7be2d108722dba8ddba6f5","2018-09-28T05:58:28Z","3","22","43","65","1","0","0"
"5020cd1bbf7829100da552aed7165572038ceb05","2018-09-28T05:25:43Z","0","0","0","0","0","0","0"
"cce636224c4ca50fa01c243077a47defd4a95396","2018-09-27T22:26:41Z","0","0","0","0","0","0","0"
"60b3b8ddce86ef04f288dcb09426c95abe59fb03","2018-09-27T07:56:56Z","0","0","0","0","0","1","0"
"41446ec9badaeebf9f46548866eb87b0c6e43278","2018-09-27T07:30:16Z","0","0","0","0","0","0","0"
"df8b047bcab3ee0a9fc37c4268c4cae874ab7423","2018-09-27T07:11:10Z","0","0","0","0","0","0","0"
"12ced5201201c5cfa9a30c3e93d18fbbdee1f578","2018-09-27T04:30:10Z","0","0","0","0","0","0","0"
"1d53335ae5017473fc2c06f6fecd04f780cf8c4e","2018-09-27T04:09:59Z","0","0","0","0","0","0","0"
"971a50d290dacee195355b0c32f7c0f87a877dee","2018-09-25T04:39:49Z","0","0","0","0","0","1","0"
"36dd9106a83d5aa6240ea33bb0826b292967b383","2018-09-22T01:46:09Z","0","0","0","0","0","1","0"
"0a4ee3ffc7877348a8d0a00005b60346da7da522","2018-09-21T16:01:59Z","0","0","0","0","0","0","0"
"cfe32f1a70eab9fd64d59ba53d15ed735e21c78f","2018-09-21T02:34:09Z","0","0","0","0","0","0","0"
"d877f5d5c63a415e472558a30617580abaa3f55f","2018-09-20T20:56:17Z","0","0","0","0","0","0","0"
"0ab6ffefb43c38aa036e7368454a89807bfef9f7","2018-09-20T20:55:48Z","0","0","0","0","0","0","0"
"a292a1d23acf2b495a56ab7d7f3d0e2db745134b","2018-09-20T20:55:16Z","0","0","0","0","0","0","0"
"3f87f6aee3aeb6c202c21a8375775c5a45e739f4","2018-09-20T20:21:22Z","1","1","1","2","1","0","0"
"04bcd145d33617b2e6a400e47b644607ca17dbb2","2018-09-20T19:37:59Z","3","13","3","16","1","0","0"
"244e811291917058033d2ae054a6262fdf74869c","2018-09-19T04:06:14Z","1","38","0","38","1","0","0"
"ac7467fb59aee2c158816ec875276157ebaa9153","2018-09-19T03:48:21Z","3","41","67","108","1","0","0"
"2c0436216f6f0bc2403986aa2771af03b1e4a91c","2018-09-18T14:04:12Z","4","28","16","44","1","0","0"
"017fbf267b670862b2bc19f9e25ddb993e690e6b","2018-09-18T03:29:38Z","4","11","17","28","1","0","0"
"e6afbf2ec0291753c17ac063b32f7457cee0c0bb","2018-09-18T03:03:37Z","0","0","0","0","0","0","0"
"906b4aad9e772528fa99bc9f73b81fde0fc363c2","2018-09-16T08:16:18Z","9","414","366","780","1","0","0"
"4cf8d41f6aff71bff8bf3e1de62ae399eb594ca8","2018-09-16T04:18:34Z","1","2","1","3","1","0","0"
"47c860142ed333d9a20296694f2380491c8b815f","2018-09-16T04:08:13Z","11","63","26","89","1","0","0"
"2fba3f213bbba1bd845ff0495c42ee2f39ee44c6","2018-09-15T06:49:19Z","0","0","0","0","0","0","0"
"af7c6f9fceebb69c9018561047f2e7bdbbcb14de","2018-09-15T05:45:10Z","5","7","10","17","1","0","0"
"78534deab6cb56e40256cdf0c899aeb5fdfb75c9","2018-09-15T03:00:39Z","44","626","276","902","1","1","0"
"67103148320dbdf435fbba889eb2ccc1eb1383ca","2018-09-11T15:04:51Z","0","0","0","0","0","0","0"
"0cd4fa6fa010602a5102dfe4e8eabc4d08d0da25","2018-09-11T14:48:36Z","1","1","2","3","1","1","0"
"065949496e41ede016a4675254eb186a6818576e","2018-09-10T06:27:45Z","47","127","105","232","1","1","0"
"39c82576aeef25c2a130407ba79bb8cc77946e6c","2018-09-09T16:36:42Z","0","0","0","0","0","0","0"
"37221a508d90e66122ff1be3ef6b2b837a49eccc","2018-09-09T16:25:22Z","0","0","0","0","0","0","0"
"6b43a32a104d690515cd946c13548addbcdf750a","2018-09-09T14:41:02Z","0","0","0","0","0","0","0"
"d7cd1ff142c5f180591f7b361b16f9f2bf38974b","2018-09-09T14:40:40Z","0","0","0","0","0","0","0"
"659d9478634652e6c3db038d8106051aeb73f679","2018-09-09T14:40:33Z","0","0","0","0","0","0","0"
"39be7a6288b252c53e3ce171bc2afc18149f0bd8","2018-09-09T04:38:47Z","0","0","0","0","0","0","0"
"8ac976c579419f206237728605d795c0658cc42d","2018-09-09T04:38:33Z","0","0","0","0","0","0","0"
"70fd432c5720bb51b12851b2acf941b328de8043","2018-09-09T04:38:25Z","0","0","0","0","0","0","0"
"00135f2f49d39933b247764588e1159edfd2aad9","2018-09-09T04:38:11Z","0","0","0","0","0","0","0"
"9b944bc29c18d20dc75229c41c58783f243af8f5","2018-09-09T04:38:02Z","0","0","0","0","0","0","0"
