"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"31be59c35d612722005f5449baf6867a2942746b","2018-09-22T16:29:35Z","1","26","6","32","1","1","0"
"311ec47705da0d6517afbb54d514afb0d127ad66","2018-09-22T16:29:35Z","0","0","0","0","0","1","0"
"58cb260eb6652b7f9498f92029881258531641b5","2018-09-22T16:29:29Z","0","0","0","0","0","1","0"
"460bf95f2436011bb12c1e0b3ad431936ffeb9e6","2018-09-22T16:28:35Z","0","0","0","0","0","1","0"
"e9766fec276e2bccfd611deadc75b92131c50e18","2018-09-22T13:03:51Z","0","0","0","0","0","1","0"
"efc8f7cca0b0553e6dab399c4e4ec56199680481","2018-09-22T13:03:18Z","1","26","6","32","1","0","0"
"3878084e7a0e37631ac85694c3ccfb0cb85afff3","2018-09-16T17:03:10Z","0","0","0","0","0","1","0"
"e189a72faafbb8e8cdfb2cc76db4098464152e5d","2018-09-15T13:25:43Z","0","0","0","0","0","0","0"
"cc45a4991f06e0f461bcacf23df9082661962806","2018-09-15T13:18:24Z","21","247","126","373","1","1","0"
"32297f89de3882a0f53365e98f4a5ee56adcf0c5","2018-09-15T13:18:24Z","0","0","0","0","0","1","0"
"5da8ee0c8d9581beed25b6ef6e24bff8e057f742","2018-09-15T13:16:00Z","0","0","0","0","0","1","0"
"d65ab35b2373d6d5d72a32b36a70328a9061a561","2018-09-15T13:14:25Z","0","0","0","0","0","1","0"
"a5de1ee1ebadf70ad698cc40e246c1d6f6e18e7c","2018-09-15T13:13:19Z","0","0","0","0","0","1","0"
"2559eb73bbb4dd99bb38f061ebf5da76d46031b5","2018-09-15T13:12:25Z","0","0","0","0","0","1","0"
"019669977357a9a9381d7aef1fb61f939c9ee4f9","2018-09-15T13:11:43Z","20","229","118","347","1","1","0"
"a888a01b0f1b3c76cbfbdde809af48569fe89a4b","2018-08-19T10:56:45Z","1","7","4","11","1","0","0"
"026cce906aa7d7d942963863ce4fae2d987619e8","2018-08-18T18:30:56Z","0","0","0","0","0","0","0"
"8b099901bdf1edacd61bd1e75eba1afdb7469b9f","2018-08-18T18:23:32Z","0","0","0","0","0","1","0"
