"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"8b746e583f6746ed1c90bef365c720d38362ce91","2018-10-01T09:04:39Z","0","0","0","0","0","0","0"
"54e14427bb85722260800f23eb22ab0284d25c1d","2018-03-26T15:57:18Z","1","13","4","17","1","1","0"
"4e96e0a3f8fbc08f117e5e795da963e1416b606c","2018-03-03T00:45:44Z","1","13","4","17","1","0","0"
"de6adafdd3a0789351d860d198edd5ee76491b4d","2018-03-03T00:42:04Z","0","0","0","0","0","1","0"
"cc8e5a521031240e0fc362b8e98fa2ea91be5eec","2018-01-04T12:44:04Z","0","0","0","0","0","0","0"
"ea0126432f33bfcc14bc66e3391f3c6a76e15ad5","2018-01-04T12:40:42Z","0","0","0","0","0","0","0"
"8755440b70e6713f6009d2ea3aa17f60a6053b6a","2018-01-04T12:40:03Z","0","0","0","0","0","0","0"
"fb84e2daecc57e72f0c357e84e8410420c22c801","2017-10-26T12:59:24Z","0","0","0","0","0","0","0"
"759e3ea5a6136d0fc1a2ae682c34bd4965357154","2017-09-29T08:54:14Z","0","0","0","0","0","0","0"
"1c0fdfa08fbcb57308bea519bb6276f362b5eade","2017-09-29T08:33:03Z","0","0","0","0","0","0","0"
"f165302023ce9cf8af246d35806c006c758704c7","2017-08-22T08:44:05Z","0","0","0","0","0","0","0"
"c3b655df836ff755e8251de5ec93c5fcc7c1d0a9","2017-08-22T08:42:53Z","0","0","0","0","0","1","0"
"f3eebe84d492c133b7cdf6ab44b5d4626db74363","2017-08-22T08:19:36Z","1","8","5","13","1","1","0"
"993777fe8e1f2e402bdc18decb77a7de961c1f98","2017-08-21T01:54:45Z","1","8","5","13","1","1","0"
"7cb89364f1439841c295cc66d7b0df13a507905a","2017-08-04T08:49:28Z","0","0","0","0","0","0","0"
"9222a1b1355f762c698a916acf6d18ef712e90ad","2017-07-21T09:33:30Z","0","0","0","0","0","0","0"
"102f461822aa2ff30b308eea3f00756ff605977f","2017-07-20T18:23:24Z","0","0","0","0","0","0","0"
"2d5d36b7caa461236723804eaf028a99f30f5d9d","2017-05-11T08:48:19Z","0","0","0","0","0","0","0"
"8966f0527b4bfabb590ae0fb53380323f31c7377","2017-04-18T07:27:52Z","0","0","0","0","0","0","0"
"0d4973f04b3cf62003d49e2d8491b3203cd13b5e","2017-04-18T05:55:04Z","0","0","0","0","0","0","0"
"f951f82d15e727b9a1640ee57b6eb15a54039ab9","2017-03-07T19:22:04Z","1","3","1","4","1","0","0"
"71d644fbbde8be44a158fa9665de9a86c3513dd4","2017-03-01T07:09:37Z","1","3","1","4","1","0","0"
"4ebc9f47834f21ad013a5e5908210c6906622c00","2017-02-28T08:56:23Z","15","165","817","982","1","1","0"
"2f43f953364485c7a70dbd844758109e39ac7dd4","2017-02-28T08:56:06Z","0","0","0","0","0","0","0"
"9b4d954087b16e5c9b61cdf42a9f1c1a80182e5d","2017-02-28T08:41:00Z","15","165","817","982","1","1","0"
