"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"a98e7451162569d010de738f29bf5896d3d4cd90","2018-10-01T15:40:40Z","1","10","4","14","1","0","0"
"61f1b10a066c5f0ba7532cf96f4603a4fb7d6bf1","2018-09-30T15:34:16Z","0","0","0","0","0","0","0"
"4bcb2a5c9da98ddfedf2faafd8065b8126e37076","2018-09-29T23:42:02Z","0","0","0","0","0","0","0"
"7e48648f9e0feb22c60a359b9c93503c57fc7639","2018-09-29T10:45:10Z","81","197","297","494","1","0","0"
"bcc97d1aa7252a3af92032e8aaeed6aca595667b","2018-09-29T07:13:15Z","1","10","4","14","1","0","0"
"49f9d36718a3977b5ff2866b005ec01c375c135a","2018-09-28T15:17:30Z","81","197","297","494","1","0","0"
"f9cb258a5ec321548440c68a611d075e07200d01","2018-09-28T09:26:41Z","0","0","0","0","0","0","0"
"97381a4908042555e5f5ecc104affec26f3801ae","2018-09-26T23:28:42Z","0","0","0","0","0","0","0"
"7a15acc5462a38b3eaf9e825936b2d3e7559532b","2018-09-25T16:13:16Z","0","0","0","0","0","0","0"
"0265de2137cac9fab854e97f932c541c2d22cba9","2018-09-25T16:13:14Z","0","0","0","0","0","0","0"
"595b9910f593c27dd9f6cd6449c8ca1292d91c8a","2018-09-25T12:22:36Z","0","0","0","0","0","0","0"
"f4d4d2cc3526df9a236007b3c34eaacd7515b96f","2018-09-25T12:22:35Z","0","0","0","0","0","0","0"
"b4fb4d7dcfc848bc08d56aa79b71301a39b0965c","2018-09-25T12:22:30Z","0","0","0","0","0","0","0"
"1a375fb52330332bc1c2f94aa2a8d30e6d31886d","2018-09-25T12:22:27Z","0","0","0","0","0","0","0"
"658c0ff5c4fdef588743769b9cb704c858ee5d85","2018-09-25T12:22:23Z","0","0","0","0","0","0","0"
"6092f06d4642f2e8d054c3201eb69b81eb980482","2018-09-22T09:32:13Z","2","27","5","32","1","0","0"
"4671b956b367d1cba2b1909ae71fcc54ebadaf8c","2018-09-21T14:22:02Z","0","0","0","0","0","0","0"
"552ba6999a61c1e59782da39d2d6c1d835692791","2018-09-20T13:16:07Z","0","0","0","0","0","0","0"
"b86bc4455f849b9c4354cb7ba1eb3778d52dc8d5","2018-09-20T13:16:03Z","0","0","0","0","0","0","0"
"b6d36ee11773e86e3261d3250346af02fa566d7b","2018-09-19T06:30:03Z","0","0","0","0","0","0","0"
"5d57f864dc9e02cd4d180b7327cbc1de0962dcdd","2018-09-17T21:21:52Z","0","0","0","0","0","0","0"
"c6ee2816dbe1cb48df8aa35b1c7d9174900f0058","2018-09-17T21:21:51Z","0","0","0","0","0","0","0"
"0aa898b13f0c3baab9c8c71efcc7a90dd8e3c144","2018-09-17T21:21:49Z","0","0","0","0","0","0","0"
"b22e82c8cecfdc2f18283cf23262defc5d868c4f","2018-09-17T21:21:47Z","0","0","0","0","0","0","0"
"63dee1e1ac17aa49fd5496d083565685eb9bac5d","2018-09-16T11:27:50Z","0","0","0","0","0","0","0"
"91c87ac301e8e9e11c15a3cd2e056fe185a2c948","2018-09-16T11:27:46Z","0","0","0","0","0","0","0"
"42371a6e8d9787dbc052cf5c708dce99d89c57d0","2018-09-14T19:20:02Z","0","0","0","0","0","0","0"
