"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"ae6deb24e17e82b1915ab66aab0fd17deaf5e424","2018-07-26T02:03:02Z","0","0","0","0","0","0","0"
"35b0a0fd92793c251a9f4dbc76e09c69e0d05bc1","2018-07-26T01:59:39Z","0","0","0","0","0","0","0"
"fb90cea2f4c5c8c5062ee2c93e4942a49d8ef54f","2018-07-26T01:59:01Z","0","0","0","0","0","0","0"
"23911792ff8f219f63767170b6b0fc51a15a559c","2018-07-26T01:56:52Z","0","0","0","0","0","0","0"
"92164306962a86e113c51bcce37ba07b3ddfecb7","2018-07-26T01:54:31Z","0","0","0","0","0","0","0"
"2e4bc4162a5508721198296e2136c7f6b0adf158","2018-07-26T01:47:49Z","108","4306","5798","10104","1","1","0"
"226dff1479e6ec02d887815da6b9795dbab31151","2018-07-25T12:57:53Z","0","0","0","0","0","0","0"
"f96471d1604d293c967dc648156ac3e33f3068d3","2018-07-25T12:40:27Z","0","0","0","0","0","0","0"
"61a7fa9e273c1b76d9954787b02257ede6079b72","2018-07-25T12:40:18Z","17","965","784","1749","1","0","0"
"c68bb03975ee37a802d6c6bc3cf0cb2e9f91a97e","2018-07-25T07:55:57Z","4","59","28","87","1","0","0"
"a53c2b542a1cc77d263f859d0ace022659fb192f","2018-07-25T07:54:55Z","2","101","61","162","1","0","0"
"af52b714887ab8ec1ef67f71be0337bb580086c8","2018-07-25T07:54:28Z","3","158","114","272","1","0","0"
"1d21c397f55ee4e0a8e1b8d9e7028365e4e4d1d4","2018-07-25T07:28:45Z","0","0","0","0","0","0","0"
"6c53dff715680d895c26cdc9f5cb5cb60f9e7810","2018-07-23T01:27:02Z","0","0","0","0","0","1","0"
"cd3d6a434ca872fc3f450653aa36527cf1bdc74e","2018-04-27T07:52:30Z","0","0","0","0","0","0","0"
"4d171b79fa8d3d61d67ba788a93589ddc4fa5d2e","2018-04-27T07:51:45Z","0","0","0","0","0","0","0"
"16ba421a829deb5bf1c26d2e2079fc5cea2059db","2018-04-27T07:38:36Z","2","35","22","57","1","0","0"
"ae79da2d5a526e8c160455b4093483154ae4e032","2018-04-27T07:21:11Z","0","0","0","0","0","1","0"
"a889770d3019f642dcedf1be27585b1dffd043ad","2018-02-09T08:13:39Z","0","0","0","0","0","0","0"
"d51efa429b4876794198ed4db10b9bbedf63bfb9","2018-02-09T08:02:06Z","0","0","0","0","0","0","0"
"4600ea6ea53d0c5528b323eb9360200cd07fa17f","2018-02-09T07:49:04Z","5","51","44","95","1","0","0"
"d893d14bc90642355a9beb98c4b084b2e6ba8740","2018-01-13T09:40:36Z","0","0","0","0","0","0","0"
"0ea36412f0ebe197c1e06597d924018fd49f2c4f","2018-01-13T09:37:25Z","2","16","8","24","1","0","0"
"d2b575df090719240d2a6be3b525d91d550f0e7d","2018-01-13T09:33:11Z","1","1","1","2","1","0","0"
