"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"7f622b57a8607b9b02bd38a131f9f60ce5d8242f","2018-09-11T21:07:52Z","0","0","0","0","0","0","0"
"b071e4bebf9396cc399c1a30c9991e3d7148bd03","2018-09-11T21:07:47Z","1","1","1","2","1","0","0"
"c93c4440327373b9c27806d67ded1bfabcb4ebab","2018-09-11T21:05:37Z","0","0","0","0","0","0","0"
"406b6d71d5c8354e80e3e45bfff4cee5d630f672","2018-09-11T21:05:10Z","0","0","0","0","0","0","0"
"8ffe568361573c6ba9f0bc3a1d2fabc2d51f46bd","2018-09-11T21:03:15Z","0","0","0","0","0","0","0"
"60a98e9973d48aed460448b838016639c0f3ff7b","2018-09-11T20:52:49Z","1","1","1","2","1","1","0"
"4ac50022b5b3bd5de9b4ad48dcd06513e6c739f6","2018-09-11T20:30:19Z","0","0","0","0","0","0","0"
"2755ba9ff19ed1452c379a5e5e756003d7ecf541","2018-09-11T20:29:40Z","3","97","75","172","1","0","0"
"83ec4a1baca33b31bd64f50260069585f7d4c521","2018-09-10T17:35:23Z","6","132","7","139","1","0","0"
"279a529f6fdfc20910fb2eaf797594baedd20194","2018-09-02T14:40:05Z","6","132","7","139","1","0","0"
"d9b1f8b038c59abd24113dff39359d81e9d9e5c1","2018-04-30T18:36:45Z","2","0","71","71","1","1","0"
"14b13ec7ba71e5cb320ecfcfde1131e09f0958e2","2018-04-30T17:11:55Z","1","32","11","43","1","0","0"
"fa2d5a00997e73875676d447ec298e9e24348099","2018-04-30T15:17:41Z","2","12","13","25","1","0","0"
"6bdee01d645bc3ef76cc17885b2e5a05cf4fd0f8","2018-04-30T14:42:35Z","3","109","42","151","1","0","0"
"5c253240cea199f55c155c2419c8041249d74017","2018-04-30T11:48:46Z","1","12","0","12","1","0","0"
"148461ca02f822125dc8ff52f9bd89f385199b66","2018-03-29T19:59:38Z","1","12","0","12","1","0","0"
"aa6ca19141401f9673dc70f4072f9b44b3cf3d27","2017-12-20T20:34:33Z","0","0","0","0","0","1","0"
"6a4568a4aa3980f2ffbe16f334928030a5e71a68","2017-12-20T20:31:33Z","0","0","0","0","0","0","0"
"dce14fe32bbb605fad7d8e9a6b6406680454774e","2017-12-20T20:31:26Z","0","0","0","0","0","1","0"
"9fdb93f4c0cbcb1c698679ec2b2d0b3e183b7c2d","2017-12-20T20:25:37Z","0","0","0","0","0","0","0"
"8728c4bce7b119a81fd9e1582817a3b4db9458c0","2017-12-20T20:16:21Z","0","0","0","0","0","0","0"
"55ce31c4e78fedd03bf7e7356d12f2a5013a2dd0","2017-12-20T20:07:41Z","0","0","0","0","0","0","0"
"39e77cc54e588ae1aded0c62bba2304a34d29650","2017-12-20T19:33:17Z","1","0","7","7","1","0","0"
"53895bf4c487ecad90052aee49f09eb17ae92acc","2017-12-20T18:59:05Z","1","26","5","31","1","0","0"
"17fadc8d86458d259ad96ab246b2365fd4112881","2017-12-20T18:22:41Z","1","15","14","29","1","0","0"
"0b513e9689b418758ffe2197af65a480672f9c0b","2017-12-20T16:47:22Z","5","276","184","460","1","0","0"
"5a19ac055080a07e1e646d1cfa7cc791b8bfbacd","2017-11-25T19:44:41Z","1","3","3","6","1","0","0"
"735ab559afcce6e595accd1f4118ac60f3e059f1","2017-11-16T21:23:57Z","0","0","0","0","0","0","0"
"5abc4298f10fef3222aa4771083e61ebd25909d4","2017-11-16T21:22:33Z","0","0","0","0","0","0","0"
"baedffa0f02d669ae4ba2361bdc75ba2bdb432b4","2017-11-16T21:19:38Z","0","0","0","0","0","0","0"
"9dbba31e435cde06deb81513893d02d527924994","2017-11-16T21:18:12Z","0","0","0","0","0","0","0"
