"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"b56e93bd82dbde18acd7a967ebe4a0dd2ae91a06","2018-09-24T16:58:25Z","0","0","0","0","0","0","0"
"3910565ea94583f8811bb6e9e4cdb952b0b03f51","2018-09-24T16:58:07Z","0","0","0","0","0","1","0"
"7f567f88ddaaf1f0643686a680727947c79ecdbd","2018-09-24T11:27:43Z","0","0","0","0","0","1","0"
"2c3eb002ad3a53e5c39c52ec037ef63a7cdd89de","2018-07-31T06:02:05Z","0","0","0","0","0","1","0"
"cdcc6cacf62663396021dffc883201b22ef47002","2018-06-29T01:44:20Z","0","0","0","0","0","0","0"
"3d1b4ab7a1183902468290d8a20b62b795217826","2018-06-26T02:20:53Z","0","0","0","0","0","0","0"
"33f03d3caa9759630ee8aa981571502569d1b522","2017-12-26T06:50:55Z","0","0","0","0","0","0","0"
"b07e08dde5596efcb94cc13038155999e63c0c51","2017-12-26T06:50:38Z","0","0","0","0","0","1","0"
"9adcb726ab88d9a705a0f96283f4aa1bc0ce90d2","2017-12-22T07:05:40Z","0","0","0","0","0","0","0"
"092df3dbae95089a5c3e05fd219db7f161a563b2","2017-12-22T06:52:55Z","3","9","206","215","1","0","0"
"a51b5a38fde35a1b49dfd858ce2f7276ac27a263","2017-12-22T06:43:57Z","0","0","0","0","0","1","0"
"a6994df330ac4bd28773248ddbfa70f8fea4c295","2017-12-22T06:39:56Z","0","0","0","0","0","0","0"
"1d840039673271938b2e787fcfbbf9b0fcc75dde","2017-12-22T06:39:35Z","1","10","12","22","1","1","0"
"b3ea41bc000e1b9dfc957dea5c114b4281ee779d","2017-12-22T06:34:37Z","0","0","0","0","0","1","0"
"be62a568ed7501f0dd3a7e5adfb3abb06048166f","2017-11-23T03:44:41Z","3","73","6","79","1","0","0"
"5ab3b2ac47dcc23142f1b4904ed388e829c289f2","2017-11-21T12:20:54Z","3","73","6","79","1","0","0"
"a462df6e34bb602b99527d78e78efd670f05a373","2017-10-21T06:10:27Z","0","0","0","0","0","0","0"
"41cfc945a7a582fd17a8347773abc759fd7359b7","2017-10-21T06:06:11Z","0","0","0","0","0","0","0"
"ddb5883025ff7d98f57aa51554e3e1bdbe70f0bf","2017-09-26T06:43:08Z","0","0","0","0","0","0","0"
"92494fbd1765a88e4af3ad55a46403440d569979","2017-09-26T06:42:49Z","0","0","0","0","0","0","0"
"694e02d2e29d73472553f4729737de5b839dfa47","2017-09-26T05:50:51Z","0","0","0","0","0","0","0"
"601b69a674cb2bcc264557d1000a574ca60360da","2017-09-09T01:33:03Z","0","0","0","0","0","0","0"
"5a5efd90f62c2c92b46428ed85b2a5fc8c7dcaa6","2017-09-07T07:21:18Z","0","0","0","0","0","1","0"
"b540f5b5b9f271d2e12cdef8d7b64196b7ba4eaf","2017-09-07T07:19:48Z","0","0","0","0","0","0","0"
"c7c136f96967263e5abd9d098fd0db10fa1f6e1f","2017-09-07T01:41:51Z","5","39","37","76","1","1","0"
"5ffb74f632a83f0c536dbfe093e2a4a92b97c5c9","2017-09-06T10:19:58Z","0","0","0","0","0","1","0"
"eca25dc2b9a60456cecd4bde00b7e69489c51021","2017-09-06T07:57:58Z","5","39","37","76","1","1","0"
"ad62082edf2a5a0a0fb9fc607de1f5a4712175bc","2017-06-07T12:38:46Z","2","37","27","64","1","1","0"
"cb9626f0263eab08866982f131817c5e364431f6","2017-04-28T09:29:47Z","0","0","0","0","0","1","0"
"b3b32408e88cfca0b394506ff8a5affb4343bdb8","2017-04-28T09:29:27Z","1","2","2","4","1","1","0"
"1059274ae769276d27b55218ba93fefe518da145","2017-03-29T07:23:42Z","0","0","0","0","0","0","0"
"f47f0d7a01d034cfcbfe5418534a0c3aeba837e8","2017-03-23T06:26:21Z","0","0","0","0","0","1","0"
"54bff6b5d433e69c7102b5b7d1af10d09f39fc5f","2017-03-23T05:45:58Z","1","0","1","1","1","0","0"
"b6553706632dea7b3725118738859942ae47be65","2017-03-23T05:39:51Z","1","1","3","4","1","1","0"
"6211f31425c0ed71b6d1f927a42d07728afd26ea","2017-03-21T09:19:16Z","1","1","3","4","1","0","0"
"0b13f922d4a18f5a3a5b23de80d4c32aff74d0a2","2017-03-21T08:06:56Z","16","301","271","572","1","1","0"
"e0d403568ac5c522f1b408f3efd97e3fcb5d73f2","2017-03-21T08:03:23Z","0","0","0","0","0","1","0"
"8fa186676e87c431d672a5f023163cb33b335a40","2017-02-24T10:29:22Z","0","0","0","0","0","0","0"
"b997123c37540cc9f3b4544daebd8a83655b8b51","2017-01-09T16:42:59Z","0","0","0","0","0","0","0"
"094763aa261048631068f882e1129141e774977c","2017-01-09T16:41:45Z","0","0","0","0","0","0","0"
"3b68d00d676a87b79e664292da464f8aaa1d6de0","2017-01-09T16:14:13Z","2","86","97","183","1","0","0"
"cd76a52c47a636d6cb6ef938cb23a31fd4334299","2017-01-09T16:12:54Z","0","0","0","0","0","0","0"
"fae1a179fc6a484769e252949d044190d17cebe6","2016-12-23T04:38:52Z","2","8","4","12","1","1","0"
"b94cf3c876d5d10c120c4fce2bb5608fe0c30d75","2016-12-14T13:53:03Z","0","0","0","0","0","0","0"
"edb0fb2a74061a5123c2f0d56bfcb08ffda787f0","2016-12-14T13:50:45Z","2","42","1","43","1","0","0"
"31981aec3d40b7b11ac5f46a2d3ce9f53c27ff14","2016-12-14T11:50:57Z","1","14","1","15","1","0","0"
"5ce26e0cb1ff11e189160f422dd45549909be56e","2016-12-14T11:49:00Z","1","28","0","28","1","0","0"
"3967583fe32a47eee451731fe8fb5159bb00f427","2016-12-13T02:55:56Z","0","0","0","0","0","0","0"
