"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"0564bdef1c3b9636a6afcc3b665b35e6878ca10f","2018-09-30T22:02:44Z","17","248","301","549","1","1","0"
"20fb514179f2baa43f1271a7fe753f9e9c0fef9a","2018-07-31T05:39:25Z","1","1","1","2","1","0","0"
"7cd26009764389a560c62e9bea279a9456be0eeb","2018-07-31T05:35:35Z","1","1","1","2","1","0","0"
"d69cc122f69802d4e69bfff8e30cf11ba933acbc","2018-07-02T04:13:59Z","2","4","11","15","1","1","0"
"e0fb4f8cfe6c1baf7fab01145d63ef3ca5e85183","2018-07-01T22:41:48Z","1","11","12","23","1","1","0"
"09ed6215bfd56ff43eed93534c67cd544d8d4aa7","2018-07-01T22:41:19Z","0","0","0","0","0","0","0"
"93e5871897b27ea8b7610b99b442116fca864cbd","2018-06-29T07:16:49Z","0","0","0","0","0","0","0"
"44963b73b7305e57c5b9c979952e4662bd91b497","2018-06-27T11:52:25Z","1","11","12","23","1","1","0"
"82e03f83a2f85a82fc0b89e35fa4177bf5ced49b","2018-05-25T14:30:46Z","0","0","0","0","0","1","0"
"e14b39dc4cf708936d5eb24f9e8c7ae85cc1f824","2018-05-25T12:57:57Z","0","0","0","0","0","1","0"
"86d7c19379faa3180ac8fc6d36a23e59a68807ee","2018-01-08T03:28:28Z","0","0","0","0","0","0","0"
"da89c22e592a0b6fff13873b5b1d0e34f1a21381","2018-01-07T18:58:44Z","0","0","0","0","0","0","0"
"462338c694e45e056f9e0dc4c3d3fb83c30139d7","2017-07-25T22:10:00Z","8","46","57","103","1","0","0"
"ad7e8ebc880ad9b809a1bb5d168b6ca238bb018c","2017-07-25T21:54:21Z","0","0","0","0","0","0","0"
"1b2db9764e77d769ed3cd793d37282d8f2985b80","2017-07-25T21:46:01Z","0","0","0","0","0","1","0"
"b05d7a9f0230323faf8ad16ae8c711e98be1fc47","2017-07-25T21:22:09Z","0","0","0","0","0","0","0"
"340b59519f14f27acf968c328ea5c93febc038ea","2017-07-25T21:07:57Z","1","9","3","12","1","0","0"
"8b1344aaa6d5327fba5a7c940cbd883d907abbf4","2017-06-30T21:44:45Z","2","17","3","20","1","0","0"
"94332067e04a471162528b7f054027498e327f14","2017-06-30T18:03:57Z","1","1","2","3","1","0","0"
"5c3fce00bdec66a6dce8863997f25d8f2b26a405","2017-06-30T17:49:17Z","1","1","1","2","1","0","0"
"5f2bc8b1a60086dce08b26f6051bb55ee70fd350","2017-06-30T17:49:17Z","1","7","0","7","1","0","0"
"c55f8a4740c7b98804abddb54ebbbe978d89f1c9","2017-06-30T17:49:17Z","1","8","0","8","1","0","0"
"9dd9fba55d10e742bbed16bd009e73deb1891af3","2017-06-30T16:12:52Z","1","60","60","120","1","0","0"
"5ebde5abbff70b0ea60b46deb89252c81ea7e479","2017-06-30T15:53:25Z","1","11","1","12","1","1","0"
"025f19731ce913ce3cc390c437639611f4b7e249","2017-06-15T15:37:43Z","1","3","1","4","1","0","0"
"23710f3dba6daec04d01790c28e69b2fc8610916","2017-06-15T09:27:39Z","1","3","1","4","1","0","0"
"57e11bc5c4b752bb84a5510b1d2d0e0c6d0b87c7","2017-05-29T18:56:09Z","3","28","0","28","1","0","0"
"351f2bc52ac1584e41a174ea3eac32d09fcf8176","2017-05-27T19:43:33Z","1","4","4","8","1","0","0"
"7e1b336e41e21bebbc189b76a10f8d6c5aa6a4e0","2017-05-27T19:41:29Z","1","2","2","4","1","0","0"
"7dff87ec8358f37b870909788b4061fb41ee5deb","2017-05-27T19:39:44Z","3","10","2","12","1","0","0"
"e02461d5ca05e7b88ea06fa6723c58ee22efcac1","2017-05-27T19:36:38Z","2","20","0","20","1","0","0"
"323bee00679e2a7014db0063f00999b2d7d50f21","2017-05-03T11:09:55Z","3","31","1","32","1","0","0"
"a322cc0469484196b8e2ac6641bd6215acc51658","2017-05-02T22:19:38Z","0","0","0","0","0","1","0"
"cf1020a29871df337e16b7f84e632a89d3ec1756","2017-04-30T13:10:45Z","1","6","1","7","1","0","0"
"4065df5a950227c51b3d8d3d224e4e32b6a8d639","2017-04-30T13:08:52Z","2","9","0","9","1","0","0"
"983af7f8bbf16fe1b6ab53c7220a5ab3939aa2d8","2017-04-30T13:07:52Z","1","16","0","16","1","0","0"
"1ea98c86175ccd2e8dd85c5f98659e1d32153d48","2017-03-19T04:54:43Z","5","210","110","320","1","1","0"
"f24c002282ee77f870366d22ef99a18676133e16","2017-03-19T04:53:19Z","5","210","110","320","1","1","0"
