"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"af97f857960a51e2eaa869d3ee6c2dcf79947a12","2018-09-17T22:01:14Z","0","0","0","0","0","0","0"
"a452de518751a9176f5643b1f4dbe9abb86520cd","2018-05-14T10:06:15Z","3","21","9","30","1","0","0"
"e9022738aaf1e30b346927ed3e81e96dc6ba3a1f","2018-05-03T12:40:10Z","2","7","21","28","1","0","0"
"2047ecb69e782ac1d235f985e5660c87ea8826e3","2018-04-20T19:27:05Z","3","32","6","38","1","0","0"
"7683a32925e7776ce33f19f9761bd5ed3a0ef6c3","2018-04-20T10:15:32Z","3","47","73","120","1","0","0"
"ae0618523033bf85c936c2527f61b9b9333c32db","2018-04-13T16:31:15Z","1","10","13","23","1","0","0"
"ea541e4467884bb840fde59863c46a79d8f70169","2018-04-13T16:17:23Z","1","1","3","4","1","0","0"
"16789b0ebb96ba1e4e8c65196f64886f7aa52b91","2018-04-13T16:15:14Z","2","6","19","25","1","0","0"
"e0dcb3d7a74662f2ac2bde4fe21f6e248a10f475","2018-04-13T16:10:05Z","1","17","25","42","1","0","0"
"03e1dfea0696f8aca55b40ea9328919a2328282c","2018-03-30T15:50:41Z","0","0","0","0","0","1","0"
"d4dac95933d22ce7dc07d4746e259c87ff3714bb","2018-03-30T15:36:39Z","1","1","1","2","1","0","0"
"6bee3bfff23cfa7881028ca06c0a350b45048d3f","2018-03-28T01:56:23Z","0","0","0","0","0","1","0"
"b98b5a584e939422bdb43d9ef98066b3eb330eaf","2018-03-27T20:18:56Z","1","1","1","2","1","0","0"
"82cb599b02beed6f24e93fe4ffb9c88819aa3402","2018-03-24T12:47:10Z","0","0","0","0","0","0","0"
"fc0782ad3f579dbaa720e1b5cebaac8c9ccaa1e9","2018-03-24T12:46:54Z","0","0","0","0","0","0","0"
"3c5cad8beea587b979631ff872b29e7abdb14ddf","2018-03-24T12:37:17Z","2","33","21","54","1","0","0"
"677320095108ff27f13880f9606aed85ab2fecff","2018-03-24T12:30:26Z","3","4","40","44","1","0","0"
"95b623948e688cd1bcc849968a2dfbe75591bc21","2018-03-24T12:13:52Z","1","1","1","2","1","0","0"
"3c9b8a4ab8f8d040eda44ea755cc9e86699d46a5","2018-03-23T17:57:40Z","0","0","0","0","0","0","0"
"91de02bf874e092fbdcff138428502cbc1a4fff5","2018-03-23T17:45:33Z","0","0","0","0","0","0","0"
"8da2d4437b13ec76bebca86e8535340003ba3976","2018-03-23T17:41:43Z","1","1","1","2","1","0","0"
"4a8ec411b79de7391a52eed2d7a768e43be0c41a","2018-03-23T13:54:38Z","3","4","40","44","1","0","0"
"cd00bd1cfdad753ba6cc192d4dcf1faf0ffacbf8","2018-03-23T13:41:25Z","1","5","0","5","1","0","0"
"2c4dad98d8cd4f72cc179880ce6a4c0e48202f7d","2018-03-23T13:41:24Z","1","13","1","14","1","0","0"
"b20f1d2f7988a539b985a68a88f8685ade78b869","2018-03-23T13:32:48Z","1","3","11","14","1","0","0"
"8946402f1c0bd8b0f7599c646b930650d044a46e","2018-03-23T13:32:48Z","2","12","9","21","1","0","0"
"ccdbe198cca50875ddb11c4c39b4d44910735c37","2018-03-23T13:00:37Z","0","0","0","0","0","0","0"
"0d1dbf5a5df1ca52df59003814d0d7202ea74303","2018-03-22T15:41:19Z","0","0","0","0","0","0","0"
"35ee2cc99a99b3d97fd3db5dcb1e68a8e09af227","2018-03-20T15:07:29Z","0","0","0","0","0","0","0"
"04fbea37c394d6fc866daabe4081e12ef42a5a6e","2018-03-20T11:11:13Z","0","0","0","0","0","0","0"
"b0cc895cbea69d0636aeba73d8edcf4d43570026","2018-03-19T19:47:26Z","1","0","2","2","1","0","0"
"d564c6bccd2f323b0a962d6eae1b9eebec9755e7","2018-03-19T19:37:57Z","5","12","84","96","1","0","0"
"9d31b3eb7337c131c4e4ba1c918dfbcd9b6e24e1","2018-03-19T01:39:09Z","5","12","84","96","1","0","0"
"acd2da242c3a9a51db910fb66217f266e42d6421","2018-03-19T00:56:27Z","1","0","2","2","1","0","0"
"aea59d6c3a2d9c6ff4b1be3ae2e5693ff4c8f697","2018-03-18T17:54:01Z","37","1715","1969","3684","1","1","0"
"fc1fa4441d9d797f08b610c34cc30f185f59be86","2018-03-18T17:31:36Z","10","10","10","20","1","0","0"
"0501b42be0ca0e8a2f4b039ba4171e2cfb8f1c6f","2018-03-18T17:31:36Z","1","0","139","139","1","0","0"
"97ce7c888dcfa215f3dcb4eab3d0e5fab9a96ffc","2018-03-18T17:31:36Z","2","34","12","46","1","0","0"
"94134ae14d1d5e3ac4f9ab45b5a6cdfe597e6778","2018-03-18T17:31:36Z","2","311","334","645","1","0","0"
"3bcb8601a136b9469fd8854ae2d86d9493f204b0","2018-03-18T17:31:35Z","1","7","2","9","1","0","0"
"dce6e02b682fc4e5e4ce11632123c4ca65d36c56","2018-03-18T17:30:44Z","2","496","506","1002","1","0","0"
"de0d0f3b74180f1e73c0d6a5236eb1c2c829a196","2018-03-18T17:30:44Z","1","18","18","36","1","0","0"
"29510f7ddb0bb07b917a76d088ff0c89ef2be31e","2018-03-18T17:30:44Z","2","184","252","436","1","0","0"
"60a0a542c55958948c2c9ad42e1a91fdcd8cefd1","2018-03-18T17:30:43Z","1","31","31","62","1","0","0"
"98f655900c458d62437c210b489fc6c4cbe48cd5","2018-03-18T17:21:10Z","2","273","291","564","1","0","0"
"2f77daabe4842d85c0905b01cb1c0d31b7ad1ba0","2018-03-18T16:28:10Z","29","424","447","871","1","1","0"
"d56f15b66bf655793b4cdeb3d84272cac54c1cea","2018-03-18T16:20:08Z","104","1579","2544","4123","1","1","0"
"459ca0a666d7313333a404faa41fce8daffa7487","2018-03-18T15:41:34Z","44","262","65","327","1","0","0"
"fa9bc108891c0cb8478ef482f671507bc54d3944","2018-03-18T08:17:00Z","3","19","37","56","1","1","0"
"66fe15285210b29fb18058817b4193fa5ace14d4","2018-03-18T00:01:14Z","74","657","1300","1957","1","1","0"
"c0c1c178e01d956af56e2c6c1a070529202f52a0","2018-03-17T22:58:03Z","61","1632","2151","3783","1","0","0"
"8d9364b7805c96cdd75992d40fb4deaf34cf21b4","2018-03-17T22:56:58Z","3","19","37","56","1","0","0"
