"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"98e9e1620ab4e1777e6f5ebcbdab98b4d0af038e","2018-09-05T10:52:09Z","43","144","154","298","1","1","0"
"ffaaa2f98fb923d936945b636d1101526d7d3c97","2018-09-05T09:06:41Z","1","0","13","13","1","0","0"
"838da0d9fb99e1c6fa8ce6b9393c02536061f803","2018-09-05T09:02:31Z","42","140","139","279","1","1","0"
"a2166168213fbbf19b4bf0f4123029b5bdb8b3f0","2018-09-05T06:24:26Z","40","47","45","92","1","1","0"
"cf4fe664e624a381487ccad3156291e0e9d914d4","2018-08-03T02:13:12Z","0","0","0","0","0","0","0"
"e4f2609e7cb73b95038567b24e14b5d4bbdab977","2018-08-03T02:10:19Z","0","0","0","0","0","0","0"
"b43925efbbde3ec37f1d9ac80b4602d49544744c","2018-04-27T04:15:26Z","2","109","0","109","1","0","0"
"1c323b5510d6bcf2034b9915085ecbe3b60c8580","2018-04-26T10:10:13Z","2","109","0","109","1","0","0"
"b203b2aeccb76645f306bc1000d49684f37d71a9","2018-04-04T13:42:56Z","2","23","5","28","1","0","0"
"00283015825bd68afd068d24e49bb7b867b404f8","2018-04-04T10:58:36Z","2","23","5","28","1","0","0"
"7fe5c41b75c81bb4b26bea473552c32c4d667d02","2018-03-06T08:21:48Z","0","0","0","0","0","0","0"
"56cfab0a81fbf00a3e07449cbafc8eeaab7f884b","2018-03-06T07:45:34Z","0","0","0","0","0","0","0"
"12e21f0e7b1a569e093c9a04ed1098fb6b218237","2018-03-04T03:20:03Z","0","0","0","0","0","0","0"
"04e14e6bd676c763cc4fc998e82031a21f380ccb","2018-03-02T13:01:04Z","0","0","0","0","0","0","0"
"60231d1c1609f711f1537becc187fc6ae2894922","2018-02-26T05:32:02Z","0","0","0","0","0","0","0"
"8a6c7168f44b5664313618aa5ed866ca1242d426","2018-02-03T04:09:03Z","0","0","0","0","0","0","0"
"1ef6be3f5fc63f8ea6f3c1ed5e8b52d9ed68f2ca","2018-02-03T04:08:37Z","0","0","0","0","0","0","0"
"443a14166628bd4981669f5eae629420575f3093","2018-01-16T05:50:30Z","1","4","4","8","1","0","0"
"1ff147f78fa46f4c8155c84466b97f2df82a7b26","2018-01-16T04:13:51Z","1","4","4","8","1","0","0"
"00da79f96e4dddef3730c2b1189dcfb54a1552bb","2017-12-03T05:10:01Z","0","0","0","0","0","0","0"
"dc1cada596c57d9edd53eaa1bf31bfd526c4f10b","2017-10-17T02:30:40Z","0","0","0","0","0","0","0"
"91e7afc11e370d40123f17d8777f377da7260e40","2017-10-15T15:36:08Z","3","130","0","130","1","0","0"
"fd135d548d96aff197c56baaff31bf138f89d4e5","2017-10-13T03:56:38Z","0","0","0","0","0","0","0"
"84f1c3b8c49ab4ed9082025a97841a927105a73a","2017-08-03T14:22:00Z","0","0","0","0","0","0","0"
