"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"e44e2537b3f21419f75cb7e92e6b9fc353114068","2018-07-29T16:23:23Z","0","0","0","0","0","0","0"
"0bb6362be3e8e33431eeceeda90272dc4fbd8f70","2018-07-29T16:09:30Z","0","0","0","0","0","0","0"
"1445e3b90182f43462b42c1c01b8199c4e9588ce","2018-07-29T16:07:06Z","0","0","0","0","0","0","0"
"56a043519c426751f930d9775e3dacbc86fead26","2018-07-29T15:46:34Z","2","7","8","15","1","1","0"
"bf5c5a2ed96e2b6a18df44ce3f7b1226de7b7623","2018-07-29T14:41:38Z","0","0","0","0","0","1","0"
"0fa9f9676337c7bf07bf5dd00fd879f08ef6cf3a","2018-07-29T13:57:23Z","0","0","0","0","0","1","0"
"2c51b61938b84b01bd0fe7045eded853f7b1eab8","2018-07-29T13:34:59Z","2","7","8","15","1","0","0"
"4297c306b36d3f7b2e53e76800fb2a1f40a3bf0c","2018-07-29T13:23:54Z","0","0","0","0","0","1","0"
"6e6c924a024f6b27185147ae2f3207e2a24c3aa0","2018-07-29T13:21:23Z","0","0","0","0","0","0","0"
"ad7dc3850a4ae947dea8c5a882f2c729e2602760","2018-02-27T15:29:33Z","0","0","0","0","0","0","0"
"1a43382f8913c7ef49190a833459e897b2f8e3b2","2018-02-27T10:46:56Z","0","0","0","0","0","0","0"
"6fdab5c62eeffaaa6b43ee27adab9e9d6a5ecf3a","2017-11-15T20:02:23Z","0","0","0","0","0","0","0"
"970eabd8d85bf0a9ca958585a34856fa1483ba16","2017-11-15T19:32:46Z","0","0","0","0","0","0","0"
"f2146fd76545f286e2bbb2d7d60cdbf189ba7b6f","2017-11-15T14:10:28Z","2","0","6","6","1","1","0"
"912868ae6940b992bee015d24a2400f7c44274cf","2017-11-15T07:30:50Z","0","0","0","0","0","0","0"
"d0fbb77b9b7617e1df94f4ca7ec71c506c6868b1","2017-11-15T07:23:41Z","2","0","6","6","1","0","0"
"a5b769299e73feb96b3e0d4314e56047b9c31c3c","2017-11-15T07:17:50Z","0","0","0","0","0","1","0"
"d717cc6e9384685e052febfa7d362bbb89e8bc3d","2017-11-15T07:14:02Z","0","0","0","0","0","1","0"
"ff2db579313f42a34d6b4edfe96daa546ffd3667","2017-11-14T13:03:41Z","0","0","0","0","0","1","0"
"9a1e2fb5feec83bedb71bcd704b74e0f6c94a804","2017-11-06T19:54:06Z","1","2","2","4","1","0","0"
"6e1ad0dbb80c2c82d91884490d3f6e80e9d110dd","2017-11-06T18:19:05Z","1","2","2","4","1","0","0"
"339d73d856f030634e74c1e7739dfd13e6aa3065","2017-09-07T00:22:51Z","0","0","0","0","0","0","0"
"20c954213f187d17e59da69ea44eced3ddc7b6f5","2017-09-07T00:11:00Z","0","0","0","0","0","0","0"
"d7f2dcaca44cb93bbcc5b12da791a4e74b442a81","2017-09-07T00:03:19Z","3","9","16","25","1","1","0"
"c6456fb0bd4c7b4779b923a82e89cf3ef5b62c7b","2017-09-06T23:51:09Z","3","9","16","25","1","1","0"
"bccfe161b8bece17cec9b7e9478226bd52f7e7b7","2017-09-05T14:03:51Z","5","694","0","694","1","1","0"
"eeeadaa49983e5f9dfe4a852eb54618d5ff5f5b5","2017-09-01T08:56:44Z","3","378","0","378","1","0","0"
"53a60122dc517cb9397234c650d3456c11b0ee91","2017-09-01T07:43:01Z","3","189","18","207","1","1","0"
"79548416d66bbac6f8ee5fa4d34263d82d792967","2017-08-30T13:33:37Z","0","0","0","0","0","1","0"
"b0ec8de439d302726b5860b20dfcdaabb2bc82f4","2017-08-30T12:38:47Z","2","145","0","145","1","1","0"
"e446925fd707fd593d1f13515ebd5d4d8da23035","2017-08-30T08:30:01Z","0","0","0","0","0","1","0"
"9aa88c9fa1cc1e571c2d64defa8aa0ff1b755667","2017-08-11T13:38:17Z","0","0","0","0","0","1","0"
"80b9c8aee8a2284a9b808c15e26f06ce9b295867","2017-08-10T09:35:07Z","0","0","0","0","0","0","0"
"974c5226fb1755d091580d34dc27a87689804d70","2017-08-09T13:05:57Z","0","0","0","0","0","1","0"
"4663fbd61ae928c9aea1f1b9e097ea4fa16ce225","2017-07-17T16:57:44Z","1","2","1","3","1","1","0"
"53cfa7a3d4c5c5d848cce6b38b701461924a8c23","2017-07-17T16:38:05Z","1","2","1","3","1","1","0"
"44e53ce3a91f7017b1a2cb848a01cbc73dcc5281","2017-05-30T12:54:39Z","0","0","0","0","0","0","0"
"c4412b6f601d0ad5b460a58bcf034af00bd99d34","2017-05-30T07:13:36Z","0","0","0","0","0","0","0"
"85149880dd6f27e3aa78287ec23e487dd749cd3f","2017-05-27T15:55:13Z","0","0","0","0","0","0","0"
"ec9a75f87b36d23eb5788dad9ef3046e8bba63a4","2017-05-27T15:54:04Z","0","0","0","0","0","0","0"
"fd574f72762608f21caddc4f6fc9a1b3666a3cba","2017-05-27T15:41:05Z","0","0","0","0","0","0","0"
"19c84e3d2011eaade9c283981abc814e2f7adc2f","2017-05-27T15:38:12Z","0","0","0","0","0","1","0"
