"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"ba210b405bb11ac580566d74ff24ebe043f9b8f1","2018-07-17T21:19:16Z","0","0","0","0","0","0","0"
"c9b81700c2c062630f40d4cd8f20b605473afc3c","2018-07-10T21:14:41Z","1","12","8","20","1","0","0"
"a7c81c35c79393b899e6479a709a8d430f8108b6","2018-07-06T20:15:31Z","2","6","2","8","1","0","0"
"10c5b538e0b3c5fc2a19fd43b3bd651702b0a8a2","2018-07-06T19:32:41Z","1","37","16","53","1","0","0"
"d31e5ddd245ad4ecaebd3ba5cdce5269e7749761","2018-07-06T17:13:01Z","3","39","29","68","1","1","0"
"81438b6309e4bc1e98efe430626d5c997689fb62","2018-07-06T08:26:31Z","1","59","55","114","1","1","0"
"8ff1dc504c194bf3c9f34afc45ddae8b27b42208","2018-06-28T14:31:33Z","1","0","2","2","1","0","0"
"ce4d5f38ebc2a8c3deddd0cc1622b9d3445368fc","2018-06-27T23:18:47Z","0","0","0","0","0","0","0"
"e391a29d475be3a4587516af6103b54c6b29d63e","2018-01-23T11:43:43Z","1","0","48","48","1","0","0"
"234fdd77feec9a2b4a55d30d1f8f8dcd0e2526f0","2018-01-23T11:37:30Z","7","492","229","721","1","1","0"
"78adf180e1d11627ec594ab581615f93079466ac","2018-01-09T08:22:41Z","0","0","0","0","0","1","0"
"2e78176eb2fe6d53a77ff10dd482faf479b11b71","2018-01-09T08:22:31Z","0","0","0","0","0","1","0"
"94d2662a9ae4c8b1dec170a12edc4a398883a76a","2018-01-09T08:09:07Z","3","253","5","258","1","0","0"
"1fcab68d8afe19cce0bbe56f287c7a77ad3b4eff","2017-11-08T13:04:56Z","0","0","0","0","0","0","0"
"abd16c3d38d7e38e2e5caf4bcb7dab7127fcb393","2017-09-14T11:41:40Z","0","0","0","0","0","0","0"
"a3adefffc86cf7262cc1091bf58b985c327beff8","2017-09-14T11:40:59Z","0","0","0","0","0","0","0"
"3090442dd4c79d74606311e577a80f8d0835f5de","2017-05-03T17:03:18Z","1","2","2","4","1","0","0"
"95e5f73dedbd5a5f7c8341bc7b4d2843f3ed8391","2017-04-25T20:14:29Z","1","3","4","7","1","1","0"
"d73f42f57b060253a1fca4a03a694f849af92bed","2017-04-18T15:29:42Z","0","0","0","0","0","1","0"
"0c5a4c6fabc0cef07b23034a7722a8a599339752","2017-04-18T15:22:52Z","0","0","0","0","0","1","0"
"ffc7636414dfb0a3a3c0fedbba714ca15b0cb098","2017-04-18T15:21:47Z","2","51","2","53","1","1","0"
"8c96658a223d7098aacdbdff87b2d9e4c8f41e99","2017-04-18T15:20:34Z","2","51","2","53","1","1","0"
"470db8d12899b4a45989208f5df093479874189e","2017-03-04T21:08:27Z","0","0","0","0","0","1","0"
"3020fe470b3f8d358f506f895270f5ca95c9159d","2017-03-04T21:03:20Z","0","0","0","0","0","1","0"
"1c79b621e12be7658234852e5393963289311b2d","2017-03-04T20:38:40Z","0","0","0","0","0","1","0"
"7b9ddc0edad633cbb6bfad85a4d86542a4ff4d13","2017-02-22T09:00:27Z","2","12","18","30","1","1","0"
"7a48c51296d7e69a44d32fbdc14d204d2ef85436","2017-02-22T08:38:32Z","0","0","0","0","0","1","0"
"49f90dfb726cc3583aaa02d713d137f986b0ba48","2017-02-22T08:29:26Z","0","0","0","0","0","1","0"
"3eb180879f258b0cd150e4325a5f8d2948923671","2017-02-22T08:27:57Z","1","1","1","2","1","0","0"
"71709f331c8bb52f883423789290fff9e6db075f","2017-02-10T20:29:45Z","0","0","0","0","0","0","0"
"33811f9ddd7009728a7267f998d3fa7c267af14d","2017-02-10T15:07:48Z","0","0","0","0","0","0","0"
"1476ccbd22d280a78435f51502e8fd2af5830a8c","2016-12-19T08:44:10Z","0","0","0","0","0","0","0"
"efe0a4c74e2aeef1ca2454d6b9d947be016292ed","2016-12-16T21:51:45Z","7","258","244","502","1","1","0"
"bfe922b427eb1e03b1ea5ec108a909053decd7fe","2016-12-13T08:17:55Z","0","0","0","0","0","0","0"
"0c6fe90df807bf4329dafc5b7598f16eb2082cfd","2016-12-13T08:15:38Z","0","0","0","0","0","1","0"
"b588385947f4588166b91a137c2f482ef2014575","2016-12-13T08:11:58Z","1","2","1","3","1","0","0"
"f046310d9c9fc47247fc2f61ec04e03b28238cae","2016-11-21T08:03:11Z","0","0","0","0","0","0","0"
"21eef552a08f25c4d3ec27dfeefa5171b53d3793","2016-11-18T09:06:59Z","0","0","0","0","0","0","0"
"fddbf4647b9f855d6b69c439773c20e0aba64e07","2016-11-18T08:58:59Z","0","0","0","0","0","0","0"
"521654fb8ffc69b32faba70523ba436689f6c195","2016-11-18T08:55:47Z","0","0","0","0","0","1","0"
"fb71868a7a5a5e3760292ea49d55db00ac14ceca","2016-11-15T06:05:55Z","3","9","8","17","1","0","0"
"81f23cc53fc26e04e3c946841281e03032ab1c76","2016-11-09T18:21:33Z","2","32","38","70","1","0","0"
"058cb92a9a59c136e88bd7e2734ebd3bbc5f2890","2016-11-08T17:09:14Z","0","0","0","0","0","1","0"
"dd0d2cb8e88b0da337d1c20e2d6610c4fb3d0ec4","2016-11-08T17:07:15Z","0","0","0","0","0","1","0"
"dca1c8ab41f2047c7d60e54c981e00ae3553c659","2016-11-08T17:01:06Z","4","46","26","72","1","0","0"
"757fc7d83a9114de726c7197d4927dc11964dd1a","2016-11-08T14:59:42Z","0","0","0","0","0","1","0"
"526135fefd62c0d84b4d47b4cd4ec458a7614fd0","2016-11-08T14:56:16Z","2","2","95","97","1","1","0"
"c8e57f063785202d033f4ae47e833bfcc4c80a84","2016-11-08T14:34:37Z","0","0","0","0","0","1","0"
"fbadc7dc4befe4e6ce238d5eb8cdb3ce6cb103ef","2016-11-02T16:55:25Z","1","0","2","2","1","0","0"
"2e7c30ad2f3b541701da6cdfb44edc2e0cb4e34e","2016-11-02T04:12:13Z","7","157","168","325","1","1","0"
"2904ae998f1dcaaa38075655ff539df3c4b37847","2016-10-27T13:55:58Z","0","0","0","0","0","0","0"
"442a4ca27f30f464dd47f23ae96b5b4b403de07e","2016-10-18T11:43:25Z","0","0","0","0","0","0","0"
"5c31259b415de6660025839fdeb0ea2e2369081c","2016-10-18T11:42:39Z","0","0","0","0","0","0","0"
"25ce2411b694fe9d9cc8557b36ce23fc3d3dcb5f","2016-10-18T11:31:59Z","0","0","0","0","0","0","0"
"131b1c63c3194b7e8a3e2f8d7672b954edffd6fa","2016-10-18T11:26:23Z","0","0","0","0","0","0","0"
"0d04ad0419100f36d538ebf998b143faf15b8744","2016-10-18T10:34:35Z","0","0","0","0","0","0","0"
"d9c8858216d22249833cd60fad2847afb10eb7ff","2016-10-18T10:33:46Z","0","0","0","0","0","1","0"
