"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"67bf14b97c8395780d9184398fc2d01c22dd3256","2018-09-17T06:56:41Z","5","0","103","103","1","0","0"
"6840318cdbac75e957b46570d00da0e543f14964","2018-09-17T03:17:08Z","0","0","0","0","0","0","0"
"9ee6dd4f29aff7e4c16eaa816e2bbbdcfd9e6f26","2018-09-17T02:44:23Z","0","0","0","0","0","0","0"
"2075be700b0395a672f2c810f59cfb6861e835bb","2018-09-17T02:43:49Z","0","0","0","0","0","0","0"
"b1fc1c93e3f6b7f77e2b307432afe9ff2893f7e5","2018-09-11T08:49:32Z","1","1","1","2","1","0","0"
"48023d5515112c4aaa84385376e227ba040eaab1","2018-09-11T07:00:41Z","0","0","0","0","0","0","0"
"5665af635098f7b0781c0fe963222ffec99a2650","2018-09-11T06:21:59Z","1","10","6","16","1","1","0"
"21eac2f49e573ba63c72b77f6bdee13be14e8f1d","2018-09-11T01:25:14Z","1","2","2","4","1","0","0"
"5119729b4fd0660a1dbbae01ee27acee5da6c60f","2018-09-11T01:04:16Z","1","1","0","1","1","0","0"
"4c2875f631e4c3aaf0265081f0f76a7ff21232dd","2018-09-07T02:20:44Z","1","2","2","4","1","1","0"
"2e97317dc4d65dc2470cc4634a2dcfccc4df5f10","2018-09-07T02:17:33Z","1","2","2","4","1","1","0"
"a6e3148c3d951d80675b9593856c98d955214fd5","2018-09-05T02:11:48Z","1","5","2","7","1","0","0"
"e10d4de8225e4c4a76778e098e73d617ea80d2e3","2018-09-05T02:01:10Z","0","0","0","0","0","0","0"
"34d4f961e0f13eb626c499ce20804f7bfc6bd9ca","2018-08-31T02:52:08Z","1","4","3","7","1","0","0"
"bf1b041dc8c37b887f4a2ebcbd10110e5957a291","2018-08-13T02:56:02Z","4","693","0","693","1","1","0"
"dd3f362e82cf206e75f00d9a633ddd5bd39333dd","2018-08-13T02:55:09Z","1","3","1","4","1","0","0"
"6976e20b3b909cefa6b4076a7c7128a2e1f47a83","2018-07-23T03:02:12Z","0","0","0","0","0","0","0"
"96237aa3fb362277dcf75855ed7010bdd3bb7bba","2018-07-23T02:59:29Z","0","0","0","0","0","0","0"
"985aec6e781603940e322ad544d5de0c7c0edca7","2018-07-18T07:30:47Z","1","4","4","8","1","1","0"
"62d3a04e0adcc6776f9827929bf72fe8cd1ada7d","2018-07-18T07:09:57Z","1","1","0","1","1","1","0"
"1dd9852d21e7d73de0c58cb7dc6cc8059b23ee53","2018-07-17T02:47:12Z","1","108","21","129","1","1","0"
"f79be37e669513992652af59a97511e83518e47f","2018-07-13T03:05:23Z","1","1","0","1","1","0","0"
"90ab65186a2299bc8f5015ca970ae9ce8516361e","2018-07-13T03:03:01Z","1","3","12","15","1","0","0"
"8ce0d57d3e03648cce7df90bce05019f3a51073d","2018-07-13T02:41:09Z","1","4","3","7","1","0","0"
"b58e727e988b748214b5e63572a495945061530f","2018-07-13T01:57:05Z","1","1","1","2","1","0","0"
"f516fa5fb7545162d88433ebd31ca8423c314ce2","2018-07-13T01:42:42Z","1","1","1","2","1","0","0"
"eec8ab07978ca961955d5f99f2c799e606b67fe6","2018-07-13T01:29:42Z","1","21","7","28","1","0","0"
"be63f8d09104786a50a47b452c6ab30c762ebd5c","2018-07-13T01:03:36Z","1","30","0","30","1","0","0"
"bd3cb788d58a5659bec64f249fa6f92645e2dc84","2018-07-12T03:10:20Z","1","3","3","6","1","0","0"
"0b795f816f146a0276f461f9060af51ec8193e94","2018-07-11T06:13:23Z","1","27","0","27","1","0","0"
"cb0233f18d37427f3d8e88b986b3ac3c78e0264f","2018-07-09T07:53:05Z","1","2","2","4","1","0","0"
"21c0aaadc36e37a8d3513751a97fac0525291e7e","2018-07-09T07:32:20Z","4","40","40","80","1","0","0"
"678842ffa1cc8c561b4f388cc5a421445ab5d089","2018-07-09T07:01:24Z","0","0","0","0","0","0","0"
"9688fe9bccbff3097518a6ac2f3441e0198380a2","2018-07-06T09:56:10Z","0","0","0","0","0","0","0"
"c3fcd26c48550be28ee38e247ce6408312060c98","2018-07-06T09:52:34Z","0","0","0","0","0","0","0"
"601a9068d6620572f0a866fa0d38a8b1c5beb23b","2018-07-06T09:51:34Z","0","0","0","0","0","0","0"
"19f7e8ffccb46414e1b4cc01f693cb0d778eaf8d","2018-07-06T09:21:32Z","0","0","0","0","0","0","0"
"959d06f868ccb812806ba4225da6741e17a0d6a3","2018-07-06T09:16:59Z","0","0","0","0","0","0","0"
"958272752ce20f7bba0385cf68920156f389f3db","2018-07-06T09:14:10Z","2","8","5","13","1","0","0"
