"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"d992d780328ae8ccce3e9ea4acfeef69186986d3","2018-04-25T15:54:35Z","0","0","0","0","0","0","0"
"c23781924a5ad5f0db3b74cbdc78333d0cbce7ce","2018-04-19T09:00:04Z","0","0","0","0","0","0","0"
"71510c5a7f4ff61bcf394452c8818547ffc09a74","2018-04-03T07:15:42Z","1","2","2","4","1","0","0"
"97862adc2cf771bae0785970a673ab2bcfe60e28","2018-04-01T06:34:28Z","1","2","2","4","1","0","0"
"0b36e7c9cb43b013b7577f5f520fb90bd42cf297","2018-01-19T09:53:33Z","0","0","0","0","0","0","0"
"a5ebd6de5176b6d58fc7cc994736b00995c3aeb1","2018-01-19T05:03:36Z","0","0","0","0","0","0","0"
"4da4977116119f7234eb8fd9b2074db2bcf20a16","2018-01-19T05:03:17Z","0","0","0","0","0","0","0"
"bc46af3912b7d53f88f6de6428071a95325d9d96","2018-01-19T05:02:39Z","0","0","0","0","0","0","0"
"b9af46e1ba0590ee472c4b3f5b03510819b3f4ca","2017-12-22T04:43:41Z","0","0","0","0","0","1","0"
"9ecb7f01d2f53c7189c76f0b4eb2dc36997ef39b","2017-11-17T05:09:44Z","2","5","2","7","1","1","0"
"08438de8881ef2c8d9d8bcbfee8f667172a9d6fd","2017-11-14T03:45:20Z","0","0","0","0","0","0","0"
"b8ab5694a4ff200a35503d4df1f67d21f4d3094c","2017-11-13T09:12:21Z","0","0","0","0","0","0","0"
"fe383a945380c9c4996cf0bfad4dbfa2925abe2f","2017-11-13T09:11:20Z","0","0","0","0","0","0","0"
"f2aa936710b6189e4a3df9ef4d4e9314fac0b0c3","2017-11-13T09:10:22Z","0","0","0","0","0","0","0"
"891075d90986c09497b2cc5e8cb77195638cbdb5","2017-11-13T08:50:39Z","0","0","0","0","0","1","0"
"60cf1edfb34464c8d88812a2fd82b50ddcb3c5b7","2017-11-13T08:39:11Z","2","28","6","34","1","0","0"
"c50ee9af4f94dd2f14648355bcf859e52aa8c85f","2017-07-02T17:58:18Z","0","0","0","0","0","0","0"
"57c00a8bb7cc27399239218580f54292c54ae809","2017-07-02T17:39:50Z","0","0","0","0","0","1","0"
"44e0dc5185182c4009f882a8d1011d75b12464b5","2017-07-02T17:38:03Z","1","25","0","25","1","0","0"
"aefcc41eded881302b0e35559b7b19346acd2673","2017-07-02T17:37:46Z","2","48","2","50","1","0","0"
"44a920f399b75c449e33cb66c5ec8444458962c9","2017-07-02T16:23:46Z","3","121","59","180","1","0","0"
"28ca44af6badfe2572b07ca4a5a352a6d8452f33","2017-07-01T07:19:03Z","1","1","2","3","1","0","0"
"c8c7bd74400bc99e25fc9a70fc28da05af6bb449","2017-07-01T07:14:03Z","1","6","1","7","1","0","0"
"b36dd2b74d45339e7a8199ee8059ff0305a6fb1d","2017-07-01T06:31:09Z","1","6","1","7","1","0","0"
"aed616bff5748d4c868dea1adda9eb40017f77e9","2017-03-17T05:53:16Z","2","95","0","95","1","0","0"
"b3520e67040977918a1d8ab48e02a28918ab7a48","2017-03-17T03:11:17Z","0","0","0","0","0","0","0"
"d9de3f9f209b72a44deea5eda37a0bb9647b78d0","2017-03-16T11:11:45Z","0","0","0","0","0","0","0"
"460109b98f0cf62af70610b9ba80229b222e32c8","2017-03-16T10:09:01Z","2","41","8","49","1","0","0"
