"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"efac42e8c6edf51705c761f0d4fcf7ae18c36d69","2018-07-06T00:29:57Z","0","0","0","0","0","1","0"
"664994fe03aba58105cd74576be7d9c756bc0d28","2018-07-06T00:19:37Z","2","78","10","88","1","0","0"
"d83e9d1fb0fcc845322b0f34c8985d417011d6b0","2018-07-01T18:01:02Z","0","0","0","0","0","1","0"
"efee327193444254c64a4143b6584b855221eee8","2018-07-01T17:44:08Z","0","0","0","0","0","1","0"
"433b276c20a59ceb4160f60e28fa6da809b39b55","2018-07-01T17:42:20Z","0","0","0","0","0","0","0"
"1bc396c70a1410b26afa62578a6394e61d25bc53","2018-07-01T17:20:14Z","0","0","0","0","0","1","0"
"4f4cca61257e23351c227536dcb52ccf856c7966","2018-07-01T17:19:17Z","2","65","2","67","1","0","0"
"e08adf0cb448da6f4361606c6aa77a591f3806ca","2018-07-01T16:34:46Z","0","0","0","0","0","0","0"
"a796088bc47bdf470b23c673813bbe2507c5f655","2018-04-24T13:40:24Z","0","0","0","0","0","1","0"
"0483173bb73735c957e7a127e1031d5d0914e3de","2018-04-24T01:31:25Z","1","7","3","10","1","0","0"
"04f08ae4a2647275df9b879205bb8619eaf72a59","2017-12-29T14:07:28Z","0","0","0","0","0","0","0"
"f01b103b9fc4b3f5e86c31185334fa0285011b05","2017-12-29T12:49:14Z","0","0","0","0","0","0","0"
"66e57c7d29e4176d72dd4ccaa194e2e78212029c","2017-12-15T01:41:56Z","0","0","0","0","0","1","0"
"548336a65bf3180dcd47dcaa902387cb99fa8e51","2017-12-14T15:14:30Z","1","109","25","134","1","0","0"
"3326493edc379e7b050e7f673bae121c819fd73d","2017-12-06T13:13:08Z","1","1","2","3","1","0","0"
"fdc3c3f6c01a8b76dc4e55eab7dedee4a8b6ab32","2017-12-06T13:09:37Z","2","128","1","129","1","0","0"
"539dfc0e4ad4d00423ad94da8107f3492320ebae","2017-12-05T15:25:48Z","2","12","3","15","1","0","0"
