"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"a862342f4cd633cf1c88e3495e0d04a52c725bd9","2018-09-27T05:36:59Z","0","0","0","0","0","0","0"
"669761ce14a5ed4c405e80736e65c83caea9abe0","2018-09-27T03:53:26Z","0","0","0","0","0","0","0"
"82d40c6baf4ca716242839a1220654bf40b4aaa2","2018-09-27T03:51:24Z","0","0","0","0","0","0","0"
"e50593a7ff3c6219f99cfe3bea093eae5d8c1aa3","2018-09-27T02:58:25Z","0","0","0","0","0","0","0"
"d165c19b24b8324ca8eae4835d73751a1a498dc4","2018-09-26T07:26:00Z","0","0","0","0","0","0","0"
"464a5a22724f436db6ef0b74c8676d3c499f7ee2","2018-09-21T09:36:28Z","0","0","0","0","0","0","0"
"7b6719c0953477ef2efcc841fc2d9709595200d4","2018-09-21T09:33:24Z","0","0","0","0","0","0","0"
"f79026bd8c6b58cfd4960a6ed5ff549d6fe65d91","2018-09-21T09:28:34Z","0","0","0","0","0","0","0"
"fe9dfb2d21cab62f5630b1c4e8b6e7e3435f646d","2018-09-21T09:26:43Z","0","0","0","0","0","0","0"
"cfcf7ed58c8fdf2b38ab541ab9a98ac455494dff","2018-09-21T09:25:18Z","0","0","0","0","0","0","0"
"712b73c583b7269b39568262f7aa96ded46fe65a","2018-09-21T09:23:59Z","0","0","0","0","0","0","0"
"362136a887d55f6b688281a72ea4d6b4a6a3e415","2018-09-21T09:23:05Z","0","0","0","0","0","0","0"
"14bf26e1ec8ed0802920e3e6738ab66c9237500d","2018-09-21T09:22:14Z","0","0","0","0","0","0","0"
"5b3aebf9d0b8f2e78c39cda35be694197ecf176d","2018-09-21T09:17:38Z","0","0","0","0","0","0","0"
"ce1cc6d22053c122dd3ab30eb2777a242f1b4148","2018-09-21T09:10:00Z","0","0","0","0","0","0","0"
"89243b44121c9eed210aab7e1751304b780a6430","2018-09-21T08:41:41Z","0","0","0","0","0","0","0"
"9f6db7646a0e23760ec7bc8135a44ba2c2ca6363","2018-09-21T08:39:25Z","0","0","0","0","0","0","0"
"5c6ce1e9b256b67f2200abc6250ea3c7c4808ff0","2018-09-21T08:17:31Z","0","0","0","0","0","0","0"
"a989f76cf04f0e4e5a84e2c0420886ad01aa12e1","2018-09-21T08:04:42Z","0","0","0","0","0","0","0"
"25106f1208789d0b886dc21a01af10cdb58803a2","2018-09-21T07:30:15Z","0","0","0","0","0","0","0"
"24fa5390cb5a439f4226f4807abdf0d2119fce36","2018-09-21T07:14:41Z","0","0","0","0","0","0","0"
"5357e75ea598b053f5256794960b31a0eba10692","2018-09-21T07:06:40Z","0","0","0","0","0","0","0"
"2bd06536413139c8933d0247c5e0bb5acbcad99d","2018-09-20T15:10:07Z","0","0","0","0","0","0","0"
"a8b69dfaa598ac6f92e873ba58281954c67e025f","2018-09-20T14:53:55Z","0","0","0","0","0","0","0"
"a61b8bab0ae7864565de0399d694d9acdd61e6bc","2018-09-16T15:12:11Z","0","0","0","0","0","0","0"
"360fe3ab40f2c65e955581530b46be8a0ee991f7","2018-09-13T13:26:37Z","0","0","0","0","0","0","0"
"88959666e625c182df189544ce50215e99cae29f","2018-09-13T10:16:14Z","10","234","0","234","1","0","0"
"124500c760ac9895d9f9a4049caf51adee1eb6d1","2018-09-12T13:34:31Z","0","0","0","0","0","0","0"
"e259f17458a56da99c74dfcb6931dfd10c9f84c8","2018-09-12T13:25:00Z","0","0","0","0","0","0","0"
"eb67584928765161a394257a514bff961177f1a7","2018-09-12T13:21:26Z","0","0","0","0","0","0","0"
"21da276d7c0b102d66b3b6e47c1971d72e01ddf4","2018-09-12T13:18:47Z","0","0","0","0","0","0","0"
"604f29bc37f18a3633e8520c9ff5ec05a9c7b126","2018-09-12T09:45:55Z","0","0","0","0","0","0","0"
"5c070a2a9d3e1bf6ab55abfdd3f50621b6558015","2018-09-10T07:04:59Z","0","0","0","0","0","0","0"
