"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"5b437d51963cb9f1a722811faf06ae39e8a8c204","2018-05-15T13:57:47Z","0","0","0","0","0","0","0"
"b3aecde4f409dd22b491c98730cc8f97807a2441","2018-05-15T05:50:28Z","0","0","0","0","0","0","0"
"6ff906d569c14df098126fa508507233430e15a4","2018-05-15T05:47:44Z","0","0","0","0","0","0","0"
"45219b97f43690e333471a9874cb0c79ae212f73","2018-05-15T05:40:55Z","0","0","0","0","0","0","0"
"b517537b05fb74b37dd34de13fbe29eeda9662ea","2018-05-15T05:30:46Z","0","0","0","0","0","0","0"
"8c8e0a7bd5cbf7925c7c8838960e7ef075635b3c","2018-04-26T04:00:19Z","1","2","2","4","1","1","0"
"3d2237129f9b8cd27ba3d12deb06e39abb9021be","2018-03-14T08:35:29Z","0","0","0","0","0","0","0"
"c55abe1269d89a8bca71dca76d94f160cf1a4709","2018-03-14T08:34:41Z","0","0","0","0","0","0","0"
"0a536b3d146a668c51c6fb2849dfd1a6619fc352","2018-03-08T14:39:17Z","0","0","0","0","0","1","0"
"a86e2cbd6d1354845b39bf2a2c591ae957e76665","2018-03-08T13:41:46Z","5","159","24","183","1","1","0"
"343aaf89d4c2bb694c8258605a45a14ee9d96bb7","2018-03-08T09:37:59Z","0","0","0","0","0","1","0"
"03dee3c5baec021312fd2b8375c7eca863216212","2017-05-02T04:53:24Z","1","14","9","23","1","1","0"
"da204290cdac038e67d4cdf8072360dab81b24f0","2017-02-24T14:40:03Z","2","18","33","51","1","1","0"
"6aea82f4fb5b6396d254e63285194dddf8d1babf","2017-01-11T05:48:04Z","0","0","0","0","0","0","0"
"a3142e1b5ba1bdbe9769b2134a366134148dd43b","2017-01-11T05:43:14Z","0","0","0","0","0","0","0"
"c0899d536d7ddbce633f342207a25a6d13b69edb","2017-01-11T05:42:21Z","2","61","42","103","1","1","0"
"0e7c59a0f098cc4164d4f93487caadeb64057be9","2017-01-08T14:05:13Z","1","14","3","17","1","1","0"
"69e988d56e31797610928a30de6a48648e93e885","2017-01-04T09:59:14Z","1","15","2","17","1","1","0"
"c0db32cad9de16e84da3599803994bab2d09454b","2016-12-28T07:52:23Z","2","5","34","39","1","1","0"
"ab69eaab9441705672d6bbcffee655b5429f7b0a","2016-12-15T03:04:19Z","1","3","2","5","1","1","0"
"bbff0f422f08e2d8d21a4e670f527a030e4763d1","2016-11-23T13:17:08Z","0","0","0","0","0","0","0"
"bb23e8ac778060d3bbdf879e01ee381993ea6733","2016-11-23T13:15:27Z","0","0","0","0","0","1","0"
"9511e03b0cf64527013c668236628ade733defe6","2016-11-23T12:49:05Z","1","1","1","2","1","0","0"
"00afc4d78c30a214204388464d451e41a352f52c","2016-11-23T12:46:44Z","1","1","1","2","1","0","0"
"2deb5c29e84f5ba8678b86ddc79bfebcedaca187","2016-11-12T12:59:17Z","0","0","0","0","0","0","0"
"3416b499e00b7d8889003f8c5565e2d600431e69","2016-11-02T14:22:59Z","0","0","0","0","0","1","0"
"338338fbd82c0cabcef8fe5ed9369fb0fe552a59","2016-11-02T14:11:34Z","1","15","14","29","1","0","0"
"507b2349a7e50e916ce74902d217e63c10d1b07f","2016-11-02T14:09:42Z","1","8","3","11","1","0","0"
"28afefa0857e718f55be864316acd5c4c1135643","2016-11-02T10:09:26Z","1","8","3","11","1","0","0"
"d7374c3ee3863599838af0e0a2d62b502b1ae32d","2016-10-20T07:45:38Z","0","0","0","0","0","1","0"
"ad9bf3ddfc90b41532d888abbe8f26f98bd4363a","2016-10-20T07:26:17Z","1","6","8","14","1","0","0"
"c37acf28758d8317e98cfb10deea24e4478a547b","2016-10-14T18:08:11Z","0","0","0","0","0","0","0"
"86e8c24a7e32d1570cbae8c6ea2015c6f51cf7ce","2016-10-14T17:04:33Z","4","113","9","122","1","1","0"
"a42b79698dfb3501219666c1b6a9c7095c90b01d","2016-10-13T10:00:35Z","0","0","0","0","0","1","0"
