"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"148af4e8f7ad0cadad3b67b7523e78dce6b66c44","2018-09-05T08:22:56Z","0","0","0","0","0","0","0"
"5f42d0c2a546e04fc89cc31ed8f2c7dfb862ceb2","2018-08-14T09:52:06Z","1","165","19","184","1","1","0"
"18ee4960419f58c7a9a299a678e21e701f1742a1","2018-08-14T09:50:02Z","1","165","19","184","1","1","0"
"1a986e1b9b852b236d9910cf56e9ccf5493aa0c6","2018-07-18T08:25:19Z","0","0","0","0","0","0","0"
"a96f3eb2728dd3cad30078f35b54dece3519f1c2","2018-05-04T13:13:30Z","0","0","0","0","0","0","0"
"ff72250805526c5923da2b55900e92c2b53f11a3","2018-05-04T12:58:29Z","3","21","2","23","1","1","0"
"57b1ff3fa457ea343d5785e61b3557dab5feb0d9","2018-03-14T08:05:19Z","0","0","0","0","0","0","0"
"615e012a3b1c95ebd3baae4e1772ccab8b60ecf4","2018-01-22T06:03:13Z","0","0","0","0","0","0","0"
"3b05e1cdc571b03719a0596f746a2f4a74234d4a","2018-01-22T05:53:49Z","0","0","0","0","0","0","0"
"525014f2d5ebf9cb40796ac78938606478db86f0","2018-01-22T05:53:18Z","1","3","3","6","1","1","0"
"3af5ce8336a32af959d2625fe30ca0132b6a161e","2017-12-28T02:24:09Z","0","0","0","0","0","0","0"
"3b7055aeac80f155ff81e15669e4da8bbeabe2dd","2017-12-12T08:56:44Z","0","0","0","0","0","0","0"
"434c060b5a7f949118aa83212479988ef1e5ee86","2017-10-14T03:39:29Z","0","0","0","0","0","0","0"
"4be3f027117b98b9284dda1f1e56139c7277166a","2017-10-13T10:08:53Z","0","0","0","0","0","0","0"
"c1084ba3d7da9db292d8780628598f04ac2ecfa0","2017-10-13T10:05:52Z","3","717","52","769","1","1","0"
"0999f0cca02893689170a1b1bba65febd2d945a8","2017-09-06T03:18:52Z","0","0","0","0","0","0","0"
"c1e3b536656c459f0812a88249c7772b9d3edd7d","2017-09-01T08:57:22Z","2","81","4","85","1","1","0"
"152a14ad1b3aed0b08c265f1d308cba5dfaa477e","2017-08-24T07:28:54Z","0","0","0","0","0","0","0"
"13fa1dc5dd5ff6a98ded65d0d1f7a2890605ab76","2017-08-24T07:02:37Z","2","49","38","87","1","1","0"
"8f248c672a8843323e387b4643e0bde89f56960d","2017-08-14T13:17:45Z","0","0","0","0","0","0","0"
"098313fecc9cfba4447407e1c206258674829606","2017-08-14T13:00:10Z","1","118","1","119","1","1","0"
"ffa92bf362e67db0943b6e411135cfe94d1e83c6","2017-08-12T09:05:16Z","0","0","0","0","0","0","0"
"15861f355978fa75827d102051bd9751dad76cc4","2017-08-12T05:39:08Z","0","0","0","0","0","1","0"
"9dee05176b4eadbdb768860db8c3610600af4c21","2017-08-12T05:32:54Z","2","346","10","356","1","0","0"
"41479e9109b75b596fb5fc24e00731d799121964","2017-08-12T01:18:51Z","2","175","17","192","1","0","0"
"3547f26cca1fd95b7f8880a44b5210ad15c00085","2017-08-11T01:11:19Z","0","0","0","0","0","0","0"
"283b25705b5a2b12021797b5093fa66be669a643","2017-08-06T05:08:33Z","0","0","0","0","0","0","0"
"12dafd72e785d9a47b045e0121224687ef690650","2017-08-06T04:46:34Z","3","29","6","35","1","0","0"
"4ea089523049ffe96aaf3e6a6f1e05d56529de30","2017-08-06T03:15:23Z","2","96","23","119","1","1","0"
"22d8789122c86369755ee5dc79bd43a6cc4ca248","2017-08-06T02:48:40Z","2","95","23","118","1","1","0"
"ea02a3452064ccb9dbec74e19c50ac0f687ee265","2017-08-06T02:13:15Z","1","1","1","2","1","0","0"
"553beb77416bcbdc8cdca26af9f7bc3102d60148","2017-08-06T02:06:58Z","1","1","1","2","1","0","0"
"ec8db83e7cf977c8133db304e795c7260693ab04","2017-08-06T01:46:27Z","0","0","0","0","0","0","0"
"469a900499a2192cd8ffdf358b3a7ca6b4b25738","2017-08-06T01:24:37Z","0","0","0","0","0","0","0"
"03dbd179ed55f2666836fb1be1c44b92834928c2","2017-07-27T09:08:46Z","0","0","0","0","0","0","0"
"f745a7f09ef4570351f7e073560e29ead3954894","2017-07-27T06:51:03Z","0","0","0","0","0","0","0"
"87acaed45426d38ad3bab7142f679c9a888924d3","2017-07-27T06:35:22Z","0","0","0","0","0","0","0"
"db696e0ca3593c256f6faf60b6bcdbbcf69e5c4b","2017-07-27T06:34:00Z","0","0","0","0","0","0","0"
"3f39b50ada978233e7cf7983eda145bc9c391414","2017-07-27T06:05:31Z","1","30","0","30","1","1","0"
"7d3a26f34822b5962bee9a9a8a86adde9c7860ee","2017-07-25T10:16:31Z","0","0","0","0","0","0","0"
"56cba60827d61c3c0f0e8d01ad40eb2ae3b58d22","2017-07-25T09:53:18Z","0","0","0","0","0","0","0"
"7cc7b9205c196d0e3b0715148932dcd0a9ac2bca","2017-07-25T09:49:17Z","0","0","0","0","0","0","0"
"4d089fb2b1af9d5f5edeb8902dc1e73157e74290","2017-07-25T09:43:10Z","1","1","1","2","1","0","0"
"299a8dbf943e0bd676fbb428a9184a44af2dab1c","2017-07-25T09:31:14Z","0","0","0","0","0","0","0"
"129e94330f395e3cb95a65b2d2e5fcde4f24694d","2017-07-25T09:18:27Z","4","82","25","107","1","1","0"
"30c9b48bd38c55f26e6b615834a216161182f2f0","2017-07-24T10:01:15Z","1","13","12","25","1","0","0"
"644f287100a400ca60d0489c21f5604c6662466d","2017-07-24T09:44:49Z","1","12","12","24","1","1","0"
"d2bc8733433d322467bbdddbab817ba3c9dc75f0","2017-07-21T10:31:42Z","0","0","0","0","0","0","0"
"541533cfd0c86b6a66e694ced7fbf732010b81d4","2017-07-21T10:16:02Z","0","0","0","0","0","1","0"
"1e6e1e7677432adf6cd3da949f39a79217508d27","2017-07-21T04:05:41Z","0","0","0","0","0","0","0"
"d078debdda8b67a79927c58acb1d4c1d43348fd1","2017-07-21T04:04:06Z","0","0","0","0","0","1","0"
"4c9520b33893529133a36c890edc2901fbc268de","2017-07-21T03:21:30Z","0","0","0","0","0","0","0"
"807f1347444cd07482b5601a6efda0f6cda1fb5d","2017-07-21T02:58:22Z","0","0","0","0","0","0","0"
"8ec2ee0cd33891abf316242d430d46d54ab97563","2017-07-21T02:40:39Z","2","2","1","3","1","1","0"
"e49d25375249de8854b7f49a555e1f25351d66b2","2017-07-21T02:36:36Z","1","1","0","1","1","0","0"
"6845e8ce70c48991401d1138c663459798e808d3","2017-07-21T02:27:32Z","3","43","15","58","1","1","0"
"2dbf165a05a161def2ab66a0f1752fe4651a9cd3","2017-07-18T02:41:22Z","0","0","0","0","0","0","0"
"0220cfa5997f6728560dc4b3329053eb42793609","2017-07-18T02:38:09Z","0","0","0","0","0","0","0"
"029aa35a1fee211162ee2ad8f81290ed6c9de450","2017-07-18T02:38:04Z","2","4","3","7","1","1","0"
"d204715261f0fc7eb4dbf39c37ea57d3f1b62cc5","2017-07-17T08:28:55Z","0","0","0","0","0","0","0"
"25e7b89c004da9c89dd0d3ef0cd0d6a81d2e284d","2017-07-17T08:23:33Z","2","38","10","48","1","1","0"
"752b02fc0687e5263da8ce4209cb2699d3394b30","2017-07-13T07:40:51Z","0","0","0","0","0","0","0"
"5ecc25f72b6317368c405666440140d0d11e66ff","2017-07-13T07:40:41Z","1","98","2","100","1","0","0"
"ebdd627db67ff87c67ac7b6a8d1ed9d7cf732736","2017-07-12T09:30:16Z","0","0","0","0","0","0","0"
