"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"31a222705b52aae685369823ece42b7740a7aa63","2018-04-02T12:15:48Z","0","0","0","0","0","0","0"
"d0141dde21b2e3b5fd1f7e52bfc7330f6d399757","2018-04-02T12:14:31Z","0","0","0","0","0","1","0"
"10215ab38adf5894298aa86d2c8c4f419835d81f","2018-03-27T11:11:53Z","50","1833","1566","3399","1","1","0"
"74a78abf383f540dbc754d1bc14ea8f339c92648","2018-03-27T07:51:51Z","0","0","0","0","0","1","0"
"93bc6dafcd00079be3936b8ddc0a97f36bb30394","2018-03-27T07:42:22Z","0","0","0","0","0","1","0"
"aa9175576ecde93eef04a5807b4a08ac21cf6307","2018-03-20T02:35:38Z","0","0","0","0","0","1","0"
"d44eb79b040b31c0bb2c85592704e8b82008203f","2017-06-19T02:59:31Z","0","0","0","0","0","0","0"
"6c26c183d934e59fe779cc396eff29722a7b0931","2017-04-17T23:27:55Z","0","0","0","0","0","0","0"
"1159b02ab65029bb6af1b7adc90279ba79bfa95d","2017-01-18T08:43:42Z","0","0","0","0","0","1","0"
"6f48576441c9f2e8a6c7e0b1f4b2d18919173a01","2017-01-18T08:16:14Z","3","126","149","275","1","1","0"
"2cdef52782fa2fc7c6b6f564f3ae4849c62009a6","2017-01-18T06:08:09Z","2","0","9","9","1","0","0"
"a0a64a59762fa8554eb46b6ec544f70a5d46f551","2017-01-18T05:40:29Z","2","128","142","270","1","1","0"
"478cf70c4e5decc83889a5f202b20990dde27c69","2016-12-02T10:19:07Z","2","31","8","39","1","0","0"
"62a6725a99118ec0ce0f4cf1cd76b2ba70e21745","2016-12-01T03:24:44Z","2","31","8","39","1","0","0"
"dcd2d3db3cc76390493e9d79d69c39f5d55ae025","2016-11-29T02:50:11Z","0","0","0","0","0","1","0"
"a8371504df0125b5eb1197f2e855967899fe80f7","2016-11-29T02:02:22Z","13","146","58","204","1","0","0"
"5c44daf85f4375e8f038bc7b5764b0eb06bb4672","2016-11-29T01:59:15Z","4","31","6","37","1","0","0"
"98830ace025657b4aa6866296d5c8e37944d8e64","2016-11-28T13:17:20Z","8","14","26","40","1","0","0"
"ee9f59b7cb58eeb2d78a2422ce6d76abe1fea8bc","2016-11-28T09:52:42Z","4","31","6","37","1","0","0"
"1c76416998e49b32a2d857694d55a837dbe5c6a3","2016-11-27T13:35:46Z","9","136","36","172","1","0","0"
"1451f38ef4cd5e9ff2766ccead839b2a34a1a3a3","2016-11-25T07:17:54Z","0","0","0","0","0","0","0"
"a8605cb50d54d65e3743ceea42d503cb648f68b3","2016-11-25T07:15:56Z","0","0","0","0","0","1","0"
"c70034feee3c83ced7e2298e2340c0ce7f2c42d5","2016-11-25T07:08:12Z","4","14","14","28","1","0","0"
"9ad921316f5b4e2b5e6eafa3b1c98a140cdd1aca","2016-11-25T07:07:31Z","2","2","90","92","1","0","0"
"b2e7f6091d0a0a79e6691ac70227a222097f31b9","2016-11-25T07:07:21Z","1","5","5","10","1","0","0"
"2f7e15f4f015ee849bfdb0df0f05798f5290e6f6","2016-11-25T07:07:15Z","2","90","2","92","1","0","0"
"670f73abafd53472b8a387ec9ef05b72b0de4c14","2016-11-25T07:05:59Z","1","1","1","2","1","0","0"
"0b6310a4a8cd7bdf52ff06353d6cf4d2ec667eac","2016-11-24T08:50:34Z","0","0","0","0","0","0","0"
"4cf3f7ac5cbf5806ba1a5e9eb35e8c53321b530e","2016-11-08T03:05:31Z","0","0","0","0","0","0","0"
"915715265e919f1c966546e3efd51991ab9cf5d3","2016-11-07T10:59:09Z","0","0","0","0","0","0","0"
"c26e26dc8e4d6a2bb8b567045350d34501e01cbc","2016-11-05T08:16:31Z","0","0","0","0","0","0","0"
"ad8e0ccdb66b422967947896c21149a6d0677fd0","2016-11-05T08:13:52Z","0","0","0","0","0","0","0"
"1e0cfa8fa0ba744c2e291680736962dad81d49b6","2016-11-05T08:11:13Z","0","0","0","0","0","0","0"
"32ef9547b40bbf33e826d6a971735dcfc9e4059f","2016-11-05T08:04:55Z","8","8","8","16","1","1","0"
"7aaf7e866ce9f84dd8d46a11437ca64067b91ab1","2016-11-05T07:37:33Z","8","327","70","397","1","1","0"
"698de345589723e6bd83898f0efc299025811344","2016-11-05T04:56:01Z","4","75","1","76","1","0","0"
"957e6981f18f1de63bdc848e8cd3b986787df873","2016-11-05T03:46:03Z","4","53","9","62","1","1","0"
"b44c017bfe332011b29709a03a9d75c066ef4986","2016-10-27T10:04:54Z","0","0","0","0","0","0","0"
"0bbdace481d7da4be90e118dd75b3353630c57b3","2016-10-26T11:47:40Z","0","0","0","0","0","0","0"
"5f91f6a7ec090ad8a14fc5391f1d43e5e59e73a7","2016-10-26T08:55:59Z","1","1","1","2","1","1","0"
"29640569113846fbdbe036c4736bfa49f5fb4362","2016-10-25T12:50:24Z","3","26","6","32","1","1","0"
"c30be858b959824e1d483cb4d39234cd73fcd866","2016-10-18T07:53:25Z","1","1","1","2","1","1","0"
"b639a120a3eca5bba45e506a6c8253d75904c7a8","2016-10-13T05:27:55Z","0","0","0","0","0","0","0"
"1738ec576d69b8a40aa11c2775ef66e7543718cc","2016-10-13T04:55:21Z","0","0","0","0","0","0","0"
"1cb7af83c25ba5cec15446a79d1441e2f5016ae6","2016-10-09T10:18:01Z","0","0","0","0","0","1","0"
"2c6e1f84a859ceb1112d4657e9fd084b7e4d7ba0","2016-10-09T10:10:37Z","5","19","12","31","1","0","0"
