"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"e3091242898af87ddc6e7452576ab99e94a81ef1","2018-03-20T05:36:36Z","0","0","0","0","0","0","0"
"cad372ac160dcdcbdc77db563a60df5a3683ce87","2017-04-11T02:22:12Z","0","0","0","0","0","0","0"
"81865d971db8fa4bb79ea59ca2da2950073d4e81","2017-04-07T10:54:02Z","0","0","0","0","0","0","0"
"9205ba0d3c35549e1ef68d9494e98e3b0b1ad14a","2017-04-07T10:35:05Z","2","18","10","28","1","0","0"
"8de45e5679547a9ea6ec4452f8b9c58360c9662e","2017-04-06T23:09:44Z","0","0","0","0","0","1","0"
"de0692ff1ceb8309a658f748080a31cbf879bb78","2017-04-06T16:14:20Z","4","38","4","42","1","1","1"
"495fbfa590beece45895c9c0b5cc1602e4da6d6b","2017-04-02T15:18:48Z","9","513","282","795","1","0","1"
"a277696a48b819ceeafa0a145550055012368c9c","2017-03-30T10:36:43Z","9","660","124","784","1","0","0"
"388b0ef46988be3f184649aa58572a2b6fc31311","2017-03-24T14:56:24Z","7","131","48","179","1","1","0"
"806d750af15b30507c6cd87c48c5000ea684fc5f","2017-03-10T06:38:21Z","0","0","0","0","0","0","0"
"695c30609a408ac2921c64c3706622820915e290","2017-03-10T06:32:53Z","0","0","0","0","0","0","0"
"cd6a64c8d86471d65a041e4a08a3949ad508977c","2017-03-10T06:19:30Z","3","2","53","55","1","1","0"
"81b38c4c94c6c6c760834f5541342972968b3252","2017-03-10T06:13:05Z","2","2","3","5","1","1","0"
"67c0e3f43e5bf45c3b0062182ab26d5c8240d5a4","2017-03-09T15:36:16Z","1","16","12","28","1","1","0"
"3a3b2ac7706e83d5d5cda5a7a452870ca7f3f736","2017-03-09T13:35:27Z","6","46","22","68","1","0","0"
"42ecfe24f2674aadf1fe79b8a47f81c86403b892","2017-03-09T10:02:46Z","2","29","11","40","1","0","0"
"48e5ab14d96f625c0213c1e3d78945b716ddf384","2017-03-09T07:10:11Z","8","33","30","63","1","0","0"
"8c5d88eb24b64373731a51da2943fa1a8c7c6bbe","2017-03-09T05:59:50Z","6","116","166","282","1","1","0"
"45bde0f5b741f55ff9e80a9f20aac7e20f954d35","2017-03-08T07:54:59Z","4","123","12","135","1","0","0"
"f2c6255437fbeaeba76265dd18b331ef83c3f48c","2017-03-08T06:33:05Z","1","23","4","27","1","0","0"
"4afb8d65caf51cfe52b49153eaa67d8865d0bb00","2017-03-08T05:56:40Z","5","41","8","49","1","0","0"
"c14bbf3b534c5b8a2ebf75b31a0f9c104d1a596c","2017-03-08T04:11:51Z","3","17","4","21","1","0","0"
"3eab11f47f920b13b537c7e09f0ab19e0a3b2895","2017-03-07T14:46:03Z","6","339","423","762","1","1","1"
"d579f00e5f77ab6c640ef4a61d8b0c40f10b4288","2017-03-04T05:31:37Z","1","0","2","2","1","0","1"
"6bd29f24eedd54f642c6b29a23dd942f0b5ee7f4","2017-03-03T15:53:55Z","10","22","333","355","1","0","0"
"352000c29cf80691167ad38c966292fb6c2d2e9e","2017-03-03T15:41:01Z","9","391","18","409","1","0","0"
"b3cb4adfec3caf1d97b87988b7c22aa8e87ad9ab","2017-02-28T13:59:16Z","9","140","45","185","1","1","0"
"819a4b45c764770c80328c6e496b11caf2e0b5a9","2016-12-22T04:41:27Z","0","0","0","0","0","1","0"
"987b84624f7ebe5cff1f29bba6f297f1cb1b775e","2016-12-21T05:40:39Z","2","2","4","6","1","0","0"
"dc9e377d49df87faaf7cb982a18dd7ea37a70072","2016-12-20T08:52:36Z","1","4","4","8","1","0","0"
"2a6211af0cc36ab52492afee09c1ef47877e5048","2016-12-20T08:35:41Z","3","17","16","33","1","1","0"
"5a26e30e24603b4fd38c3f9123efe2ca69d0002b","2016-12-20T07:49:04Z","6","60","25","85","1","1","0"
"0a9b6138ae28b9f951331e5be7d9d5c40ff67dc3","2016-12-11T03:04:51Z","0","0","0","0","0","0","0"
"75f0bc82d86b05d92b989e232769d283da106a8c","2016-12-10T17:05:06Z","0","0","0","0","0","0","0"
"3e8e2f94ab81ec05f6876bacf5df39529670711e","2016-12-10T17:01:12Z","0","0","0","0","0","0","0"
"0410a0b4974bdb3d9747f7cc9babbb17d59d4f20","2016-12-10T16:59:01Z","0","0","0","0","0","0","0"
"3b8874ccaf7f5d46b5b0927bb9c4ffcd2377ee39","2016-12-10T16:57:26Z","0","0","0","0","0","0","0"
"ef2bc677a34aa675cfa8301a8604d0958f55ff9e","2016-12-10T16:55:04Z","0","0","0","0","0","0","0"
"5e8a91ed09c51414efcc096addd70a12f3a33f7d","2016-12-10T15:47:09Z","0","0","0","0","0","0","0"
"2efcca2c73063dd829a45b8fb715bf0d9d309ea1","2016-12-10T15:34:21Z","3","6","8","14","1","0","0"
"831aab8759ee08085da245a8f5172a24e08bbbc4","2016-12-10T15:23:18Z","1","0","1","1","1","1","0"
"437506e58bd03ecb8b280491abee7984721c5fb7","2016-12-10T10:14:49Z","2","20","6","26","1","0","0"
"be5794145470df394e94557c398448e2dfc8bc3e","2016-12-10T10:01:38Z","1","5","5","10","1","0","1"
"9e33514314c43d12d811105d6c964f761c0803a0","2016-12-10T09:56:21Z","40","639","3708","4347","1","1","0"
"00db75631d9021508040c39a5808f83e9dbf848a","2016-12-08T18:45:50Z","13","123","71","194","1","0","0"
"8f4f0867b7903bbefbd8061ed2dced8af94b1cee","2016-12-08T03:16:30Z","18","862","26","888","1","1","0"
"04604bf1e5c1912e12b1a2bb6d84a81726a46c24","2016-12-05T15:43:44Z","3","150","208","358","1","0","0"
"e6e11f20271fffa3d23a7e99bef142f800c0a9d7","2016-12-04T13:50:50Z","9","1550","40","1590","1","0","0"
"341f2dbecf49c9f96cb7135f0a989241a0ebfc44","2016-12-04T10:58:40Z","9","377","130","507","1","1","0"
"61814a53be83fc54855b29372ed31f9d7004bb07","2016-12-03T19:54:56Z","4","75","38","113","1","0","0"
"fabc5f48c833126fc841951aa1108e6b49545dc7","2016-12-03T18:45:15Z","12","336","72","408","1","0","0"
"e928f5a141716ceda1b79f8741966bb124a74cbf","2016-12-03T11:25:19Z","21","2642","66","2708","1","0","0"
"03293be5f908997a950337082ff553b7b8cdd548","2016-10-15T03:33:38Z","0","0","0","0","0","0","0"
"f09705b637f575ddb96b6150b911f59d8b83a34b","2016-10-15T01:33:08Z","0","0","0","0","0","0","0"
"16e9af39e8855c76e213c611ee6b0b39668c441a","2016-10-15T01:30:01Z","8","177","1872","2049","1","0","0"
"cfb86bf2b49b66c1341e2db7a200eaf2b92c8234","2016-10-14T15:02:51Z","0","0","0","0","0","0","0"
"994f5134a2d5256f7ce7b2c0ff9c9b65719e18b0","2016-10-14T14:57:45Z","20","2894","376","3270","1","1","1"
"c07b919d0331c0466c9c4de39eb34f127375bb4b","2016-10-12T15:06:22Z","5","50","46","96","1","0","0"
"186f218dfb1d1e5b302d87babd938bc227c45cae","2016-10-10T13:08:15Z","1","3","0","3","1","0","0"
"b3d2503f621885e945afaae613447b5615b38447","2016-10-10T13:01:20Z","1","12","5","17","1","0","0"
"acb92f33f91446ef9a936e8aca9ccfd82870bf01","2016-10-10T07:08:49Z","0","0","0","0","0","1","0"
"950a696323653eb2d571eb4971407e445c01de4b","2016-10-10T05:54:27Z","2","71","65","136","1","0","0"
"d6f4219f940ace0b67780118c539a72b742afa4e","2016-10-03T11:23:52Z","0","0","0","0","0","0","0"
"327fb1f6b3315cc8f0ec76eaf9ec0dd3cb67374d","2016-10-03T08:29:52Z","0","0","0","0","0","0","0"
"2c7cd1d85d7c7303d9afde8f21f8a6294656ad16","2016-10-03T08:01:34Z","28","1252","923","2175","1","1","0"
