"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"c4114c23213f0e86216f75b2770964dbc02eebb0","2018-01-17T13:51:42Z","3","52","32","84","1","0","0"
"23091a85e5609fb1342d2e661c4c0ee67fa702b2","2018-01-17T13:50:10Z","2","26","26","52","1","0","0"
"2e2092c4b25f9fb26c6fb5fd36df258955cf98e3","2018-01-17T13:47:25Z","3","28","8","36","1","0","0"
"c957a3d5f9e68fba8c018ff0632d1a2423d68118","2018-01-17T13:43:46Z","0","0","0","0","0","1","0"
"82816ced3650af0d7ab6494a2639443de071931a","2018-01-16T10:05:34Z","1","20","20","40","1","0","0"
"e75be2f48e584cf6c827664bfbe56f8954bb7e06","2018-01-16T09:19:14Z","3","31","11","42","1","0","0"
"f37fd01cf9579138ba1af8ab149daea775b02448","2018-01-16T08:41:10Z","10","586","288","874","1","1","0"
"a960f06ab3a6d6229acc244c8dffe8a99a317b24","2017-08-23T10:52:29Z","0","0","0","0","0","0","0"
"0a91358ccef36250456438313fa51ee5fdbf317e","2017-08-23T10:52:19Z","0","0","0","0","0","1","0"
"1be505a81c94569feac05cdc6eb0bd1cb97c00fa","2017-08-23T10:25:05Z","1","25","10","35","1","0","0"
"ef7cda5fdf297b0cbbca4f4eab6546743b03768e","2017-08-23T10:05:27Z","0","0","0","0","0","0","0"
"b3b900931c41dc64151512d50bf06bd20a31b677","2017-08-23T10:00:24Z","0","0","0","0","0","0","0"
"dab0b5286a91747ce5973c50739f4039c78a93ea","2017-08-23T09:59:53Z","1","81","24","105","1","0","0"
"3ec42bce608e7f79a05fb79c45150c370421440a","2017-08-22T15:21:48Z","1","0","6","6","1","0","0"
"56c2be0feb52a7eb1915d685185f69c28e37f4b3","2017-08-22T15:08:19Z","1","14","3","17","1","0","0"
"b00084de630a409aa2e9ad5c70914ede00d40db9","2017-08-22T15:01:08Z","1","4","1","5","1","0","0"
"4c1cdf2bbab8a5fbb727467c2253e549931357d8","2017-08-22T14:43:52Z","1","7","1","8","1","0","0"
"0900d65abcabf5326b77625e8270acd80c697345","2017-08-22T14:43:37Z","1","25","25","50","1","0","0"
"bd0b78967a86f034bca0bd53c30822c8e6fcacc4","2017-08-22T12:31:10Z","1","9","2","11","1","0","0"
"2c7d01f7ba1904097913ee1df54d4a3c9bce0a4a","2017-08-22T12:21:42Z","0","0","0","0","0","1","0"
"97c5c824ba92b4da1a4ebb6212ca4cd727f68969","2017-08-09T20:58:21Z","1","9","2","11","1","0","0"
"2acc62dc71e1667c002f7a84dd218cac48c8db94","2017-08-08T04:16:31Z","0","0","0","0","0","1","0"
"1827b0d625ec30897dbc8bb606a538ab666b977d","2017-08-08T04:16:30Z","0","0","0","0","0","1","0"
"49a6b7efbe4bdf6282d6e120247c9574ef3321e6","2017-08-08T04:16:30Z","0","0","0","0","0","1","0"
"273d3b4240e4ea3f0e670fdcdea6b6786e05b020","2017-08-08T04:16:30Z","0","0","0","0","0","1","0"
"185035e7d4f45f98d34e57f63dd441b16799bf5b","2017-08-08T04:16:30Z","0","0","0","0","0","1","0"
"3fb68749a99f168cc0b0e43f6c8c0d851a0c0f67","2017-08-08T04:16:27Z","0","0","0","0","0","0","0"
"011420b04507dc199d02901af3794ae7274097a0","2017-07-04T10:05:19Z","0","0","0","0","0","0","0"
"502be4d7f4caefb29e441e76433a3d67259b5a95","2017-07-04T10:04:13Z","0","0","0","0","0","0","0"
