"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"9bf8547904df7bcdc5afbd0bc0865e9e659f606d","2018-09-25T08:02:43Z","0","0","0","0","0","1","0"
"52891d58725833eb4aca8e4b955c4d98c9734e55","2018-09-11T11:52:58Z","0","0","0","0","0","1","0"
"b04d05eeba6d5626257bbf6303b7218b57532e6a","2018-09-03T15:15:23Z","0","0","0","0","0","1","0"
"ed42db6ab4cc151c6509accf029b8febeaa2cb90","2018-07-20T17:03:32Z","0","0","0","0","0","1","0"
"47d9a67b933b5ca74658138fe40f41791cf7e63e","2018-07-11T14:12:32Z","0","0","0","0","0","1","0"
"bcb6f2fef39fc23e894a37bb9556f046d1a6caf9","2018-07-10T11:32:07Z","81","226","161","387","1","1","0"
"271ddf6511bfe1c001376ec89e1d844b49ae7a5f","2018-07-10T10:54:34Z","0","0","0","0","0","0","0"
"b3f843db704d3f4e918b9b24553ed7beff607ae9","2018-07-10T10:52:34Z","0","0","0","0","0","1","0"
"cc1e7aaa84f59533fed0b386535fdcf6de35e475","2018-07-10T10:51:58Z","0","0","0","0","0","0","0"
"b3e9e0f98ebe3b0bce7b3d5ad362b6e0f12adeae","2018-07-10T10:24:11Z","0","0","0","0","0","1","0"
"a720fb8b8d2371fd2decb0dd21e497c30226fd38","2018-07-10T10:18:41Z","0","0","0","0","0","0","0"
"bfca8c99d6d58b3119df98d5bf768b34e49c17e3","2018-06-14T17:37:21Z","144","315","315","630","1","1","0"
"74474fa254c280b02434316274bc8822958ee46c","2018-06-14T17:37:16Z","0","0","0","0","0","1","0"
"44d4fdd050e3bedf365963031b1c660f68d95d6e","2018-06-14T17:37:10Z","0","0","0","0","0","1","0"
"c199ebc686a69173ada32a186da690c2a2aaa3f2","2017-10-29T11:57:19Z","0","0","0","0","0","0","0"
"8d6c2f47df7f1cc0644cd871d5251a6a97c01ffc","2017-10-29T11:50:14Z","0","0","0","0","0","1","0"
"7113256bd353e689832339745a3dd7bc3af65b35","2017-10-29T11:49:25Z","0","0","0","0","0","0","0"
"6c6235abaf1b9f00a8bd7a9367f2ebee328d3293","2017-10-29T10:52:19Z","0","0","0","0","0","1","0"
"04faa84ec635f5831ece4db251486775de4e4992","2017-10-29T10:26:02Z","1","24","24","48","1","0","0"
"c71512fbc69e1cedc1127d10a8ef98c32ed89aae","2017-10-29T10:10:31Z","2","4","1","5","1","0","0"
"7a9cc8b008fde05ec08bc631f3df4369da198340","2017-10-29T09:40:39Z","0","0","0","0","0","1","0"
"2ec6069d19ed1d7c2b7f89c11864507b3304931f","2017-10-29T09:40:39Z","10","0","48","48","1","0","0"
"fa8a672a419cb76e4cc0d9ccd65c272590b61256","2017-10-29T06:28:06Z","0","0","0","0","0","0","0"
"dea13c1dfc659a56a09665a01eb901781189ce89","2017-10-29T06:06:12Z","0","0","0","0","0","0","0"
"000c1e9cd31557fd1900784f3005900e39537d62","2017-10-29T04:02:20Z","0","0","0","0","0","0","0"
"4b85cb581d3f663e76551acc2729d1e19749e7a7","2017-10-29T03:55:25Z","0","0","0","0","0","1","0"
