"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"bc096cb489a22c63849fc86d1eda53fb4bf36bbe","2018-07-25T08:58:41Z","1","1","1","2","1","1","0"
"1bffa2ca3557ef8c8d0a9cb4f521bd5e9ba58a74","2018-04-16T09:17:56Z","0","0","0","0","0","0","0"
"b9168c5d15cc751276f2736cadaf62369c389dbc","2018-04-15T22:24:03Z","0","0","0","0","0","0","0"
"d86734e31c3f18bb0846e6af1aab06a889195119","2017-12-28T10:16:31Z","0","0","0","0","0","0","0"
"bb45aab0d004f01529dfa66843ad60a798e3bffa","2017-11-12T09:11:32Z","0","0","0","0","0","1","0"
"d50b81b4e84131603f2a391c5f2d1271d8009bcc","2017-10-18T08:24:42Z","0","0","0","0","0","1","0"
"2ac877f5d1c43c935844416a153aeaa3c1008dee","2017-10-17T16:54:52Z","0","0","0","0","0","1","0"
"419ce80347076cf54a97d4b17024aeba3f8686cf","2017-10-17T16:53:59Z","0","0","0","0","0","1","0"
"df2d2c40440b4b4044e9fda05938ff7096e3e06a","2017-10-17T16:44:53Z","0","0","0","0","0","1","0"
"06c29979178000e20ecd7e1275b8c5c51042fa99","2017-10-17T13:49:08Z","3","35","6","41","1","0","0"
"e015d37bf736c545465ffce4c0df7abcef960a57","2017-10-17T13:45:46Z","3","35","6","41","1","0","0"
"b35ebf10b3c97f01affe051e8a80857db9d241ef","2017-10-17T13:07:55Z","0","0","0","0","0","1","0"
"4a8b572cb73664949d0a0efa3f17d97c70c3ef8c","2017-07-04T18:10:38Z","0","0","0","0","0","0","0"
"8253f61761b8ee4445e31f7919e56c7c96bcdcc9","2017-07-04T18:06:07Z","1","0","0","0","1","1","0"
"2445ee9c96cb103819350c0369a473021dd53706","2017-07-04T14:26:17Z","1","0","0","0","1","1","0"
"3f568249b3867d7cef41437328e0656cc6000807","2017-04-18T08:29:47Z","0","0","0","0","0","0","0"
"b23dc0c1540a7446898eff7ed351252bfaebefae","2017-04-18T08:26:33Z","15","658","626","1284","1","1","0"
"ba45429abb089f5f430dc636d103cdf948b1ccd8","2017-04-18T08:15:20Z","5","83","59","142","1","1","0"
"f56b9726f203865dd2909b44b74e69532c48e84e","2017-04-13T10:31:50Z","2","55","58","113","1","0","0"
"eab438801656d425d3c67639d8ce5669b3262e3e","2017-04-13T07:15:43Z","2","6","6","12","1","0","0"
"2c28a0e56b6081234d4024e051b2ed443698a84e","2017-04-12T12:13:30Z","0","0","0","0","0","0","0"
"ae9ca456b59c0ce1f046a000d11c420d599c92b3","2017-04-12T12:13:21Z","8","380","125","505","1","0","0"
"91107c35a9043daae5e6ae6fce580cc6b7be3cb9","2017-04-07T07:31:21Z","10","12","552","564","1","0","0"
"b67ca6e1ae6c3797f0cde54592fe895f6f093715","2017-03-20T17:43:06Z","1","16","0","16","1","0","0"
"13f87219b2b1466f73ba4121e630d9c58e2c2735","2017-03-20T17:42:18Z","1","2","2","4","1","0","0"
"911f0b93ddbdbb9ccb8c898ce8ef09ce32e01df2","2017-03-18T00:24:31Z","0","0","0","0","0","1","0"
"31b4af5baa06f1621d467b4c60aa5814966cac28","2017-02-27T13:59:32Z","1","1","1","2","1","0","0"
"879404226a1fa550b458f45e922a185f6c3370e5","2017-02-26T15:18:22Z","2","2","61","63","1","0","0"
"4ef117bf1ad1d591ba199a826a4212b95da2c053","2017-02-26T15:14:59Z","5","272","46","318","1","0","0"
"69f67428a200711767db33a035d0af6001e12640","2017-02-26T15:14:13Z","5","266","102","368","1","0","0"
"cc819bc57d982a1be2e889aa38dce0323aa31310","2017-02-26T15:13:45Z","3","29","85","114","1","0","0"
"73b5285067afa63ba4b31691e7a30291f7a786ac","2017-02-26T11:07:13Z","2","237","17","254","1","0","0"
"3ddb9bb3eeb0c7fba29ba81d96d98c5ab94ab6b8","2017-02-19T09:01:35Z","0","0","0","0","0","0","0"
"edaff30101b0de037ab06a7fe29e83036fb5f482","2017-02-19T09:01:07Z","0","0","0","0","0","0","0"
"b18083e65651da6e976ce82257eecd142c1de65c","2017-02-19T08:57:40Z","0","0","0","0","0","0","0"
"20f82f45325bb4c5f6d544b9960e234d5d2b63d9","2017-02-16T11:05:52Z","8","513","0","513","1","1","0"
"2a9ca5993bd7719a00a1997835b0103de21ab888","2017-02-16T11:04:09Z","8","513","0","513","1","0","0"
"ba158e7c30a86b7f2f6b187e7b7f111fa1e5bce1","2017-02-16T11:03:09Z","8","513","0","513","1","0","0"
"ca5f7180873aecd37850ddcf810f6ce8e5608295","2017-02-15T08:03:51Z","0","0","0","0","0","1","0"
"f3f542c6feb64fe8c1e7ec8a538dbe656670064b","2017-02-14T23:59:18Z","0","0","0","0","0","1","0"
"bf55aafb32f8a2043268bb6978f3ffe05189ce8c","2017-02-12T12:52:37Z","1","2","1","3","1","0","0"
"207460010683e51791259a89e8db5ba21b0e5e55","2017-02-09T09:11:16Z","0","0","0","0","0","0","0"
"1053eb127bd9f4077fafa7fa41171c8c42961e0f","2017-02-09T09:09:37Z","0","0","0","0","0","0","0"
"7892cdb98b64f51cde1894955d2c9f6ce4180b9d","2017-02-09T09:08:00Z","0","0","0","0","0","0","0"
"34e9e19aad1581228c1e3c063b24cc1519ce6d80","2017-02-09T09:07:13Z","0","0","0","0","0","0","0"
"b5ccd355f852241842c7e2d4843b4848b26fbf6a","2017-02-08T20:29:43Z","0","0","0","0","0","1","0"
"8a94f6e382a5cfc2c9349f442225c240d4ff5d15","2017-02-08T20:27:40Z","0","0","0","0","0","1","0"
"513f7157d99045a1f75f2f1fcf98eff60e99fee9","2017-02-08T18:19:35Z","0","0","0","0","0","1","0"
"baee2953b9db5dd4a3ad500ceabed4d97458dfc0","2017-02-07T10:45:14Z","1","26","7","33","1","0","0"
"861c8aa00f3e852e55b88d18b18d6308f7c993bb","2017-02-01T10:16:21Z","1","16","2","18","1","1","0"
"ad4ea5ba1fb5b6dcc07602e33313d51d1ed0b42e","2017-01-19T10:50:36Z","3","69","4","73","1","0","0"
"5d121c806a57574a3a15185a84cc89714f40c9a2","2017-01-18T15:23:24Z","12","538","18","556","1","0","0"
"21ed80465d2b922f17ce42b1adeabb92f08bf9ef","2017-01-18T15:22:38Z","12","538","18","556","1","0","0"
"0288b76bdb0d67057c40e6572fed6ecb09a10f05","2017-01-18T15:21:46Z","4","179","1","180","1","0","0"
"e37ad4e022670b817233bab77d6a098675a1ba2a","2016-12-29T13:59:07Z","4","38","2","40","1","0","0"
"03bb97394d11a0660d55141c964166075c01aff4","2016-12-28T19:01:46Z","1","3","3","6","1","0","0"
"b6e9832a0826cc77fbdbe92c02e01cd63ad901f2","2016-12-28T16:35:57Z","9","497","13","510","1","0","0"
"fb35583b105b25629aa81ce4caf79fd44d578619","2016-12-28T11:28:48Z","0","0","0","0","0","1","0"
"647a74c8624f56ffef6bf0bcea0553704063da53","2016-12-09T15:17:50Z","4","9","8","17","1","0","0"
"bcbfed1629ba167adc7f4a88fc3f21fe0d301aed","2016-12-09T15:16:49Z","4","9","8","17","1","0","0"
"2ebd2571b543c70eaf25fd5105ad07fa92cab574","2016-11-28T11:38:49Z","3","56","0","56","1","0","0"
"be9b4cbf24eb1b419b9b4fcbc7ed2c037b9adf1e","2016-11-27T21:21:16Z","0","0","0","0","0","0","0"
"89605e11006418cfd378f641f18153c9a82a66c9","2016-11-18T22:00:51Z","0","0","0","0","0","0","0"
"8090be2613d74fff05b641306e43b3707677f113","2016-11-18T22:00:49Z","3","56","0","56","1","0","0"
"95387a109466c4e6418aaafc337ce9059014be28","2016-11-18T21:40:26Z","0","0","0","0","0","0","0"
"658b63dabcf0df2a9f571284ccd8489ee323685a","2016-11-18T21:14:27Z","0","0","0","0","0","0","0"
"391f1d22542914de5c75544a46698a1ace9e0a67","2016-11-15T17:31:15Z","1","1","1","2","1","0","0"
"d0c6ec633e62c3e8c7a6fb140dbaa8721b6baf58","2016-11-15T17:30:20Z","1","8","0","8","1","0","0"
"346213201e984de321679e589b9917e9990b970b","2016-11-12T17:39:50Z","1","5","0","5","1","0","0"
"fd7cb38785fad77e9c0c0596919bcb311c832521","2016-11-12T17:07:57Z","1","5","0","5","1","0","0"
"e5f9235f59438e9cafdc047ad92f346065110de2","2016-11-08T15:30:41Z","5","168","7","175","1","0","0"
"3b704ab1668dab75bb8bfb404ff6cdc335eb0de0","2016-11-08T15:29:53Z","1","3","3","6","1","0","0"
"c424366d620917f0004befc06cfe6fae743d03cc","2016-11-08T15:23:50Z","1","0","13","13","1","0","0"
"5d698d100b46bf30b7ffcc8562385f73a75e6d63","2016-11-07T17:04:19Z","3","48","25","73","1","0","0"
"e93a50a477adbff31588232ef85a4389b33f5ac9","2016-11-06T22:17:39Z","4","154","3","157","1","0","0"
"3f111b40902de66bc86f1e51e124afc4ef261531","2016-10-31T20:53:57Z","1","4","0","4","1","0","0"
"c6a41dadf3f8ce65a71515329ccdf9ecd8f4aa35","2016-10-30T19:35:40Z","19","733","385","1118","1","0","0"
"659b23ed3482b7a255b62e40353c86388bb8644c","2016-10-30T19:09:46Z","4","37","34","71","1","0","0"
"b7361d7200c5b21c94e8c1c30244f6848cc9be04","2016-10-30T17:30:03Z","9","206","177","383","1","0","0"
"234d1ff9e87f31a62f07ea4a33e0136f9aec78e8","2016-10-29T21:52:38Z","3","89","93","182","1","0","0"
"4723fd58e321b8aef5291f71665b2e4cbe51cfd9","2016-10-28T21:41:36Z","12","422","345","767","1","0","0"
"f87868f76695df6a8bd78cce471891d5e108b737","2016-10-27T15:53:32Z","1","0","2","2","1","0","0"
"5647311f61bb6aa99f1c11d01244552250f2dc94","2016-10-27T15:50:32Z","3","58","9","67","1","0","0"
"879a64ecc3eb43b7e32543dc5382f81d5943209b","2016-10-26T09:58:25Z","2","22","6","28","1","0","0"
"0109feefcb8555bacf14eeeb03c9fe91930ddc96","2016-10-25T20:31:11Z","1","4","6","10","1","0","0"
"d2ee15fd5b8a94d8664caf1108d48e3ef43fef8f","2016-10-25T17:17:12Z","4","32","9","41","1","0","0"
"568fa8fb992a15589cd5e3d976ecbe0f7ee977a1","2016-10-21T12:12:20Z","4","43","70","113","1","0","0"
"083900ce87fb26eb8b4d5acf3a8d0d797d5f0ee0","2016-10-20T15:35:36Z","3","46","7","53","1","0","0"
"72134ddf8882c11080ff484a6327bf5cfcdf04ce","2016-10-20T13:44:28Z","2","4","2","6","1","0","0"
"a2d1b201192f73274abec80d3430d9833ea4c3aa","2016-10-20T13:13:19Z","2","10","6","16","1","0","0"
"b3a75c52dff6e26448607aa0fc60d9e185b21769","2016-10-20T13:05:02Z","3","23","32","55","1","0","0"
"6901d76b5ab5c222b655fe967146f89b0a443f35","2016-10-20T09:25:39Z","1","4","0","4","1","0","0"
"801246460cd8f2611614cc76eb72b9eae57ff0ba","2016-10-19T19:57:00Z","4","191","45","236","1","0","0"
"5874a4abc67d3cc21941eb44192e67e56148aeb4","2016-10-12T10:43:54Z","0","0","0","0","0","0","0"
