"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"235511357accef7a1d3903c19188204881600aef","2018-09-15T23:55:11Z","0","0","0","0","0","1","0"
"bffc55ff8ded703b394841c613e59c634116372f","2018-09-15T22:44:17Z","0","0","0","0","0","0","0"
"f643232edea611eb25fde40441be9c0cf47d67c8","2018-09-15T22:43:16Z","0","0","0","0","0","0","0"
"94a997a897b72a463b83e5fdcf912c6dd7277e01","2018-09-15T22:40:43Z","0","0","0","0","0","0","0"
"e5d214d5916771082ae934d113e8c3bf179955ed","2018-09-15T22:38:09Z","0","0","0","0","0","1","0"
"55e2b020f2b316970b5672b81f4cf5b96d1e7667","2018-08-12T21:53:55Z","0","0","0","0","0","1","0"
"891ded59cac8d045e468c04527f267ec48044b6f","2018-08-12T21:53:55Z","0","0","0","0","0","0","0"
"8dd0b88bab4ed8b4ae79da548ad1e852282bf74b","2018-07-17T01:17:29Z","0","0","0","0","0","0","0"
"8e35bd44e52d82db8aa42685538a7b21827e5576","2018-07-17T01:17:29Z","1","1","1","2","1","0","0"
"f966d8c51a467b5c111ef2d234915cafcdc89a5b","2018-07-17T01:17:29Z","0","0","0","0","0","0","0"
"2dd04d7369c4f16f738a20d4943f599fba052150","2018-07-17T01:17:29Z","0","0","0","0","0","1","0"
"c89f0b07c16d7aead63acf4b8762ec5b8a8abc3a","2018-07-17T01:17:29Z","1","1","1","2","1","0","0"
"1baf5503ebf0b0a765fa6bb36194ff1a79897e9f","2018-07-17T01:17:29Z","0","0","0","0","0","0","0"
"e28d643de741f8a6c1a551dfcde95f11019fb2c9","2018-07-17T01:14:50Z","0","0","0","0","0","0","0"
"36f3c06f725d28410908121a585bacb9d8e602b8","2018-07-17T01:12:01Z","0","0","0","0","0","0","0"
"c119c143ca0912034df0b2e88418bdbc65b213e0","2018-07-17T01:12:01Z","1","1","1","2","1","0","0"
"e54d987753edfca64cb5be6d5895d24cd6aed75a","2018-07-17T01:12:01Z","0","0","0","0","0","0","0"
"6ff100740a3a90da8fb452b69aab8ced8c27949f","2018-07-17T01:12:01Z","0","0","0","0","0","1","0"
"221ff06a2b55ad1a831f412566cf86629b4dbf4b","2018-07-17T01:12:01Z","1","1","1","2","1","0","0"
"bb89cbf43d6c3688a1c56e0a9a80c61b6023eccf","2018-07-17T01:12:01Z","0","0","0","0","0","0","0"
"f7be320fc95dd104d22191482bec471379cd25ce","2018-07-09T09:57:27Z","0","0","0","0","0","0","0"
"1dce006f9a42b71c6d9c5512389df489437d06f9","2018-07-09T09:57:27Z","0","0","0","0","0","1","0"
"1973589ab4001738df1058b02c7705902f66d35c","2018-07-09T09:56:10Z","0","0","0","0","0","0","0"
"8f22ffb542b98865a052a6e6c31c6441614775d0","2018-07-09T09:56:10Z","0","0","0","0","0","1","0"
"0fc026bc4c91af30fd506a720a4511d21f361d03","2018-07-09T01:47:30Z","0","0","0","0","0","0","0"
"09269ddcb4249389ee6657882286c36b651f739d","2018-07-09T01:47:30Z","3","0","10","10","1","0","0"
"2a44c502af43a6b5f9a0d41e21ff2cf5fc1a5089","2018-07-09T01:47:30Z","1","2","2","4","1","0","0"
"ff6cee908852c17318123dd7d9ba6ad418f776a0","2018-07-09T00:27:03Z","0","0","0","0","0","0","0"
"d97398f22f00b008327e33e92e6a6fa98d9a4989","2018-07-09T00:27:03Z","3","4","3","7","1","0","0"
"3c9eab302cb555f5ed890890569ba490b42ae899","2018-07-09T00:27:03Z","0","0","0","0","0","0","0"
"7746f369d2a174a55b671a571b7b6943eaa86375","2018-07-09T00:27:03Z","0","0","0","0","0","0","0"
"9f8e75732ca5cafd9ecaec1bca62f6e1e4e3b0ea","2018-07-09T00:27:03Z","1","42","14","56","1","1","0"
"80b5bc7c2c4e1712c6b1a614390de8a898c62bd7","2018-07-09T00:27:03Z","5","5","5","10","1","0","1"
"dcaa3425708db729d4a9d079e2d76075b70e1e01","2018-07-09T00:27:03Z","0","0","0","0","0","1","0"
"2a17914db4eff958e6671c68387d0258840eabeb","2018-07-09T00:27:03Z","0","0","0","0","0","1","0"
"8311d7b4b7164429cebdf693d40d9f70e6581d09","2018-07-09T00:27:03Z","0","0","0","0","0","1","0"
"c290a708afb7e0da42e8ad444b6cbc37a2e7e5a4","2018-07-09T00:27:03Z","0","0","0","0","0","0","0"
"264bff47311db98d2f14f57178e9c8f0375c872b","2018-07-09T00:27:03Z","1","16","6","22","1","0","0"
"4181cfe74b66f1d8b75bb29d7415ecb58de6a590","2018-07-09T00:27:03Z","0","0","0","0","0","0","0"
"8b8f80734506642146123e2b442102547dcecaca","2018-07-09T00:27:03Z","1","1","1","2","1","0","0"
"265951df6ea6f16582a26237ccbc5b30337c1947","2018-07-09T00:27:03Z","1","4","2","6","1","0","0"
"ddf4767845134107a14f30d75aa607399b45c09d","2018-07-09T00:27:03Z","3","20","23","43","1","0","0"
"5aa0862b789e853a7c0673f86a5ea6d3e40ed329","2018-07-09T00:27:03Z","6","133","75","208","1","0","0"
"9ff3e4fbae63961b5d3e219641adc9f6f480eded","2018-07-09T00:27:03Z","0","0","0","0","0","1","0"
"3ab294220f05c347c660bf34bcdbcc535ac0aff3","2018-07-09T00:27:03Z","0","0","0","0","0","1","0"
"3e971742fd36419ace484bcb34de9acaf4a653ff","2018-07-09T00:27:03Z","1","3","0","3","1","0","0"
