"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"faf42cdd2ee09622796428cbcff36c98a612280e","2018-09-27T08:08:01Z","0","0","0","0","0","1","0"
"bbe0f3466bc2f716a73bd9583d47c390dd7f0f4a","2018-09-23T23:30:42Z","1","1","1","2","1","0","0"
"3eb7972923fdd89e50a2b672624af1579798f816","2018-08-01T00:30:07Z","1","1","1","2","1","0","0"
"0824b9259b27628f9df52cc6eb5a8533469548f3","2018-07-09T00:44:33Z","2","17","1","18","1","0","0"
"3b8520ed07199074e5e7124872b52b0c4f85ff90","2018-06-18T00:42:24Z","3","4","0","4","1","0","0"
"0005ae733efa8770e1669124a9da40b01cb30b70","2018-05-01T06:17:35Z","2","11","6","17","1","0","0"
"0c7715ff99b4d93e2c8a0b7fea69874b794cb4a0","2018-04-18T01:32:26Z","1","6","6","12","1","0","0"
"cf624829616d9f93defe1bcf5f7fd151723fdd5e","2018-04-18T01:29:45Z","1","11","0","11","1","0","0"
"c4a4f8de7b429c8fa423c5e9ebe3e96b9ac4c50d","2018-04-18T01:25:54Z","5","48","9","57","1","0","0"
"2d6182948f65fb2787437864d232de857ada14f0","2018-04-18T01:13:46Z","1","55","3","58","1","1","0"
"8df166ee8d591ebfe30deaf579460b2cd7d2ec24","2018-04-18T00:50:26Z","14","574","24","598","1","0","0"
"20bed5b639db7a74ca970231f643a88c8a55631c","2018-04-17T02:21:19Z","1","32","6","38","1","0","0"
"8fe668577a05ce534869f2f0e0f4a79249720c12","2018-04-17T02:16:05Z","1","2","2","4","1","0","0"
"5cab8569c86b698da99278220f7fab2816d27273","2018-04-17T01:57:41Z","2","7","5","12","1","0","0"
"66c4783ec5327b7fcefb68572462df97e1a3a69c","2018-04-17T01:30:28Z","1","9","0","9","1","0","0"
"56bab14e52d3acfded210ba2fa5e4e76cf975237","2018-04-17T01:29:41Z","1","8","0","8","1","0","0"
"89b56501c5dfff54d987cbf6c5a1f12045282f19","2018-04-17T01:24:41Z","1","2","5","7","1","1","0"
"084e0b1839a7e9c106044a8675e5813783432b4d","2018-04-17T01:19:09Z","2","49","0","49","1","1","0"
"572d4b7fe9e6e1c3b9fa4ff76672fba57acd1cf2","2018-04-17T01:13:05Z","1","7","2","9","1","0","0"
"550722db7feeb4a634b5c419af9e8b22305989e3","2018-04-17T00:52:33Z","7","300","11","311","1","0","0"
"57773e678e5c87e013b28cdf38d9292fb69fca9d","2018-03-21T16:56:51Z","16","58","54","112","1","0","0"
"782c095a3f5bd764b98e69eefcb69a05a2540aa4","2018-03-20T23:31:47Z","1","7","2","9","1","0","0"
"fc001e86b6c9e6a1f5d01b76f3578069474231db","2018-01-08T23:29:29Z","1","5","0","5","1","0","0"
"1d948d88748f7cdb9f9413106ddfc2c8049c8251","2017-11-10T08:17:10Z","2","49","0","49","1","1","0"
"aa973a4068b3ac1da3286d9b44e4710147840972","2017-08-30T16:07:06Z","1","8","0","8","1","0","0"
"c1b18e23d981f3f87c161080f957a16a69e2041e","2017-08-30T15:28:46Z","1","9","0","9","1","0","0"
"70cbb346e74eee8531a06d90521886eeef82efab","2017-07-26T23:50:43Z","14","46","52","98","1","0","0"
"acfc2023685807a265afe10382e2d8341a232ee8","2017-07-14T11:17:57Z","2","21","0","21","1","0","0"
"f17f4e355b9b492caae66ee48030e65d59a96f4e","2017-07-14T10:55:49Z","4","25","4","29","1","1","0"
"c50a9ce6786d46a0158643e150d83d70cf7d7156","2017-05-29T02:55:11Z","1","1","1","2","1","0","0"
