"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"0e37b7451f8ac6982c3c625a5e0723878da714ff","2018-07-23T21:16:16Z","0","0","0","0","0","0","0"
"4b9c01fd25871b340d8e7de3cd8885a37cdf8a30","2018-07-20T16:06:14Z","0","0","0","0","0","0","0"
"74adefe9f577a17d4f88a0083886bfdff592648f","2018-04-26T20:09:39Z","0","0","0","0","0","0","0"
"df2a22c8d1e3200051b18f98733a3dcc1054ca3e","2018-04-26T19:40:07Z","5","38","32","70","1","0","0"
"81614342802b7590ae2417d1b1c5c6dd8438b6c8","2017-12-08T22:51:03Z","0","0","0","0","0","0","0"
"f956d11dfa6ff1b976f4b09ac23a4290bc2532d5","2017-12-08T22:36:41Z","1","21","5","26","1","0","0"
"bc43b2c1ca1f8c824a08c1135ae02bca00a88133","2017-12-07T00:42:29Z","0","0","0","0","0","0","0"
"971180142e8abe9d4650090a56d3b8b79c87c85d","2017-12-05T00:45:49Z","0","0","0","0","0","0","0"
"3c5cd1a1ca7ee7a62f7bc09c8a3ba2314a98088e","2017-12-05T00:35:49Z","1","44","9","53","1","1","0"
"8823c3fb851a09a98973f5f512465a69dc2c019a","2017-12-01T20:50:04Z","0","0","0","0","0","0","0"
"aa5401b225013e789926113b298e0c808b1bf1b3","2017-12-01T20:24:05Z","3","25","5","30","1","0","0"
"834dd1c8247c3bb41b944905abbef8ea9479351b","2017-10-12T20:54:52Z","0","0","0","0","0","0","0"
"7e105edec8a798cf3c630789644b0c4e6ee73da9","2017-10-12T20:40:58Z","2","17","19","36","1","0","0"
"98b06cd2a0144beb780e5d84041ceb8b3e5fb7b8","2017-10-04T00:27:11Z","0","0","0","0","0","0","0"
"58008915187c926ab31f1e9329bdce929c124999","2017-10-04T00:15:36Z","2","25","13","38","1","0","0"
"602985db23e0cb11c4094a8df4cc3d257fddaf93","2017-07-06T21:36:46Z","2","4","4","8","1","0","0"
"f7e80f0fbde6f698d84723039cf1cc14c04129d6","2017-05-03T17:33:42Z","0","0","0","0","0","0","0"
"ae4d03677364289338beedbad93919f88d530942","2017-05-03T17:20:50Z","1","10","0","10","1","0","0"
"c4ca25df254624db378460e524a9098a5950d446","2017-04-18T18:16:41Z","0","0","0","0","0","0","0"
"1823efc9eda236f58d77231fbe784f629097a75a","2017-04-18T17:27:38Z","5","24","23","47","1","0","0"
"346b545603ab50563e523a42fc31561256c5094b","2017-04-06T23:03:50Z","0","0","0","0","0","0","0"
"b4a0c85038a18cc675c1543eb86da7dc43ed0487","2017-04-06T22:59:39Z","1","9","0","9","1","0","0"
"e212f46bd1e64bb792b94b1454722881900da541","2017-03-24T01:21:35Z","0","0","0","0","0","1","0"
"e4e19f4b4e64fc5d7b473087f268b66a2a3da510","2017-02-28T19:29:07Z","0","0","0","0","0","0","0"
"2072a27fe5c66517bb2b62d5ce0b1295f30e5833","2017-02-28T19:24:33Z","0","0","0","0","0","1","0"
"1bea608d4575ec8cfc769450efe1a470b46069e3","2017-02-28T18:55:42Z","3","131","17","148","1","0","0"
"273b5dafd8832d084ced9fd820dbf1c18be1119c","2016-11-23T21:41:04Z","1","8","0","8","1","0","0"
"01f8fe36e73e9a8f0672659f4de9357e901b0cdb","2016-10-26T20:45:43Z","0","0","0","0","0","0","0"
"efbab8dba49bf303a9e9054d6fe611650b5c7d02","2016-10-26T20:34:51Z","0","0","0","0","0","0","0"
"7dcb16ea7a6c818c802a28197a6545c163d571be","2016-10-26T20:25:46Z","2","166","61","227","1","0","0"
