"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"f652851b0b99b8c1713ea5ba722279406b079e48","2018-10-01T11:29:44Z","8","11","11","22","1","0","0"
"611396ada81ce031a44e72537d7a5c9d95491278","2018-09-11T14:19:05Z","8","11","11","22","1","0","0"
"878636ef881b3dde13a5f89949d2cf8ce3de5d6f","2018-09-11T14:16:36Z","0","0","0","0","0","0","0"
"92f803dd9dc44ca7e215be031db7af6a180e99f8","2018-09-06T07:04:16Z","0","0","0","0","0","0","0"
"7835d603b352def0daa157b2ce2111d711ce7a24","2018-09-06T06:37:16Z","0","0","0","0","0","0","0"
"0067dbbf73e4f43e6216f192a72a1418552346bc","2018-09-06T05:07:22Z","0","0","0","0","0","0","0"
"3b325e2b8cea0f8072de1ad58662d4f03fd2b68e","2018-09-05T16:47:07Z","4","16","2","18","1","0","0"
"d03ac79e41406d4e229d790c6485b20b40d9e596","2018-09-05T16:41:58Z","0","0","0","0","0","0","0"
"35cfee1253467be0e094c43fe03d5a52882b8ad7","2018-09-05T16:41:58Z","2","0","2","2","1","0","0"
"8c78f0961736c72aa53a35194cf6a3ea8d90e738","2018-09-05T16:41:58Z","3","9","10","19","1","0","0"
"7bee8d29ac4f3fb8f7c210f8b4c85a0860783a11","2018-09-05T16:41:58Z","4","11","15","26","1","0","0"
"ccb041a21c1fdba679e4b1e1b6ddd6b04f8513b6","2018-09-05T16:41:43Z","3","13","7","20","1","0","0"
"6a8ef2abde1b2b0412c160f71b87ad32d09a486c","2018-09-05T16:41:43Z","4","15","0","15","1","0","0"
"9b3932a77b9c660ad55ede933fe6a3f097023ac1","2018-09-05T16:24:59Z","6","133","53","186","1","0","0"
"4fdb18b88dfc0a94d8e9fa7cf9726c8d3957c390","2018-09-05T15:50:56Z","1","3","3","6","1","0","0"
"50b05e1960904dae4ffaf053fcf2bb2d55b1beaa","2018-09-05T15:44:15Z","2","14","3","17","1","0","0"
"46efeae32c759cc1ce5e626a17da722d30326fe5","2018-09-05T15:44:15Z","2","18","12","30","1","0","0"
"20fe95779b0f4b6546e32d0c7b38aec350dcdf1f","2018-09-05T15:44:15Z","4","23","17","40","1","0","0"
"c5b4f233be41cfbadbeaee8c84e26cb4d9546e91","2018-09-05T15:44:15Z","0","0","0","0","0","0","0"
"9971de5ad593299ea295a7f2ce1abb6b9920f42f","2018-09-05T15:44:15Z","1","1","0","1","1","0","0"
"3da5140e407a4dd8936b22a1ad9ebe639bed2a3f","2018-09-05T15:44:15Z","3","84","28","112","1","0","0"
"1064f799b3d1f0c9914d5ee1fb517d8ce6f8b184","2018-09-05T15:27:39Z","3","69","68","137","1","0","0"
"b6813b74fe453e1805aba6646a0ee0f87347a2ea","2018-09-05T14:36:17Z","1","1","1","2","1","0","0"
"8943303a424026487844e8f067d0a69b20313ab6","2018-09-05T14:36:17Z","3","50","51","101","1","0","0"
"4bafff86578b5f54ceb900836b7713e5dccb7156","2018-09-05T14:36:17Z","1","7","7","14","1","0","0"
"207fd462970c5ba7c941912ebf495e70d14dd66d","2018-09-05T14:36:17Z","1","32","29","61","1","0","0"
"e92dc0e0330d1e81d0f745da6aac52721d45dd6e","2018-09-05T14:36:17Z","0","0","0","0","0","0","0"
"836cc9eb651b30752abbd2c141f2a0a555bf459f","2018-09-05T14:36:17Z","0","0","0","0","0","0","0"
"153216d87406b902ce5453f419510540e960600d","2018-09-05T14:36:17Z","1","0","6","6","1","0","0"
"5d687bccea9bd1bee441d67539f9b832b19ca0c7","2018-09-05T14:36:17Z","0","0","0","0","0","0","0"
"443297597be6ebd6d57f8e3574cfd77c0e904b91","2018-09-05T14:36:17Z","1","12","7","19","1","0","0"
"6cf9f29d70c84e921775fe66eb22a7e7ba6f82a9","2018-09-05T14:30:27Z","8","70","12","82","1","0","0"
"77e0008df6bd1b07b01d7a095df41d34991c7ae8","2018-09-05T04:50:18Z","1","6","10","16","1","0","0"
"f8b9a2e5da3c96672a2f54963b05b54a8eab7241","2018-09-05T04:50:18Z","2","14","0","14","1","0","0"
"a745823adf5d15ee4dd54b77faee0d6d8a47135d","2018-09-05T04:50:06Z","1","0","1","1","1","0","0"
"29b2358be330158414f67d966737ce5c03d48146","2018-09-05T04:50:06Z","8","13","12","25","1","0","0"
"3484a5b59649f6c7c4cdb70b4344bbb277f4459f","2018-09-05T04:50:06Z","2","12","8","20","1","0","0"
"0cfe6250a4552699183426f88400006fd0b28efc","2018-09-05T04:50:06Z","8","56","12","68","1","0","0"
"c27d86aebc5271333e53eec0466dfbdec53b224b","2018-09-04T14:00:37Z","0","0","0","0","0","0","0"
"8bc7021c6733707157fcf13fc0fc96ef58d7afbc","2018-09-04T10:39:28Z","0","0","0","0","0","0","0"
"179d09faa143f317839225ff5857f38358bf736d","2018-08-15T08:11:09Z","0","0","0","0","0","0","0"
"cb83683ac1e337a5d9f0667a713e4ca388b87d21","2018-08-14T13:30:45Z","0","0","0","0","0","0","0"
"ee4d6dd998872d89b411500105e867de3a713587","2018-08-09T08:56:50Z","2","8","9","17","1","0","0"
"1a88895fca16cc1582f43a864ba58f850cfc75c3","2018-08-07T16:01:28Z","0","0","0","0","0","0","0"
"d9f47473aa416c4ad8e71e39bb736430bc08c9cd","2018-08-07T16:01:28Z","0","0","0","0","0","0","0"
