"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"ffeaeaf8a0fc2ff247056eb731cb0500df7c2dc4","2017-09-08T01:56:59Z","0","0","0","0","0","0","0"
"fd2b30b1e63f76935d3b14b57ccd3a2d12c8b969","2017-09-06T23:58:55Z","0","0","0","0","0","0","0"
"6bced9d39939cbf3dcdbb96ce581708f11d1bfd2","2017-08-19T07:22:50Z","3","26","13","39","1","1","0"
"e1228f0b007112e65350668a97052fe6cffda401","2017-08-03T02:09:05Z","0","0","0","0","0","1","0"
"c446d6e6ee3b5ee5d8df23c85460a19ab6935261","2017-08-03T01:46:19Z","3","26","12","38","1","1","0"
"a526e66133520ab16dcc7622c5f437fff5ac14f7","2017-08-02T04:34:06Z","1","1","15","16","1","1","0"
"81aee5a9f176665db6f6e4979c780a81b12e33c5","2017-07-29T04:08:28Z","0","0","0","0","0","1","0"
"641a06e7e3e281ced7a4b61c3d61c1d48b40caad","2017-07-29T03:58:18Z","3","44","26","70","1","0","0"
"eedf9d5c809fa492a4c6408a7591d2865da30ef9","2017-07-29T03:57:17Z","3","24","20","44","1","0","0"
"5d5b1053700b302d2bb8dedd949e6b4c4340274e","2017-07-29T03:52:49Z","3","36","22","58","1","0","0"
"5a3ed7c0ef58f5aa271736fd6bbc004c54a1f2e3","2017-07-15T10:08:13Z","3","15","2","17","1","1","0"
"e7570a635dca498acdf2adc01e660f7b58191e38","2017-07-02T07:27:21Z","0","0","0","0","0","0","0"
"2eac0c38a32b8111efc3061c8937982714b4c285","2017-06-28T16:28:32Z","0","0","0","0","0","0","0"
"229e96a6882a9f3ad3b545b1a0f4e4db6cdf0620","2017-05-27T22:33:56Z","0","0","0","0","0","1","0"
"f5416e50cfd2bfed4ebdbca161444f4c0d8be0b5","2017-05-27T22:19:43Z","3","192","20","212","1","0","0"
"48a2997e48d463f03c1feb60ea153d851a4eb027","2017-05-27T22:06:04Z","3","192","20","212","1","0","0"
"6fcba7419d1f1ea9bde1085cc8325beaa53128d0","2017-05-17T04:49:00Z","1","1","1","2","1","0","0"
"0b12beacd398aca8dd84b671b37e6126cbc2f22a","2017-05-17T04:47:00Z","2","44","1","45","1","1","0"
"295d2b470f5dc1a846ae695c27d8aca3426a5ff9","2017-05-13T23:33:06Z","0","0","0","0","0","1","0"
"8b6730aca6c5f7fa75b13569c06be4acf2c37dd5","2017-04-19T04:32:37Z","0","0","0","0","0","1","0"
"976012d0dc3752a144061e8e41ff29819e622c09","2017-04-19T04:31:44Z","1","12","8","20","1","0","0"
"471382fd1a46115a25b872599b66866bd1172bd5","2017-04-11T08:54:44Z","1","12","8","20","1","0","0"
"c3e30f9b5a2f5c80365cb521efc53a555ce3733d","2017-04-08T19:14:39Z","0","0","0","0","0","1","0"
"cad6bdf613a8e488710fa89faba3f8880ecaec80","2017-04-08T18:58:12Z","0","0","0","0","0","1","0"
"6cb4892e40937b1d1506f556ac04f1aab31fcc68","2017-04-08T18:03:10Z","0","0","0","0","0","1","0"
"318121403b286e8c9e656cdaecd9ee18f365c575","2017-04-08T17:17:22Z","0","0","0","0","0","1","0"
"f60629a2c2c98dff658bbbc812d7bd32aca8ab38","2017-04-08T16:15:57Z","0","0","0","0","0","1","0"
"bf131b074422e1d1c9cb0d203a4af136693158c7","2017-04-08T16:15:05Z","1","17","3","20","1","0","0"
"e9fd329a71e2d8050f2871ca2dc896d505a7d4c1","2017-04-08T16:13:19Z","1","17","3","20","1","1","0"
"b163bde94b36ea94ee7c6c0d49236d8a40880548","2017-04-04T06:42:37Z","0","0","0","0","0","0","0"
"3f202de5238d2dfb9d112f14ec92c502b864be08","2017-03-30T08:46:29Z","0","0","0","0","0","1","0"
"2af521bcc5643041986772c60ea2e32e4762dc6d","2017-03-27T05:11:16Z","0","0","0","0","0","0","0"
"0edb6f265dd1dfafc5a98994354a9b61d3bb2b22","2017-03-23T15:12:13Z","3","16","5","21","1","0","0"
"19f11dfc4ba1d73d053944075bd68a870d923263","2017-03-22T22:12:03Z","3","15","1","16","1","0","0"
"240b2b0ff6d075cdb94474343d9f21758c6fab20","2017-03-22T19:52:05Z","3","65","11","76","1","0","0"
"f7873005435677f5719941cca15b5675f28a60b6","2017-03-22T16:30:59Z","1","18","10","28","1","0","0"
"64ff7b592985e544ad3e7b3b3aa1366415511ed2","2017-03-22T15:00:14Z","3","50","1","51","1","0","0"
"426e65c3c55765a800b5b09cf2f126692be71c2f","2017-03-20T21:39:33Z","0","0","0","0","0","0","0"
"5757c151922ee148fdcc6afa33fbbe31e7f8a840","2017-03-20T21:02:25Z","2","49","13","62","1","0","0"
"af4cb7b24d79ec063d72c9430d09dc5fab7e3fd4","2016-12-08T20:56:16Z","1","17","3","20","1","0","0"
"cbea78e0b91fa17dbdb044c6b516baee89155d9f","2016-12-08T20:55:45Z","0","0","0","0","0","1","0"
