"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"41314801d19897f9c2cd1ba84b9b85c639b0f06a","2017-07-11T07:47:52Z","2","3","5","8","1","0","0"
"ce6571e61a5ca75dc69ad2bf052f467a5eb63f43","2017-07-05T02:35:37Z","0","0","0","0","0","0","0"
"c121e2680c1ddbb57ce08d3446af01d7f67407b9","2017-07-04T09:24:30Z","0","0","0","0","0","0","0"
"40467a0a301232da95cf468c4902b959bcec8a31","2017-07-04T09:23:09Z","0","0","0","0","0","0","0"
"cc331b820431f7814d85e27413b7dd1c61918b96","2017-07-04T09:18:54Z","1","5","0","5","1","0","0"
"c1a372c9808a14388db4fd4038a051dd18fd51cf","2017-07-04T09:12:54Z","26","282","293","575","1","0","0"
"e538cf0cda3d68196411bc770849a40c3099c065","2017-07-04T06:50:36Z","14","5","1475","1480","1","0","0"
"6fe82549a642dd99afb14f712ccefdd268764eee","2017-07-04T06:31:13Z","6","41","161","202","1","0","0"
"45901aa143b97c0e562fa758a54c5d6f0900992d","2017-07-03T07:09:11Z","2","20","17","37","1","0","0"
"c2e91bbf44b71a72858a1cb814e5a3323e31433f","2017-07-03T06:32:55Z","0","0","0","0","0","0","0"
"fc27335bfba9cb7a211b7facf9382bb1fe90a1c2","2017-07-03T06:29:48Z","5","20","354","374","1","1","0"
"780169edf1cbc43c5184b57a2505417f6245f29f","2017-07-03T06:19:44Z","1","1","1","2","1","0","0"
"c14ecd5beba8bd934c8499f68b7dfb941ed1589b","2017-06-28T06:28:39Z","2","0","177","177","1","0","0"
"5e12f81573c821c009010e76c0acd54a20786215","2017-06-28T02:07:09Z","0","0","0","0","0","0","0"
"4d656ce0e4517569a7045a6dce8f872fc89bb1a7","2017-06-27T08:53:45Z","1","0","1","1","1","0","0"
"3857afcd765d4a11781dc1b6fede525b21b8e2f7","2017-06-27T08:26:22Z","1","3","3","6","1","0","0"
"6e427cd3e9193f8bd0e05332d3ce44d6fc972d24","2017-06-27T08:08:21Z","58","6436","8186","14622","1","0","0"
"d209e5c8e1eff189fe25e83911fab20e66a23164","2017-06-27T05:33:43Z","65","5542","7116","12658","1","0","0"
"7f9255739f0cf1e307c8b91dab46a7c69cea4de4","2017-06-27T03:13:44Z","21","4731","8401","13132","1","0","0"
"056337ec3eb198390f291d59e58e02ad3f8629b5","2017-06-26T08:26:07Z","20","4815","9027","13842","1","0","0"
"db75004b90672c58a76867d21e79cad905e723da","2017-06-26T05:55:33Z","2","241","210","451","1","0","0"
"4237b678ef00b78d14937c2cc2509871fa83cc41","2017-06-26T05:47:09Z","20","1827","2252","4079","1","0","0"
"d8b13ba03b5a4bc56881a758c885f115e8f21eaa","2017-06-26T03:58:00Z","45","2871","3412","6283","1","0","0"
"bdcfdfd2e931bff2acbe62051aa8d7f78b45c4ab","2017-06-26T03:34:30Z","1","70","90","160","1","0","0"
"b0355a3716a697ed949817db5ae41ae128f5db21","2017-04-14T06:20:20Z","0","0","0","0","0","0","0"
"44a48dfc2cf3e351f5a19ef2852e0e87d56acd04","2017-04-14T06:19:05Z","0","0","0","0","0","0","0"
"7a4a58ee68bf223d5f71897c6838f0ca954b649c","2017-04-14T06:16:48Z","0","0","0","0","0","0","0"
"2613d64a17983ba53af7803d422da8279b67c515","2017-04-14T06:12:03Z","0","0","0","0","0","0","0"
"43b0e1eec2e913ab0e63dc8c101d68db611032dd","2017-04-14T06:09:06Z","0","0","0","0","0","0","0"
"2d65316f99bcda53a8d21b3eb36949f262d3e904","2017-04-14T06:00:52Z","0","0","0","0","0","0","0"
"83288af0e876dc55cb50baea1397def725db535e","2017-03-16T13:07:08Z","0","0","0","0","0","0","0"
"2dcca08239711cda539620dd54edb77b150b8b9b","2017-03-16T13:06:02Z","0","0","0","0","0","0","0"
"0746d9d216fc4ab94b0ce97cc2f290d555077e21","2017-03-16T12:41:45Z","0","0","0","0","0","0","0"
"588b3bd546571e0c50b00ebbd6ecedd2afd8d7c3","2017-03-16T12:40:08Z","0","0","0","0","0","0","0"
"34aedb4018d8e46a935f28ea90ef908ed11efea9","2017-03-03T05:30:22Z","0","0","0","0","0","1","0"
"f9c42cef1cf83bfa292de3c5473aa72ac801cc30","2017-02-10T05:56:53Z","1","4","2","6","1","0","0"
"ed8fc093cedac6037a29d3d070e09840439ca415","2017-02-08T11:12:01Z","0","0","0","0","0","0","0"
"65ebd506fbe78ac7d68b077cc4f889b913e09c81","2017-01-06T00:52:07Z","0","0","0","0","0","1","0"
"e92bda27865b58293447204cd229535297f86dc5","2016-12-28T06:13:42Z","1","19","20","39","1","0","0"
"80be8d8aa31c80d79f6369957763baef3a545bab","2016-12-27T06:54:00Z","232","10259","10340","20599","1","0","0"
"009d53a03a423d7ec9299ed5928c32ccce835552","2016-12-18T02:07:29Z","0","0","0","0","0","0","0"
"3064e73b111f3d9da8de92c2399b39561d2b16bd","2016-12-12T16:25:50Z","0","0","0","0","0","0","0"
"04ad75fed2115bdb997280e90e3b523b4e424c1a","2016-12-10T04:10:02Z","0","0","0","0","0","1","0"
"6318487c936bcc6a23b0c1bc6591abe8e977e9c4","2016-11-28T12:03:36Z","232","920","930","1850","1","0","0"
"780f6be5fac816b4fe38014ce69233afe106605c","2016-11-26T04:12:01Z","1","3","0","3","1","1","0"
"75dfac35b9c1a9b822d992e6d9648ce864f52226","2016-11-26T03:54:20Z","1","1","1","2","1","0","0"
"96a710ef450984abd33bc21e4e1deddeffb01bd7","2016-11-22T04:40:36Z","0","0","0","0","0","1","0"
"3399c032222b358a3c2632f47e7e29b01d8dda38","2016-11-22T04:20:28Z","1","0","1","1","1","0","0"
"de7f7064ed65a10fbb17eabc4b15860450065d48","2016-11-20T14:37:24Z","2","2","1","3","1","0","0"
"66d59d61a3fd5db2692550fef1abb93ac13d0fc8","2016-11-20T14:36:09Z","79","562","1409","1971","1","1","0"
"9b53b148b29d4d68f185ef1c07361e2d1193758f","2016-11-20T05:31:57Z","1","1","1","2","1","0","0"
"39b5c3e942c42daf4a268bfda8f35ea0db83c088","2016-11-19T17:45:21Z","4","109","647","756","1","1","0"
"55d4b86e613cb11d747e59d5c2ada82ea6ceff52","2016-11-16T15:34:32Z","0","0","0","0","0","0","0"
"d477468f065eaa50315ce1a3fa6a4dc8cdc91230","2016-11-16T15:25:41Z","1","4","0","4","1","0","0"
"21b3a623b02d1654d4c5ebb78959aae836add9c0","2016-11-13T13:38:37Z","6","294","18","312","1","1","0"
"207b16045a5a9495936d484a6f5c04a469436838","2016-11-09T01:17:09Z","0","0","0","0","0","1","0"
"b241315a92e9d49f36bc04381d957b33ae834d1e","2016-11-08T11:29:12Z","1","9","0","9","1","0","0"
"9c80a57d73e11ba7331d15b68d9f706ce9bd1971","2016-11-06T13:51:02Z","0","0","0","0","0","0","0"
"331fdd3ba5e96247d405133873850b112b81bb9a","2016-11-05T14:39:03Z","15","1688","717","2405","1","0","0"
"323701186962a2fc60ea2613582e8cfcb8c9dcc5","2016-11-04T10:53:23Z","0","0","0","0","0","0","0"
"7563e95fba8eb5d00cac47bc3407d7d096085eeb","2016-11-03T17:09:20Z","9","146","327","473","1","0","0"
"3d88348d9c8df5d7eabed761ae8f1a1c53a258bc","2016-11-03T14:02:17Z","2","9","13","22","1","0","0"
"e045c67f00fc2970ff76693d6343e0f469ec1c9a","2016-11-02T12:10:32Z","1","0","3","3","1","0","0"
"60442f2e2b20cef68e60d0362de1b6a078d67849","2016-11-02T10:49:37Z","3","2","12","14","1","0","0"
"0dfd12b03acac29b1d0596be3996f262b318c6f2","2016-11-02T10:39:51Z","8","30","244","274","1","1","0"
"50812dd0ecfd4822ce44636d86776cdc7ea6b5ce","2016-11-02T08:52:25Z","3","64","58","122","1","0","0"
"4d86425abe1766a3ef9aad6c1a60db5a735f340b","2016-11-02T07:19:20Z","3","12","4","16","1","0","0"
"e1d12224edad2e3a475aed9c511ae6e9ef79e15a","2016-11-02T06:27:59Z","2","24","35","59","1","0","0"
"e40762447261ce8765babdeda028c67d827e4d58","2016-11-02T03:53:25Z","3","28","6","34","1","0","0"
"10bff8b3b7c343f0cc9a5c5533256ad2adc5a259","2016-11-02T03:17:58Z","1","37","13","50","1","0","0"
"35cda8b0fd7cbb7b6c31890903ba59848d2f437a","2016-11-02T01:56:48Z","0","0","0","0","0","0","0"
"5831dbd22f65c5f08b68ca33d7e4d33800226f27","2016-11-01T14:46:31Z","0","0","0","0","0","0","0"
"1bc875eab796e9e010cb9c1c3be834a3e179efbe","2016-11-01T14:36:28Z","12","2673","87","2760","1","0","0"
"6ae670b9c5c9766f9fa3a5d2100738921da5f6e2","2016-11-01T11:40:07Z","21","1247","628","1875","1","0","0"
"ab12f8c9452d09df4359b2f2a74b378e74011b01","2016-11-01T10:46:12Z","54","720","2438","3158","1","0","0"
"adee550a77c35b584bba48dbb23bd4174640ff2f","2016-11-01T06:23:31Z","6","157","902","1059","1","0","0"
"a9efa957fa6623f59c061fa93e81f3639a47b985","2016-11-01T06:03:42Z","13","556","914","1470","1","0","0"
"0551e5fc841ad040ddbb918ed613638541eb2cdf","2016-11-01T03:54:29Z","9","893","112","1005","1","0","0"
"e3a086789e86b616e281268afac33de1aa9f6057","2016-10-31T16:02:48Z","0","0","0","0","0","0","0"
