"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"8442a7f9c0cf5ec78db869e015a1fc2ec17d95f6","2018-09-24T22:00:51Z","11","119","121","240","1","1","0"
"564d686410f4115beeea7c7a6918b2431d59a0fd","2018-09-24T21:39:34Z","0","0","0","0","0","1","0"
"b8791ded33dd7bdc8ed69c9bbdb8bb3ba6519409","2018-09-24T21:24:40Z","11","119","121","240","1","1","0"
"13b5fb3fc19f0a36513ea6852f47513dc90e4c39","2018-09-22T21:21:49Z","2","3","3","6","1","1","0"
"4919bba0a143d015006f8b4d6696dafac6223764","2018-09-22T20:58:58Z","2","3","3","6","1","1","0"
"83216d86d22a2e3c0df5cc6d117877a75a1ddac3","2018-09-11T19:28:53Z","2","270","436","706","1","1","1"
"3ef792c390f4fb2cffb1124999227884bbd6b108","2018-09-11T18:58:50Z","2","270","436","706","1","1","1"
"51e3c4f04024671fe7e84c7093b5960a01e10431","2018-09-11T03:55:52Z","0","0","0","0","0","1","0"
"b7e5af1a8bb4f96e53650decc242bc10a7122ebd","2018-09-11T01:48:04Z","0","0","0","0","0","1","0"
"c798cc91933f6eb7c97910e49be0075efe3daf84","2018-09-11T01:32:16Z","1","2","2","4","1","0","0"
"e2fdd3234303f08f408edeabc8e25c4431954276","2018-09-11T01:31:56Z","12","81","77","158","1","1","0"
"57c6ac8e5ce67d2a6a963ff7107c83d680948ac4","2018-09-10T21:31:28Z","2","40","2","42","1","0","0"
"c17c16c89c69bf280146888bbca5131f06857703","2018-09-10T21:26:24Z","12","81","77","158","1","1","0"
"2b95b9673d0b2482f5d2608effd2011ae565d86c","2018-09-10T21:24:51Z","7","202","32","234","1","1","0"
"1afc43dc46ef38e5581898fd8f99a00cb81bbe5f","2018-09-10T21:22:21Z","1","2","2","4","1","0","0"
"8e384330d64b8ac4de4c718740839748a4c8ef01","2018-09-10T21:11:41Z","2","40","2","42","1","0","0"
"72405e79025fcf5fb0902e62330f54d53b43637f","2018-09-10T21:04:06Z","7","202","32","234","1","1","0"
"d4994ae62c8c8a6eb0a6fb5ddb3fa537fd20f08f","2018-09-10T20:02:34Z","0","0","0","0","0","1","0"
"e69143777e855eddfeab16c5c3b5f2461380bb81","2018-09-10T19:42:45Z","2","4","2","6","1","0","0"
"bebdb4b4e35e1cedd4408a6bfe1a155f10e75e60","2018-09-10T19:35:45Z","0","0","0","0","0","1","0"
"be4792d8a8c76aebd0f90858a1ea426ed31fd36c","2018-09-09T06:40:22Z","4","18","37","55","1","1","1"
"e32dca326a95894e3d6d8c4fcdf68590a4177eba","2018-09-08T23:44:18Z","2","4","2","6","1","0","0"
"6a8473dccb3d307fe82fd644ac47c59b29d03b65","2018-09-08T16:21:21Z","0","0","0","0","0","0","0"
"af10cf33eeeb7b3d5f3408128fde50bd97abf7dd","2018-09-08T11:59:48Z","0","0","0","0","0","0","0"
"421d9f9ff80915e4a37cd640fc1e27cf6dc841fd","2018-09-07T19:25:06Z","4","18","37","55","1","1","1"
"bbb4533665563ff694c31f416fa6bce3f89ccfb8","2018-09-07T17:31:21Z","5","180","25","205","1","0","0"
"31f940d5d1d8818e15fc5bfaec6056f396086b39","2018-09-07T16:34:04Z","5","180","25","205","1","0","0"
"93b4e1d34c8342afab4019737c6beef0bf698905","2018-09-07T16:31:58Z","1","168","32","200","1","0","0"
"bd4aa5dd134031a727c13a7215b470e628345655","2018-09-07T16:11:42Z","1","168","32","200","1","0","0"
"911036fb2573f21b11e8a0454733686606ba55cb","2018-09-07T14:10:08Z","2","55","9","64","1","0","0"
