"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"8dfddef6f9f5d00fba591a2fbe8837ccebea49a7","2018-09-26T05:30:46Z","0","0","0","0","0","0","0"
"73edf4de7b751ecc103e9fad3c6d71c149c9118e","2018-09-12T11:52:11Z","0","0","0","0","0","1","0"
"cfa58a5661184e868091ba9640bc7f1bc7148446","2018-09-12T11:17:16Z","0","0","0","0","0","1","0"
"905bff3d59e0dfc1ce99ac03ba252e9967f11854","2018-09-12T10:04:00Z","0","0","0","0","0","1","0"
"eadcd33e8472cf05c818a62297ea4a89012edd26","2018-09-11T20:30:12Z","0","0","0","0","0","0","1"
"76fe89dd1ffadccc90ab558ceb172fd3f734666b","2018-09-11T19:23:24Z","0","0","0","0","0","0","1"
"3f487c5c283b5d2f022b608b7a535a7f0b101618","2018-09-11T19:20:47Z","0","0","0","0","0","0","0"
"c35a46ec457cf46b399358918efde45229998b20","2018-09-11T19:18:18Z","0","0","0","0","0","0","0"
"e3eb9331823b0f090d1f93032d4f0726d12a764c","2018-09-06T20:54:26Z","0","0","0","0","0","0","0"
"dacb0e5c721a7476b767261433fb96e7a7b6f088","2018-09-06T05:16:05Z","0","0","0","0","0","0","0"
"23b24491c3e2ad5721a2813ec08f80985eca5e64","2018-09-06T02:06:18Z","0","0","0","0","0","0","0"
"7ab0cf123d1955ed2b41c6cf9ffbde17d6effbdd","2018-09-02T02:44:37Z","0","0","0","0","0","0","0"
"8f2a4c7231c51dd792e5455c3d0932df3c6107c7","2018-08-29T17:13:14Z","0","0","0","0","0","0","0"
"ce531545557e8da782d0640a8749199edc8dcf5f","2018-08-29T17:10:23Z","1","2","0","2","1","0","0"
"c0188ab95a084f131d47274c4b0369b35f82e8c8","2018-08-29T15:52:12Z","1","2","0","2","1","0","0"
"ebbd91f87dfb088fb69dfbeb300753bf7d19a194","2018-07-21T14:43:34Z","1","2","2","4","1","0","0"
"4b0725dfc23540c8fb1e5c9000fa4ed13b7dfc4e","2018-07-10T02:53:52Z","0","0","0","0","0","0","0"
"350d35fb24aae039fd720b4cae23cd44613bdf58","2018-07-10T02:53:52Z","0","0","0","0","0","0","0"
"8ee3a73dd1fbedaa3cd9fd9478b2fbd14f83258d","2018-07-10T02:53:52Z","1","2","2","4","1","0","0"
"b6e4598e7c35dba433a5309c3c633485585dc692","2018-07-03T04:21:43Z","0","0","0","0","0","0","0"
"bd2ad99402fb98b96d24b839bef757ff2429daa5","2018-07-03T04:19:05Z","0","0","0","0","0","0","0"
"d26c1199ab728aea604bfa267e9560022f8137f9","2018-07-03T02:39:29Z","0","0","0","0","0","0","0"
"1ea7c1366ab7fcf62d5b447d84943fa654848973","2018-07-03T02:19:17Z","0","0","0","0","0","0","0"
"b2263fe35ee34bf5de080cdfe9908a9f9c228f80","2018-07-03T01:43:30Z","0","0","0","0","0","0","0"
"bd07907a4cdef69522ffcf4b4e0217f766e8029b","2018-07-03T01:43:30Z","0","0","0","0","0","0","0"
