"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"9eb4fc658d6fef30ed23260ff10b9ec2ed1fbb70","2018-09-26T18:53:23Z","1","5","2","7","1","1","0"
"0551a5c4c58f12977a6e60de17fb5e19ba171f8d","2018-09-21T21:18:07Z","10","775","75","850","1","1","0"
"e50f1a5d8759eef45725094d8a0102d9b0e00b3d","2018-09-20T14:28:03Z","0","0","0","0","0","0","0"
"b1ebcda201afe72b5deb746bd4dde702c5246498","2018-09-18T20:44:32Z","0","0","0","0","0","0","0"
"f84384fda86f5f608095d625206cfa096a850e04","2018-09-13T16:17:27Z","9","553","44","597","1","0","1"
"8b47562a7231bea8ba0e28dbdd3e047ab99f79a5","2018-09-11T23:59:21Z","1","1","1","2","1","0","0"
"c268d600055c29381cb77812d74169a0982ed4bc","2018-09-06T14:16:33Z","0","0","0","0","0","0","0"
"a990e2d81a0a074a40c0c8a7b6269930b20c2fee","2018-09-06T14:16:07Z","0","0","0","0","0","0","0"
"056cf5df44b3cb6797cffe3da8e7c1efe5212bc5","2018-09-06T14:14:25Z","1","1","1","2","1","0","0"
"82d4161f9340d3fcb6e0ac4b6dd2f9fc502727e9","2018-09-06T13:18:17Z","1","178","85","263","1","0","0"
"c9e026841a6c615f5ad54687c9e64b6d446463c8","2018-09-06T12:49:46Z","12","188","164","352","1","0","0"
"2712b45c83096cf8cad06c11b698a2b6ea94b265","2018-09-05T21:56:01Z","3","138","0","138","1","1","0"
"18a956b69155825a144134ab54b128e3f632e0f7","2018-09-05T21:52:02Z","0","0","0","0","0","0","0"
"e87ae0b8b4cd5e674b8417a9140abcec14cee71f","2018-09-05T18:57:05Z","1","12","2","14","1","0","0"
"5145c36cc713edfaf64d93ac2672d2fa5ac73f1a","2018-08-29T14:20:48Z","2","13","30","43","1","0","0"
"9435d73e9f6af0369b285fbdc27522dae877b966","2018-08-27T15:36:33Z","0","0","0","0","0","0","0"
"6f751102adfdc84209b6e8d6ae09b692bc2b79ed","2018-08-25T01:40:49Z","5","158","17","175","1","1","0"
"4feadd25208ca9f91ff2d0a086e59218f83e4cfb","2018-08-24T01:46:31Z","0","0","0","0","0","0","0"
"81a6407cafee6602402b1ca78b61b87508a0d1e6","2018-08-24T00:59:08Z","4","56","3","59","1","0","0"
"18d5cbd83d3535716753c894326ac2a71efe0657","2018-08-23T15:14:39Z","4","51","24","75","1","1","0"
"05c23ec5dfc8d6c987481dcf6be3a6165a5061be","2018-08-22T23:46:11Z","0","0","0","0","0","0","0"
"c493b7a7d48bef69ffd7eb4ea52eccddcd6377fe","2018-08-22T23:44:12Z","1","6","7","13","1","0","0"
"c09688884a3efc301a0adde7ad76e9b7f37ceb8d","2018-08-08T18:40:57Z","0","0","0","0","0","0","0"
"460fc5d9542a32d86d78fb6cfb2ce8b877f5227f","2018-08-08T17:36:20Z","1","2","2","4","1","0","0"
"5c51480007339c5ae25dfd4fd19e8afc112cb5b8","2018-08-07T16:17:12Z","18","722","93","815","1","1","0"
"2c5e188315310944aa50cc66bb5080f27995b6cb","2018-08-06T20:58:34Z","0","0","0","0","0","0","0"
"a739b62aaacb631edeae31a58c2a89999c2d986f","2018-08-02T19:15:29Z","3","19","4","23","1","0","0"
"7a14d0b92ca1130f743be1437aed85c4ead9df3d","2018-08-02T00:23:38Z","16","1014","201","1215","1","0","0"
"23e822da74d0a1f2038498324b518a582ab6596c","2018-08-01T14:03:17Z","5","8","5","13","1","0","0"
"4b7663d9b06caddd147d3a9b06fb3395f700213f","2018-07-30T23:22:58Z","1","1","1","2","1","0","0"
"f17263455974693586f9fdc361dc280ce4fa4ba4","2018-07-30T02:25:20Z","5","265","17","282","1","0","0"
"0f521f07fb428b9f6f9efb98b6dbde3b21f48b0f","2018-07-29T21:36:19Z","15","449","488","937","1","0","0"
"8d87a2b5ed571e644025e690830934a4594ca892","2018-07-28T23:54:08Z","103","803","754","1557","1","1","0"
"c02578ec7becdff1a617b8e4f10d9db6d0e38081","2018-07-28T23:50:51Z","0","0","0","0","0","0","1"
"86b16432858c9561e41dcc14e9b9a204f3db42f0","2018-07-28T23:30:20Z","1","50","12","62","1","0","0"
"d46fcb1c8d8245de6ea76a89beac13d63f19ab76","2018-07-28T22:39:45Z","1","0","0","0","1","0","0"
"e2ebb624fa1b5949f3f67630b6d0ba96574cda30","2018-07-28T22:38:50Z","3","137","0","137","1","0","0"
"b55e2e0e11494c377b1fac3798f9ac73c129f58d","2018-07-27T04:05:02Z","11","12","21","33","1","0","0"
"59995279870ef807d8e6f824fd114ca5e5f5a41d","2018-07-26T21:24:05Z","0","0","0","0","0","0","0"
"64cf8ffea7dea07c82f7014e6b76d2a0f59d3693","2018-06-28T01:01:25Z","0","0","0","0","0","0","0"
"ed916a0ea64beb7f28d18d2b1786e33aacbb1975","2018-06-27T22:42:04Z","36","4614","466","5080","1","1","0"
"8cdd3593571fb20d3ca32eacd089b5f9d2e834cc","2018-06-19T21:06:09Z","1","9","11","20","1","0","0"
"4cbc32a98b88fd6d18d6263151eac23d54e65d54","2018-06-19T19:51:31Z","2","24","3","27","1","0","0"
"bcfecc8e7c93195e8bc39bc77a0b0b09e14de1e3","2018-06-18T16:10:01Z","4","2","52","54","1","0","0"
"c338f41921099f55c0cd8a45399ec7e2ec28ba50","2018-06-15T17:54:21Z","1","94","72","166","1","0","0"
"a5d219e95e8015f1bf42322868d1606cbf5c23af","2018-06-14T19:30:49Z","3","23","1","24","1","1","0"
"f8ad23edb440fc2029d9ebcfd2fc430b3e4ea411","2018-06-05T15:05:55Z","0","0","0","0","0","0","0"
"cfa2bfae32a6cd4871f0dc1e3817474c60b59d08","2018-04-18T20:07:37Z","0","0","0","0","0","0","0"
"af18fb0792f8f36b4091c32ecac9af53edf6f872","2018-04-18T00:37:30Z","84","591","157","748","1","1","0"
"91ecb8b198eb6281d92fc562abc1f560a3722a04","2018-04-17T19:21:16Z","4","138","62","200","1","1","0"
"c096392f6de2b05fec86995f15abf183d1456669","2018-04-08T04:12:21Z","0","0","0","0","0","0","0"
"16e5513159de2777f9ef3c96f958ffd9990a7197","2018-04-08T03:59:28Z","7","36","60","96","1","1","1"
