"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"a2e3e2f5b52acbc21be92000692edd64ec6ec159","2018-10-01T12:38:44Z","0","0","0","0","0","0","0"
"2af2edf199111cc1b87c420a8173a745bfea5054","2018-09-28T21:20:03Z","2","164","33","197","1","0","0"
"f0c4b5989509edf901d055b7eed4b770afeabbf0","2018-09-27T18:31:57Z","1","18","9","27","1","0","0"
"90a5f335936465b81060d9669ba8891587f114f4","2018-09-27T18:24:47Z","1","3","14","17","1","0","0"
"9ed73e535715330a7c1e7a101ab5bd1912ffe717","2018-09-25T19:36:30Z","2","89","0","89","1","0","0"
"e245ef804393ca06657eacf6cd1382665f95b688","2018-09-25T02:21:01Z","1","1","1","2","1","0","0"
"c361032d376230c1cc2dbc27123606ea77f85ce6","2018-09-25T00:16:49Z","1","8","5","13","1","0","0"
"cd937e3035492e2c39b8f8bced178ce4d05e07c3","2018-09-22T03:02:30Z","4","42","1","43","1","0","0"
"9a651a1c9bc43f701cfe847d69baaaaf59af2261","2018-09-21T22:32:18Z","1","3","1","4","1","0","0"
"cdf1a1789716b5704e1b558672199de62971cb1b","2018-09-21T20:28:40Z","2","6","2","8","1","0","0"
"16fbc7e560001ecb845e6b58022dcfae4ab2fec1","2018-09-21T01:32:16Z","16","121","25","146","1","0","0"
"8161fa1cc7bddeece8cf475b25a8744ab59d4321","2018-09-20T23:48:40Z","0","0","0","0","0","1","0"
"6826650dacfab5e06b1f659db1f64baef334cd1d","2018-09-20T20:28:24Z","0","0","0","0","0","0","0"
"704391ab7caaa0321b5c0f69ecd97a9827ef60d0","2018-09-20T01:19:06Z","1","2","3","5","1","0","0"
"2dd457e0157d7195d0bee403bd289e44b780931c","2018-09-20T00:34:25Z","1","1","1","2","1","0","0"
"875a99865251ccce3cc87f601527c740d7d8b951","2018-09-19T06:12:35Z","2","27","2","29","1","0","0"
"525dadcc97171d0916f17d8a6cd5882f837789f6","2018-09-16T21:53:20Z","13","243","221","464","1","1","0"
"c6bf723640e6f002f4343ab619f89e62cc9e61eb","2018-09-15T06:19:49Z","1","1","1","2","1","0","0"
"00378ca377ab740e84db7d73bd08fdc49dcd5f70","2018-09-15T06:19:49Z","1","1","1","2","1","0","0"
"63a085a8ac93e9880355fb4150c6895a357963ce","2018-08-29T21:09:38Z","23","1723","313","2036","1","0","0"
"e56bfa8c4af2d677a13472d34060fa00c9b86f31","2018-08-29T21:09:38Z","25","1726","318","2044","1","0","0"
"93a333037c682bfa4f03bb3767390257a4b7ae95","2018-08-02T01:07:37Z","1","2","0","2","1","0","0"
"b6f8ea2b4263d9e3858aca4bcb792a9bd65a6a87","2018-08-02T01:04:17Z","1","3","3","6","1","0","0"
"061e74b2c893abffdbe7eafa9dbd98ef456e064f","2018-08-02T01:03:10Z","24","1082","585","1667","1","1","0"
"07473a29b81479b487088661ed2e957999fd41a4","2018-07-30T09:21:19Z","1","2","0","2","1","0","0"
"5a19cdf77c62f5af0ceadcbe3c76d0807f3542af","2018-07-26T23:50:44Z","0","0","0","0","0","0","0"
"7fe084222293912dd615295c996eda0b6bdb187f","2018-07-26T23:50:44Z","0","0","0","0","0","0","0"
"93d95bfced681cfc7f7d77508fa1608d25997417","2018-07-26T22:26:53Z","24","1082","585","1667","1","1","0"
"cea13fab2aaad47e8ffb01587f903ad7e638b8aa","2018-07-26T22:00:12Z","24","1082","585","1667","1","1","0"
"208cddd12044c3f0b38e28fce3bcf9010c858773","2018-07-24T05:15:11Z","1","3","3","6","1","0","0"
"62801a2da892902b1352241d45dcb01092a794d5","2018-06-19T04:28:31Z","0","0","0","0","0","0","0"
"af6a26fdff73d641123faf27c008cacc781ff5f4","2018-06-19T04:26:14Z","0","0","0","0","0","0","0"
"8cb6f95df8d2763f67e136eb7b2a66d9ddfc5157","2018-06-18T21:27:06Z","38","1740","129","1869","1","1","0"
"07d9c02e53ad7369a4ad98352da1dc857f83c78c","2018-06-18T21:27:06Z","38","1740","129","1869","1","1","0"
"791fa1fb5749e5069168698f17d78f21c1b4369c","2018-05-01T17:12:33Z","42","331","97","428","1","1","0"
"0a5b2fa83271f1d966739621d1b788e73032f17b","2018-05-01T17:12:32Z","42","331","97","428","1","1","0"
"fa66ca6206b36e822cdd5fc6315add30f8b99535","2018-04-20T22:40:12Z","0","0","0","0","0","0","0"
"a5ffeecb1396a3758827a9775c9b114f0d16dc12","2018-04-20T02:47:46Z","0","0","0","0","0","0","0"
"8543e640a9479098215b514a664e6776d70e0fbd","2018-04-11T16:54:10Z","6","81","24","105","1","1","0"
"cf963f58e44c8ca2a3e5124bae18cc7c94063ebe","2018-04-11T16:54:10Z","6","81","24","105","1","1","0"
"d267707c38fc861bd78ed320573867b3e7c6c759","2018-03-30T19:46:21Z","0","0","0","0","0","0","0"
"5fd206894e1d61e411135a1a095c1e0575f242cb","2018-03-28T13:14:00Z","0","0","0","0","0","0","0"
"acfa41d86c77426274ca4a23fde54ad41ea928e9","2018-03-28T13:11:14Z","0","0","0","0","0","0","0"
"fc05b51766338610a95a065ae7f89a94cc0de679","2018-02-28T17:47:42Z","2","3","2","5","1","0","0"
"c43e07553ad7f01c14eb65c74e664139465b524e","2018-02-28T17:47:42Z","2","3","2","5","1","0","0"
"2c1b517be6a4acb4eaa2d1aaa4bcdb862615dd1a","2018-01-25T00:14:52Z","39","290","291","581","1","1","1"
"e7634060dcf639b2494d559ce7a4c2da97016fa6","2018-01-24T23:46:50Z","39","290","291","581","1","1","1"
"eae4a09bb662856927f8a42d27a7cb88cc645d74","2018-01-24T23:46:50Z","0","0","0","0","0","0","0"
"138efa02c73afb331479f896974ba576280a3e06","2018-01-16T15:52:58Z","0","0","0","0","0","0","0"
"2c3d6b9406badea3dba9717de2ff45a0c1dc8530","2018-01-13T23:33:16Z","0","0","0","0","0","0","0"
"db153b1a5d9d9e51389a27dfc4f7b094d09faca5","2017-12-05T17:59:19Z","28","1696","27","1723","1","1","0"
"b2fa42b8fca13e5f44025fb76b270ef8b9733eb8","2017-12-05T17:59:18Z","28","1663","44","1707","1","1","0"
"b77d2fc7d2aabfb962d10521bf04b0e2c1cdaa02","2017-11-14T21:18:21Z","3","55","5","60","1","0","0"
"da89349ef1afb5bb659f032d11d6b90dffa1e318","2017-11-14T18:55:55Z","3","55","5","60","1","0","0"
"fda9fcef155f6a4554e2f117b20f96bee53b226b","2017-11-10T16:16:08Z","1","1","1","2","1","0","0"
"8d168dd203acf2e068a6b6f6029e9baaea992538","2017-11-09T22:15:23Z","57","2052","1810","3862","1","1","0"
"ea06672d1fc2220c638578e668e32c47d767b5c8","2017-11-09T22:00:25Z","57","2052","1810","3862","1","1","0"
"135f6af37480dca1d051c13fd9f4e8f0cce5e02c","2017-10-31T18:11:20Z","0","0","0","0","0","0","0"
"ee252094c7e6bcb5c1baf69804ea21499cf743b9","2017-10-31T17:14:43Z","0","0","0","0","0","0","0"
"bf8de746dfda7be4d0e32b4e82ebc5a263de32f6","2017-10-17T13:03:11Z","0","0","0","0","0","0","0"
"4a215859d4b411221485e82f87640c7795f55d07","2017-10-14T15:22:22Z","0","0","0","0","0","0","0"
"45482361eb182bb3392386182f8f4e6c4896c2b9","2017-09-26T16:07:49Z","182","1846","191","2037","1","1","0"
"1ebea4d8e02aff0bc96cad34c959ab680421f8eb","2017-09-26T16:07:47Z","182","1841","188","2029","1","1","0"
"a98fb7451f684ee28cc822182044277165e312a2","2017-08-31T22:00:16Z","1","5","3","8","1","0","0"
"3d48f5821a1c840169f18cc832b6424eb240c0c4","2017-08-25T00:06:58Z","7","319","19","338","1","1","0"
"c491bb4d693749082dd4a808a9876e0db9691cd1","2017-08-25T00:06:58Z","7","319","20","339","1","1","0"
"482ad056daa2bbb3ae89bd218a76c59c6e061487","2017-08-24T17:08:21Z","1","5","3","8","1","0","0"
"1ab3edd430630689a0db5199d54b35088f68d452","2017-08-17T01:52:34Z","1","2","1","3","1","0","0"
"83895d5ba93529ef51b12088e586852e41168e1c","2017-08-17T00:34:41Z","1","2","1","3","1","0","0"
"bec7d784b8c9ccb7cd7eaba1e352b081e1cf293c","2017-07-27T16:17:23Z","4","31","3","34","1","0","0"
"5759e65cd2f25ba5497199b1dbd79336454d62c9","2017-07-27T16:17:23Z","4","31","3","34","1","0","0"
"26c929209c6d0d2b3acd8c92178e147398d71b68","2017-06-26T20:54:47Z","22","1687","10","1697","1","1","0"
"aded216f84c47f36bc2411bd52d5aaecb0257809","2017-06-26T20:54:47Z","22","1687","10","1697","1","1","0"
"fc7dd71aef775be45e10da23124c502c2770cac9","2017-06-13T07:46:01Z","1","1","1","2","1","0","0"
"d47ac9335772a05e9f6693674eb3cca4a85342bd","2017-05-25T19:56:20Z","19","258","93","351","1","1","0"
"bc0cc5434eef456eeab08e3197ad396d9ed9db9f","2017-05-25T19:56:20Z","19","258","93","351","1","1","0"
"769b18e03b3ebc04b92cf1cd85a7cd28d636727c","2017-05-10T23:28:12Z","1","1","1","2","1","0","0"
