"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"a0f8fbc90d98eb1b629c6295dd2d3577412e7b1e","2017-06-06T00:22:06Z","0","0","0","0","0","0","0"
"50d9b77e5002a5e4420b1a66f11a48511a14190c","2017-06-05T23:46:30Z","2","7","1","8","1","1","0"
"8868caadea8d08885c806635ee09e3b9a6a8a6ed","2017-06-05T23:43:41Z","2","7","1","8","1","0","0"
"a4973f9a24cafb5ed2e95e8c25a845319e86024d","2017-06-04T22:47:00Z","5","206","63","269","1","1","0"
"9cefd90c63cba809b1ca032491449343cb352288","2017-06-04T22:27:45Z","0","0","0","0","0","0","0"
"910107a193b396d8a9ee4ea2f62ed320d453ca49","2017-06-04T22:23:40Z","0","0","0","0","0","0","0"
"b39093479e2c18b6f0d375f16ef4ae6d38446d14","2017-06-04T22:02:29Z","0","0","0","0","0","1","0"
"7b89a2726dbdc087530b985b0e97e9a52a1063db","2017-06-04T21:55:24Z","2","91","0","91","1","1","0"
"e856e0176ec58d9353535e1f7b7db7b00d9488eb","2017-06-04T20:46:06Z","1","1","1","2","1","0","0"
"0088af9c3139f8f40fc8576e59df3587095b9614","2017-06-04T20:00:46Z","1","5","3","8","1","0","0"
"7d0807d9f408df45d1435ab442c9434f2136a2aa","2017-06-04T18:43:08Z","1","43","43","86","1","0","0"
"60b40c03236c9ac6f79c22f9991a2629b8c820cb","2017-06-02T02:00:45Z","0","0","0","0","0","0","0"
"7f708c82ff19c14d99bfdeb7294be419b3e6c82c","2017-06-02T01:28:50Z","1","1","1","2","1","0","0"
"8f09659aed36019355bba6af5eb4ed9f4e2563dc","2017-06-02T01:16:00Z","2","20","4","24","1","0","0"
"710538d631bd102146e4daf17e0e8192ea453748","2017-06-01T22:00:08Z","0","0","0","0","0","1","0"
"4a0cac4786786e3a4cdf536e6b4c9883434122e9","2017-06-01T17:51:33Z","2","75","0","75","1","1","0"
"af4cbde618a08fec92fc524934599941119cf0bc","2017-05-29T20:31:10Z","2","15","1","16","1","0","0"
"e3482cc8421dd11168d437bddd49026eb712bed1","2017-05-29T20:23:48Z","1","16","1","17","1","0","0"
"e0d7931bff4ea8fe9ee5974a7de20b3cd4d6215b","2017-05-29T20:14:54Z","1","35","14","49","1","0","0"
"73b3816959cca31f20d8331acce8dcf380cb26d3","2017-05-29T18:03:23Z","0","0","0","0","0","0","0"
"c02ae0bed3a11d4b1ad78424fbf8b817ddcce3d8","2017-05-28T22:04:29Z","2","4","4","8","1","0","0"
"e4503289d84002c1778d71bc48f81972c6905f72","2017-04-25T22:57:16Z","0","0","0","0","0","1","0"
"d821cb52669ff70d737cf9c7870509aec0fc26ca","2017-04-16T21:57:40Z","0","0","0","0","0","0","0"
"065a7d42614243935d2dc5ce7515cf4324d06b60","2017-04-16T20:09:43Z","0","0","0","0","0","0","0"
"f7387e6885d0f60c595b35120df28f3cbc829676","2017-04-16T20:02:12Z","0","0","0","0","0","1","0"
"aabe0658f8aa627fefdd3442cffca411a53f2cb4","2017-04-16T19:26:13Z","1","2","0","2","1","0","0"
"f581eeb1677af7ff2d4ffb506a0e70d645357dd2","2017-04-16T18:43:31Z","1","1","1","2","1","0","0"
"9625b75cc0bac380fdfdc603b2fe55519ada0cbd","2017-04-16T18:33:52Z","0","0","0","0","0","1","0"
"d75dfecbe12687703bdf8a315d78999491b81dc1","2017-04-16T18:14:07Z","0","0","0","0","0","0","0"
"ccaffcf221ea89261389b9a84e31adf250b5b4a6","2017-04-16T18:07:45Z","0","0","0","0","0","0","0"
"b2947deb113edbcc63924f7655533d689bc161d6","2017-04-16T17:54:53Z","0","0","0","0","0","0","0"
"0f56a143f78a040f876038202952cd915317ea3b","2017-04-16T17:36:43Z","1","7","2","9","1","0","0"
"e50ba12d397f6fff1934e8686f87cd281d976650","2017-04-16T16:43:15Z","1","2","0","2","1","0","0"
"a6b760153fe3cb97298ff4f1976eeabfd66c2cc4","2017-04-16T16:20:19Z","1","16","23","39","1","0","0"
"02e9d96cdd032f720a36b87b664d9d60703df0da","2017-04-14T22:20:09Z","1","1","1","2","1","0","0"
"3580aed96da4f2848b8dd69964bae1b679877014","2017-04-14T21:52:46Z","1","8","0","8","1","0","0"
"b767829fac9563df7174768ae4eb82c014a35388","2017-04-13T23:52:43Z","1","12","8","20","1","0","0"
"067a307157f004e3453fba21e1b81d236ea8c720","2017-04-13T23:08:00Z","0","0","0","0","0","1","0"
"0f1db1f70f428c9bba365951aaf8aaae13de7cd2","2017-03-12T14:21:28Z","2","66","60","126","1","0","0"
"5e8997f01857603628f0e309b25cc2b527a4932b","2017-02-21T11:31:39Z","0","0","0","0","0","0","0"
"3bbd4359556b002c51467bd8c9f241ce1456ca1d","2017-02-20T16:38:34Z","3","59","7","66","1","0","0"
"7b72cdbc7dd68fd1b142b33442b9f5180694c34c","2017-02-20T15:56:48Z","0","0","0","0","0","0","0"
"371572f6873dfcfb61efc9cff99e1be6fd98678a","2017-02-20T15:47:08Z","1","1","0","1","1","0","0"
"3822bc5b148e999db295c81bc6be49443c6ced59","2017-02-20T13:48:07Z","0","0","0","0","0","0","0"
"6d051d3e1aedb2006974c6054f2199012dca8d70","2017-02-20T12:15:08Z","1","1","0","1","1","0","0"
"0f7dda282e446bcb9819f51b1025f1e0e1b6cad6","2017-02-20T12:12:12Z","1","1","1","2","1","0","0"
"67526a7cf7b6e3c3161f43ef9a51d286d8f25647","2017-02-20T12:10:49Z","1","1","1","2","1","0","0"
"5f3d69d0c9a1ee22127b876ac42110931af2de21","2017-02-20T12:01:24Z","0","0","0","0","0","1","0"
"aa8135c55d26c63e44a8b0d249e0f324658a3f97","2017-02-16T18:37:01Z","1","1","1","2","1","0","0"
"e3d4ed9634a6cbc84f5042be1636f44f0a60fe03","2016-12-22T12:25:20Z","1","18","0","18","1","0","0"
"f1541799a4ea6db326150c415f0b82d183e60930","2016-12-22T11:19:49Z","1","4","1","5","1","0","0"
"46d6fe92e73cb78fa441fbfa109ce8f0d7732945","2016-12-19T23:41:44Z","1","1","1","2","1","0","0"
"957d726ce0ac31c5db9ae0b55bf29878fa6aafb7","2016-10-23T02:48:05Z","2","267","0","267","1","0","0"
