"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"502ef327a914393af34fab815e8f1b43fe2e4c8c","2018-01-08T02:16:08Z","1","11","2","13","1","1","0"
"10126cf480ca66a01331b7ef2101b1236b8dbeb4","2018-01-08T02:16:08Z","0","0","0","0","0","1","0"
"347cab566869615c5bdb6addabf52a9047f49fdf","2018-01-08T02:16:08Z","0","0","0","0","0","1","0"
"a9129c4a833936a03e74eaa34302d41139b2dd8c","2018-01-08T02:16:08Z","0","0","0","0","0","1","0"
"325c7e18b5bf578c65795bbf278f079bef5e43be","2018-01-08T02:16:08Z","6","77","0","77","1","1","0"
"6b2a19ef7ce7ac67c642f41ed87c89b8f289ecf1","2018-01-08T02:15:52Z","0","0","0","0","0","0","0"
"c431477b4a684e8bd9e3045336ca18a58ceb644a","2018-01-08T02:15:52Z","3","220","31","251","1","0","0"
"4d5620b24861fe507731d1eca648788f6366e2e6","2018-01-08T02:15:52Z","1","9","3","12","1","0","0"
"8ea8aa5e62a7b844206443e54cb3cbb7829e3e1b","2018-01-08T02:15:52Z","1","1","0","1","1","0","0"
"6cd2bae080b7387ac4c34f5896c5c9baf950f143","2018-01-08T02:15:52Z","1","17","0","17","1","0","0"
"18bc368f41c945a51d1bd9f9da37d5510013db4f","2018-01-08T02:15:52Z","0","0","0","0","0","0","0"
"471ab7bbf36d36bf5b774516f97758d60eb30c88","2018-01-08T02:15:52Z","0","0","0","0","0","0","0"
"fc62179edba17ea1870df2dc390c94ebe37fe660","2017-11-20T07:52:31Z","0","0","0","0","0","0","0"
"583cea9502985ca02be1b19cb3d1e811765e9024","2017-11-20T07:52:31Z","0","0","0","0","0","1","0"
"536534c207461f57ce72fc1394ecec6c8cbbd519","2017-11-20T07:52:31Z","0","0","0","0","0","1","0"
"d3cef670d6aef4a8ba69df7733408a89746bb109","2017-11-08T04:09:50Z","0","0","0","0","0","1","0"
"6ee402e1253157b1ae5c6dd4722efa11caf821c4","2017-09-26T06:00:31Z","0","0","0","0","0","0","0"
"d530a18dc68a623e76ed8629719d964557610e8d","2017-09-20T05:33:32Z","0","0","0","0","0","0","0"
"8768ecd4e415c5deed781847029ebe9c8d6bd263","2017-09-13T10:11:55Z","0","0","0","0","0","0","0"
"defc5f77bda2dc015ed75441f73aea7f01908a89","2017-08-27T15:46:19Z","0","0","0","0","0","1","0"
"0c7631af95f10c1c3d045c18537de0e48bba2945","2017-08-27T15:46:19Z","0","0","0","0","0","0","0"
"0d45c5cbdd361d18fcada6cb5bce859bbba2cc2e","2017-08-27T15:46:19Z","0","0","0","0","0","0","0"
"ab424d38cc9afb4ec7d976bb3a8f66536b925b20","2017-08-27T15:46:19Z","0","0","0","0","0","1","0"
"781a4ba10dcbaaf6c3d9ffa1abad52bae0f6e5d4","2017-08-27T15:46:19Z","0","0","0","0","0","1","0"
"800950b2a4eabc7ac756d9900450cc464bad03b7","2017-05-09T08:22:33Z","0","0","0","0","0","0","0"
"e6c363b10b4ed321a0761c506217f53f3bc485a6","2017-05-09T08:22:33Z","0","0","0","0","0","0","0"
"e74b0b3a6d280e925b0a843952216ebd296ed9f9","2017-05-09T08:22:33Z","0","0","0","0","0","0","0"
"0f2910ef2e694316f1732aa3ba334f956d014ef3","2017-05-05T09:58:12Z","0","0","0","0","0","0","0"
"f57a6df6f6cafee12c43c4a27ae0302f1f8a1943","2017-04-27T02:27:03Z","0","0","0","0","0","0","0"
"b7a232b9532a8dcbf45b8beb8bf42f705d6f337d","2017-04-27T02:27:03Z","2","42","0","42","1","0","0"
"2701837c21b5c0489c87f9cce77eb7ebb0695a7f","2017-04-18T02:55:55Z","0","0","0","0","0","0","0"
"1b671f0ba285029b77b303659b36d059233e9996","2017-04-18T02:55:55Z","0","0","0","0","0","0","0"
"0833a8a3c784df852ba3bc3891a4c4a6c5938873","2017-04-18T02:55:55Z","0","0","0","0","0","0","0"
"26e4ba0f256a29d15ab062383cdb63410be9c91a","2017-04-11T02:40:09Z","0","0","0","0","0","0","0"
