"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"91389f24b40d9a0355b36c81739ef9e9e46ec496","2018-09-28T10:19:10Z","1","2","0","2","1","0","0"
"d73506bb362f3d56c7e13f674924079f289788db","2018-09-28T10:19:09Z","1","2","10","12","1","0","0"
"d19a009c5cfe6657201ac1614fbafe9f76e00395","2018-09-27T14:14:44Z","8","37","6","43","1","1","0"
"6eafef08300eb3ba770e5d4cf39da309b627a28c","2018-09-26T21:23:11Z","0","0","0","0","0","0","0"
"cee2af7e3100892d7e10dd684dfb9792f6e1712e","2018-09-26T17:31:12Z","0","0","0","0","0","0","0"
"42f703ea3feed392693d19d89e208449af3ae4d8","2018-09-26T04:48:51Z","0","0","0","0","0","0","0"
"440348e79df34c4e2f9d5c6b1161b41827f2e42e","2018-09-25T18:16:45Z","0","0","0","0","0","0","0"
"7abfc021b3bc45c38fb35dc6101cf8d53352b384","2018-09-24T20:03:02Z","1","13","7","20","1","0","0"
"e9189e17981fe16c56b6fa51c2a931abcd6762f9","2018-09-24T15:04:05Z","1","2","2","4","1","0","0"
"6ce23d634d649d8cb8242ba8b9960125bed17d9e","2018-09-24T15:04:05Z","1","6","16","22","1","0","0"
"8dafec9051ecda348013bccab5d8fc2a8cb88634","2018-09-24T14:48:29Z","2","82","20","102","1","0","0"
"173eed38897bff63f5659039826a33de0132f3de","2018-09-22T01:07:20Z","6","64","6","70","1","0","0"
"c00e72c98e2e61990ae020e3f95b3bc0fcce6175","2018-09-21T16:21:12Z","2","42","9","51","1","0","0"
"70003824db692e797b8121299c3832d671df0396","2018-09-21T10:21:18Z","1","2","2","4","1","0","0"
"dd0a6115c561b89c522ccb32178510f408c62743","2018-09-20T20:34:11Z","4","84","2","86","1","0","0"
"fd49eedd16a3eb953240c60c9d90901d8853673b","2018-09-20T19:48:29Z","1","10","0","10","1","0","0"
"88afdb2437cdfc8e7a3fb996cd063fd8b4acc6b1","2018-09-20T11:19:04Z","1","36","1","37","1","0","0"
"c4ac011107745b4daa1b90b7eb8875c0a4533ff1","2018-09-18T16:19:20Z","3","3","4","7","1","0","0"
"21f3118f1df41ea24a7e8cfdfa3631030989ae11","2018-09-14T11:03:19Z","4","63","14","77","1","0","0"
"39d7c6bacde1505a044164d261e5826d6b3f3f0b","2018-09-14T11:03:19Z","3","267","0","267","1","0","0"
"5bf82c31d4284ca0750927ad0a7901f18939fca4","2018-09-14T10:04:42Z","1","8","4","12","1","0","0"
"55c37b07b71aaf94f12818470a030524da87bc16","2018-09-14T10:04:42Z","2","16","9","25","1","0","0"
"2245972f4890250deaf0c1a0973119e5078f126f","2018-09-12T13:21:26Z","3","29","6","35","1","0","0"
