"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"4818373fc5113e94b8b466cd6ca2ff0b77c23ada","2018-04-22T20:08:05Z","23","143","106","249","1","1","0"
"8c72ad64b99f855a0a1ed0235f68b41923487dd4","2018-04-22T17:09:21Z","2","171","0","171","1","1","0"
"81e72fc55326f1b2f21179c94362cf36728c96db","2018-04-09T18:05:28Z","2","2","9","11","1","1","0"
"0361d970182696b13c270be334108865a6b5b44e","2018-04-09T16:01:17Z","0","0","0","0","0","0","0"
"9b00767304619d2d186f320a35597c17e3f4e470","2018-02-13T07:32:10Z","0","0","0","0","0","1","0"
"a5f7017f57dddee29e9b271b402cad9a8d774719","2018-02-13T06:26:41Z","0","0","0","0","0","0","0"
"9e85b0b759542015e4ddc81e38aa31de52464829","2018-02-01T07:48:27Z","0","0","0","0","0","0","0"
"51f7b515fa13bff7fea1322c28811941f232e7ce","2018-01-26T08:08:27Z","26","150","196","346","1","1","0"
"43f38cc4b3a867104abf82115b9a081265389cd9","2018-01-25T08:15:27Z","20","408","24","432","1","0","0"
"970afc35feec749e9df167f71ebe2743aa9a0b16","2017-09-09T00:18:50Z","0","0","0","0","0","1","0"
"f6cbe2722d4a20aaba2f3e0492966a40e7915c83","2017-09-07T05:47:27Z","21","456","676","1132","1","1","0"
"1264e01f6e3764106a6b17b7f26fc3fad4513b1e","2017-03-21T18:55:30Z","1","4","4","8","1","0","0"
"1a474cdd8c427b76d003c4e476c06c355980773d","2017-03-21T18:53:41Z","0","0","0","0","0","0","0"
"311bcde37fc9e2724eed7030430ef43b249a8e37","2017-03-18T01:35:44Z","0","0","0","0","0","0","0"
"945e5a8063766ea861d62047c6fd6b035913ad43","2017-03-18T01:35:05Z","0","0","0","0","0","0","0"
"30b41fa1675ec70a8ee154f8b826f9ef5d5878d4","2017-03-18T01:29:47Z","0","0","0","0","0","0","0"
"2a720df48d2321a52e8616e4077429ec474caa28","2017-03-18T00:47:58Z","0","0","0","0","0","0","0"
"06db3295a1fdbaacc1ac4d598de6f7e63d04dde9","2017-03-18T00:45:28Z","0","0","0","0","0","0","0"
"34cc92f7a4846941209e53d8bdb34e0262684e86","2017-03-18T00:41:49Z","23","23","23","46","1","1","0"
"5715d7a999685eaae5aa19195caad5c826113933","2017-03-18T00:35:48Z","0","0","0","0","0","0","0"
"36c0d00ae92d60a423b0e64f09402afeb4472dd2","2017-03-18T00:35:29Z","0","0","0","0","0","0","0"
"a29346e8d23a353a68a621bd739f2c7dc9d1aefa","2017-03-18T00:20:28Z","0","0","0","0","0","0","0"
"c3f2ce75a4cca26d6ef464499371868ad0cfe788","2017-03-18T00:19:53Z","0","0","0","0","0","1","0"
"4d47793f79e9f5111b81936a04546ea48f8c2177","2017-03-18T00:17:37Z","23","23","23","46","1","0","0"
"45c2e3bcfe056d0bdaa6a8a4fb2d17c2a477b23d","2017-03-17T22:27:20Z","1","15","4","19","1","0","0"
