"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"00bae3a41e3017d316ae56481fd2fc17eda2272c","2018-09-21T22:44:16Z","26","150","0","150","1","0","0"
"38dc42d4995a2320f95b2ced390c45545ad7bc90","2018-09-21T22:44:07Z","0","0","0","0","0","0","0"
"2ca790afa86279645bd7d84a3d5d273b5992f2f4","2018-09-21T22:24:11Z","1","3","1","4","1","0","0"
"b3b2d7aa84a5beb8eddea39f2ec0e8ba35ceaa20","2018-09-21T22:24:11Z","3","131","7","138","1","0","0"
"b4562903cd09cd8bd95c1962867d166b9d2eec18","2018-09-21T22:24:11Z","28","0","153","153","1","0","0"
"ebb0e45d42709338ffc8de0d58e48c992af2d372","2018-09-12T20:29:13Z","1","58","0","58","1","0","0"
"e7965ed1a738c65357b113303e596d78d4404b77","2018-09-11T20:01:32Z","1","2","7","9","1","0","0"
"87881988c19cac066599cff5ee2ec6d2645093d6","2018-09-06T21:51:00Z","60","2153","9393","11546","1","0","0"
"ed20643fb94d4e17f4cdb3699a6d83621408dd34","2018-09-06T16:56:57Z","42","3890","8010","11900","1","0","0"
"092e0624054db5cf00b32dea2da459df90f13b11","2018-08-30T16:32:44Z","5","25","1","26","1","0","0"
"64adebd766cd6aa97ee95861c52a80e0578491d3","2018-08-30T15:38:28Z","1","3","6","9","1","0","0"
"cad83d2988c569ef5c22811c59886588814b4c6c","2018-08-30T15:38:28Z","3","179","9","188","1","0","0"
"d18e5e8595daff24356fa4fe36833cc8bfc7ca46","2018-08-30T15:38:28Z","2","5","34","39","1","0","0"
"37127f0f817d4a11dfdcc447946397b5288de593","2018-08-30T15:38:28Z","6","124","8","132","1","0","0"
"a9e1ae2e3a59e9a77a0fb3d9105fbeac96343a15","2018-08-30T15:38:28Z","2","34","5","39","1","0","0"
"33d698d0dedfbd287d66642ada44b182b28294f4","2018-08-17T16:20:15Z","0","0","0","0","0","0","0"
"8de973f4702fa813fcb0d1e2ae621df5d3aa3cc5","2018-08-17T16:10:12Z","0","0","0","0","0","0","0"
"914996cac11108ec1a02c21a10af53ebc4980d7f","2018-08-16T16:05:58Z","0","0","0","0","0","0","0"
"a50a7512ec7a99d4b3d8c1a2df9d8af48aa543cc","2018-08-11T04:37:38Z","0","0","0","0","0","0","0"
"9c1652ca86e9015743153ade3e720a0009130875","2018-08-11T04:37:38Z","1","10","0","10","1","0","0"
"38cf86168015f6dd4d9df370f74305a1bbc2dd1a","2018-08-11T04:37:38Z","0","0","0","0","0","1","0"
"0c73d1c4c7dc483a38008b8d7ca0e5238ceaca6c","2018-08-11T04:37:38Z","4","58","22","80","1","1","0"
"d861c67cbeffb4f0c6222f2c10ffe8d61736f524","2018-07-30T16:08:59Z","4","10","12","22","1","0","0"
"62e6c11e6e4e4d0cf5f4c380219fe10129bb2694","2018-07-30T16:08:59Z","1","9","3","12","1","0","0"
"229cb11e2fd984939d9abde4071b858a1f24f6b6","2018-07-30T16:08:59Z","5","25","28","53","1","0","0"
"c4b08d4689b746c524c5e31cf723f8976a7173ac","2018-07-30T16:08:59Z","33","57","57","114","1","0","0"
"3a7060777d17fa4d9ca2b68b019fd2d448f54ea6","2018-07-30T16:08:59Z","7","1215","35","1250","1","0","0"
"b7c2b1360c777794c50351a10c30c08a3390b753","2018-07-03T21:37:39Z","1","1","2","3","1","0","0"
"ad33b8d503024c8a3a6a3da60ce28c4d7732ae58","2018-06-22T15:49:18Z","2","10","19","29","1","0","0"
"4ca13a0d473c275d83ec5a38e89a5beeb0ed754c","2018-06-22T15:25:29Z","1","1","1","2","1","0","0"
"9089752d2a4f4ccd6e7a6a7bbf7ea85db3f0949b","2018-06-22T15:25:29Z","12","238","308","546","1","0","0"
"386d89e4b7ba0fee92a9b9421bae2308ec9c9f2b","2018-06-22T15:25:29Z","1","0","4","4","1","0","0"
"8487ab7988b731da684c279f6ef235c8b052db23","2018-06-22T15:25:29Z","1","1","3","4","1","0","0"
"5ff120cc46ce4997d22c1e12189d552a4b4bd241","2018-06-22T15:25:29Z","1","3","1","4","1","0","0"
"76fe2bd1ba1a8abb0409f20f7522de4243592c17","2018-06-22T15:25:29Z","1","1","1","2","1","0","0"
"7eb59f7f217adc7b0e017d586ea0814bf75c53d0","2018-06-22T15:25:29Z","5","3","20","23","1","0","0"
"c3328fe63214c0aedefca3d5496bb222a2fd29ef","2018-06-19T00:48:24Z","5","46","21","67","1","0","0"
"4c8a7b5914f811d0e72d6835fbb5b3eee927ff5f","2018-06-19T00:46:34Z","1","1","1","2","1","0","0"
"c441d83d7aa3f010ca85b9ec0a3d37844f19afe2","2018-05-29T20:53:28Z","1","7","4","11","1","0","0"
"a55e935eba859b9ea4f6e4357b8ac4e7e4a8327f","2018-05-29T20:52:46Z","3","73","0","73","1","0","0"
"afeb674b6db45fc45d0383a743d07d2b869b8c18","2018-05-29T20:52:35Z","1","11","20","31","1","0","0"
"0aa75aef353f9ee9569c12a86c18733f7520e46d","2018-05-29T20:04:40Z","3","17","9","26","1","0","0"
"2dccb5c2fb265cbfa67b328cea30e922c67feb9e","2018-05-21T15:36:02Z","2","357","0","357","1","0","0"
"5ce19a667442c83aa608c22fd42761b9fbbd42fc","2018-05-21T15:36:02Z","4","5","5","10","1","0","0"
"1b5769ecc161f2b906bc2d82be623e511f53937f","2018-05-18T14:09:22Z","0","0","0","0","0","0","0"
"1b7c4295d679d499ae7de979b63ab5907979018e","2018-05-15T20:41:13Z","13","360","257","617","1","1","0"
"d2d5c4e473505ef3b8d7f391f4749ed3236c72aa","2018-05-15T01:11:20Z","1","10","4","14","1","0","0"
"ff463d779ef8bccffc224e3647dbaf6dbc27fd57","2018-04-25T17:28:14Z","1","12","4","16","1","0","0"
"11a83f854ccce157f3e7c8700bc2a369239945aa","2018-04-25T17:27:31Z","14","98","0","98","1","0","0"
"633b6f838677ede49b3b57761e4cf9ab00fa71f0","2018-04-25T17:27:13Z","2","4","1","5","1","0","0"
"9fdb786eed3ce716070b9b960fc34a9c31c57b38","2018-04-25T17:18:00Z","2","60","0","60","1","0","0"
"bc22b02612260ead6991558690286b25d698cfa3","2018-04-25T17:18:00Z","2","0","56","56","1","0","0"
"a3f8114d015be983d365410fa0655de95fb80fef","2018-04-25T17:18:00Z","2","56","0","56","1","0","0"
"93289994a4ba59c6251aad0ccdf332c0d758d9c7","2018-04-25T17:18:00Z","4","176","73","249","1","0","0"
"a683e04d4bb794f82401abd2abfe975f664e2590","2018-04-17T16:25:30Z","0","0","0","0","0","0","0"
"62fa26c4054d4a551895a8cece2b18547368ad0c","2018-04-13T22:53:35Z","0","0","0","0","0","0","0"
"e170581de673da0e8d65fe02c4fd0b0b5252e1b9","2018-04-13T22:51:48Z","0","0","0","0","0","0","0"
"6ea67b6b3e634759c8b81c2c5f26487709c4c267","2018-04-13T22:49:08Z","0","0","0","0","0","0","0"
"3798ec51965dd6d2e394adf2d504061ad253a48e","2018-04-10T21:19:37Z","0","0","0","0","0","0","0"
"af81b868940ad280f4997b8db1e460a7d7784ba3","2018-04-10T21:17:05Z","0","0","0","0","0","0","0"
"f36ac461db69a3aa7a2938bce3adeb1d2c7a8034","2018-04-10T20:20:18Z","0","0","0","0","0","0","0"
"418f73c513a0d62724c536dcfe6107dbd9495b6f","2018-04-10T15:42:43Z","0","0","0","0","0","0","0"
"7fb8b1258a3aabbedad3b8d15f59c8091498160a","2018-04-09T22:59:28Z","2","18","2","20","1","0","1"
"6e932b374e3f3b87a5f105f27f89767e82d68129","2018-03-30T16:22:48Z","1","3","4","7","1","0","0"
"6f5ff7059d85d22f41cc6e4c6bc6e4dca76ce654","2018-03-30T15:58:12Z","1","1","1","2","1","0","0"
"f508d7cce947a8075806e088e798cfb6593647b0","2018-03-30T15:55:56Z","2","20","7","27","1","0","0"
"6eb094cd38215b8604b4bee8b8dd9250c7b032dc","2018-03-30T15:55:28Z","1","2","2","4","1","0","0"
"58bcf53681e8944add93c8680578fa7fdd617785","2018-03-30T15:46:24Z","40","3193","3068","6261","1","0","0"
"5212e953ff8fb0db390214eafb5a89b826884142","2018-03-30T15:42:25Z","1","6","3","9","1","0","0"
"dd7fe186e0eb4ea2b17f8611317a2714b81ff03b","2018-03-30T15:40:31Z","1","1","1","2","1","0","0"
"7427a493fa23d95f5e00853f78c40c43a50b8a56","2018-03-12T17:08:43Z","2","8","17","25","1","0","0"
"c28837be99c52160d96efbdaca7e13b51a7ea085","2018-03-08T16:46:50Z","1","1","1","2","1","0","0"
"86f327664c456360dc1d3f403e88c62059561969","2018-03-08T16:37:57Z","0","0","0","0","0","0","0"
"84178369d1782b788e9d66f3ef6a5453a2314160","2018-03-06T21:49:09Z","1","4","0","4","1","0","0"
"b2eb35db07cee692e6e6e7b16e2ea968b959f531","2018-03-06T21:46:36Z","1","0","44","44","1","0","0"
"d7635bda9105dbeb27ed8a3fbda69832396960f5","2018-03-06T21:46:36Z","1","1","1","2","1","0","0"
"1937b055db40557206cb7ea8499c37e43d9ec22f","2018-03-06T21:46:36Z","1","0","22","22","1","0","0"
"7fecca97c2b6b087580bd395778651239509ce3d","2018-03-06T21:46:36Z","3","66","11","77","1","0","0"
"7ff3bdeed52d6047e8e9f879ccb3f67afe50fa2d","2018-03-06T21:46:36Z","1","5","4","9","1","0","0"
"5e45539453e386b85ae08c65725fdb71b81538a5","2018-03-06T21:45:47Z","1","14","0","14","1","0","0"
"99723e3e7e14eecd908685da630d522e0e304b40","2018-03-02T16:20:36Z","5","175","3","178","1","0","0"
"a1f5f1008d4e9588ad37acd731d73bd63903440c","2018-03-02T15:11:45Z","2","17","1","18","1","0","0"
"fbf1ffc7f93841afb00f59d88c02c2770538a933","2018-03-01T14:59:34Z","0","0","0","0","0","0","0"
"30941656c9fc1617995bbd9451be7c01bd996878","2018-02-28T15:28:46Z","0","0","0","0","0","0","0"
"53b5147d35b2365e66a8f328081618aeef9b78de","2018-02-21T17:29:04Z","1","10","0","10","1","0","0"
"b0c9aecd54f1801e8582fe16f93f3dd725a5c6dd","2018-02-21T17:29:04Z","1","3","1","4","1","0","0"
"cd08c4b9615df462584055de5e304c0bf5f945fb","2018-02-21T17:29:04Z","1","5","19","24","1","0","0"
"7d1898e92600a6a2698d72e12ec26c6715fb8fc5","2018-02-21T17:29:04Z","5","60","19","79","1","0","0"
"97d130d338349220cc8158141bbae1dfda496efe","2018-02-21T02:33:00Z","8","359","19","378","1","0","0"
"d939314e04b26709e7e890ba8f88494551111e23","2018-02-13T15:09:58Z","6","32","6","38","1","0","0"
"c042d110689c9ee025752483a75c6fc3bcff66c1","2018-02-12T18:33:14Z","1","9","1","10","1","0","0"
"428f547d7c8a1229451896413aed575a5b9399ce","2018-02-12T18:07:45Z","1","7","1","8","1","0","0"
"7664c826ef2a55c67a4b55fbe61e33203355f2ee","2018-02-12T18:07:45Z","3","53","4","57","1","0","0"
"2d0bc2de5c86d7f56ca77748733511669f80d32a","2018-02-12T18:07:45Z","1","0","15","15","1","0","0"
"b68ba436aa8d022fdf906c010fabb0d690f3d18a","2018-02-12T18:07:45Z","1","0","18","18","1","0","0"
"05e3215ceca003ee295ed373f86e17caa3568c10","2018-02-12T18:07:45Z","1","0","21","21","1","0","0"
"99229725401d5777e059da7b6331134bf73fbcdf","2018-02-12T15:32:08Z","7","38","6","44","1","0","0"
"29d481ccdc8a0f0d7135359d970de071f73b6922","2018-02-12T15:15:51Z","5","24","14","38","1","0","0"
"3a7e262fe4c530a86c8064fb5d22a4fb0cc73e84","2018-02-12T01:23:41Z","0","0","0","0","0","0","0"
"41f7400fbf0445438507ef9eaa9f7bf31b8efbdf","2018-02-09T17:31:24Z","1","4","1","5","1","0","0"
"10e22663732e76edc4c71a0be82dfd35334ac5f5","2018-02-09T15:25:02Z","0","0","0","0","0","1","0"
"a690f38859ebf5f4f06172060596842a35cc16d8","2018-02-08T15:49:17Z","2","29","9","38","1","0","0"
"914060e00a9a766017560276a2dd9a42dc9b2874","2018-02-08T15:49:05Z","1","27","3","30","1","0","0"
"17c1c3d5781e953379904a60bae08524632e5053","2018-02-05T15:23:29Z","4","125","14","139","1","0","0"
"e60c451abd761382558ee116de2acad3236a1a75","2018-02-05T15:02:09Z","2","21","2","23","1","0","0"
"fa1b0ff19c4c4f705dff916f543eb9ccaf8cc841","2018-02-05T15:02:09Z","1","1","1","2","1","0","0"
"451adedf60ac7d6799ee07b3dc34ff06ff42a4e8","2018-02-05T15:01:19Z","1","1","1","2","1","0","0"
"46c905b9d4bcfef788dac495bdc7eb547dac493c","2018-02-02T15:43:05Z","0","0","0","0","0","0","0"
"3a3a06108fe5e93ae39b5264ac2376ae889236f4","2018-02-02T15:21:28Z","0","0","0","0","0","0","0"
"c63ff574979c6a912a521104630f68e489ec2051","2018-02-02T04:57:03Z","0","0","0","0","0","0","0"
"a10361b5417e4d0c735e277386dda337b4f9238d","2018-02-01T17:09:02Z","0","0","0","0","0","0","0"
"430b7aaf4925562ba938bdcad51775c1e56a525d","2018-02-01T17:05:57Z","1","1","1","2","1","0","0"
"4b26f3d5dc38500ee86a0d2a3581ee92b9f46e8a","2018-02-01T17:01:24Z","0","0","0","0","0","0","0"
"761654c85a3c32fe7712618e1f7082632858ae02","2018-02-01T16:28:34Z","0","0","0","0","0","0","0"
"51ae5717610cb3b79b40cc74ada9db1669735828","2018-02-01T00:47:05Z","0","0","0","0","0","0","0"
"0917ef365ea35ca3e0f1eb12a2b7c843c84042f3","2018-01-30T15:54:14Z","5","241","1","242","1","0","0"
"c99a5301614d318a5de308f20d32a5af01f0bbef","2018-01-23T18:45:13Z","1","3","4","7","1","0","0"
"9d3a6ff872c0c0d753fd8f37ba0a80d487277d76","2018-01-23T18:02:42Z","1","3","1","4","1","0","0"
"e9f682f9586a68f9322d978dda4856957167ff0b","2018-01-23T15:37:53Z","35","197","121","318","1","0","0"
"17e0943fdc9e24ce4f105df53e91c7cdea60edf6","2018-01-17T20:17:06Z","2","33","13","46","1","0","0"
"c8d927e2871275ab8f544e218cb53c65d3d54f88","2018-01-17T16:50:33Z","1","1","4","5","1","0","0"
"2cd953c63cf266bae37293ce536de4fb04b8e7e0","2018-01-17T15:43:57Z","1","19","0","19","1","0","0"
"73277df1debcf894aece03f0d1b2852281c266a5","2018-01-17T15:43:57Z","2","61","12","73","1","0","0"
"a198ef627d3537d460d2eb5d64d15de1803f0f6c","2018-01-17T15:43:57Z","3","55","10","65","1","0","0"
"d45956144f72f080675c119a7d21dc1bf6057380","2018-01-12T15:41:23Z","1","4","0","4","1","0","0"
"3318c95db9d09d82065a8603d4100f91a814f81d","2018-01-12T15:41:23Z","0","0","0","0","0","1","0"
"0becb7264e6327371aa6506d8cf1dd1addb6b469","2018-01-12T15:41:23Z","0","0","0","0","0","1","0"
"1847f4292e3349f06e68dc14d4295fa97c1af671","2018-01-12T15:41:23Z","0","0","0","0","0","1","0"
"9634421cd101efccc7eb613ece85866fb874c760","2018-01-12T15:41:23Z","4","296","191","487","1","0","0"
"bfa237c19a7d742a4911e2744d174ae82f420ac0","2018-01-11T02:33:05Z","14","70","31","101","1","0","0"
"35f6a0a43bf8ac645c8c5d0cb82f2936f172f7f9","2018-01-09T23:35:13Z","55","682","167","849","1","0","0"
"860f7d041dd00e6032d71ff8483ac2a9d30441ec","2018-01-09T05:29:16Z","3","27","4","31","1","0","0"
"a0f3d300d556cf83cf6a2a5dee737b89c862770d","2018-01-09T05:29:12Z","3","1214","0","1214","1","0","0"
"416797ea294a23ec8adadfc922a1c8b6e331770b","2018-01-08T20:46:19Z","136","0","0","0","1","0","0"
"11a8daf91ddda4847c246d83c509ff05e51a472b","2018-01-07T20:51:18Z","0","0","0","0","0","0","1"
"95637cfcf37a4d9acf05aa3e46dff6f7799f763a","2018-01-07T20:44:50Z","137","0","0","0","1","1","1"
"3af80f43b8c7d4dd36ad149f7a5dc647b258330a","2018-01-07T19:53:05Z","0","0","0","0","0","1","0"
"eabe5fb2eebec3c61b0e75d406c8eb7975b043cd","2018-01-07T19:53:05Z","1","2","1","3","1","0","0"
"1c7434aced9e9c9ad1bd8a90bc1c08eeb7587a4a","2018-01-07T19:53:05Z","0","0","0","0","0","1","0"
"3968ccbc8815409165cec630f28bb44ce350b30a","2018-01-07T19:53:01Z","0","0","0","0","0","1","0"
"f84e46182e17ab21a9f7a73ab01c6b111c2f57d7","2018-01-05T18:55:11Z","0","0","0","0","0","0","0"
"dff420bd6f4a474d178e1e8076a441b602f426f1","2018-01-05T18:54:20Z","0","0","0","0","0","0","0"
"4f1a8b6e4eba083a9affad9720f172d49f2bb7c3","2018-01-05T17:22:17Z","0","0","0","0","0","0","0"
"c1036c1cdc3c85827bf566e104a12ca880e26411","2018-01-03T16:57:49Z","2","22","4","26","1","0","0"
"0deee306477ca1987ee4a9eeb04b7299aa3f54c5","2018-01-03T16:57:49Z","3","365","1","366","1","1","0"
"01e5f74feb7381d22c22b8107aa827fd15ee9f25","2018-01-03T16:09:59Z","2","1","13","14","1","0","0"
"0996f124c222142415c22a3607117067c5a3f3b3","2018-01-03T06:47:16Z","1","4","4","8","1","0","0"
"13a6191b9fed219942abc932059629fafb2387e7","2018-01-03T05:22:46Z","0","0","0","0","0","0","0"
"180de95b8b3c4ac13e06a3f1510711122789b8e5","2018-01-02T22:20:04Z","1","0","1","1","1","0","0"
"d7bb6f956b34dd00ad0dbcb64f15f4b9c2fb0538","2018-01-02T15:20:32Z","24","41","7","48","1","1","0"
"fd73179166b15af246769c9b1ae205c65c584e5b","2018-01-02T15:18:21Z","1","0","6","6","1","1","0"
"cc4bb160c555e90c354f5c4c9c2722756709232f","2017-12-31T21:43:52Z","1","6","0","6","1","0","0"
"04d5fea0825e7f9c68e59d8742a561a788aabedc","2017-12-31T20:01:45Z","3","4","0","4","1","0","0"
"8db787682e9191a600c3788e1336b41cb47e4059","2017-12-31T20:01:35Z","3","6","4","10","1","0","0"
"9fde00628f223e96372aeceadcb3e35a0635cb6d","2017-12-31T19:54:03Z","6","109","62","171","1","0","0"
"62d7464fb4f874897121591815ecb7503f7bc01b","2017-12-31T19:45:03Z","37","105","1","106","1","0","0"
"ebff466a04594b806f7d341fcafaeb4ad3b204fe","2017-12-31T18:30:19Z","1","1","8","9","1","0","0"
"13ca461a3571713870616c6bdbdd2879b1b47516","2017-12-31T08:05:55Z","0","0","0","0","0","1","0"
"a0cc414bd0a4be735d7fe29c4c3c4a3784f01f31","2017-12-31T08:04:38Z","0","0","0","0","0","1","0"
"f16aef4c6ad583bafe796c7a952a0d10920c4dcd","2017-12-31T08:03:49Z","40","320","193","513","1","1","0"
"fae9444e85857bc524511f9b78063765bbcc760d","2017-12-31T01:43:24Z","18","354","28","382","1","1","0"
"642b2dc431e54cb677088e934743d78f1ad84810","2017-12-30T07:40:44Z","1","6","20","26","1","0","0"
"8ed06d2cf39b10dd3112243e02701bc95db16d31","2017-12-30T07:19:37Z","0","0","0","0","0","0","0"
"abce865cbd3fdb969ffa7baf3a78529cec6617e1","2017-12-30T06:27:53Z","0","0","0","0","0","0","0"
"e02969417a75048af0fcb61c5fbf6ea94bd2c4aa","2017-12-30T06:23:28Z","16","160","142","302","1","1","0"
"3ed41ae8207e492813c647c36c4141bf9fa671ce","2017-12-29T23:02:44Z","1","9","6","15","1","0","0"
"4e5577d91fd20e902aa27c89e810a54fb04eb31e","2017-12-29T22:53:13Z","2","49","1","50","1","0","0"
"989e76f6682c9eb11a52954ec960c3688fbbddef","2017-12-29T06:39:54Z","0","0","0","0","0","1","0"
"ea7bf7c7bde69b39c2cce6f7bcda3d00b3c3d772","2017-12-29T03:55:59Z","2","0","3","3","1","0","0"
"d59a54866893eda0def3532ddd89502e4d24d19b","2017-12-29T03:55:51Z","0","0","0","0","0","1","0"
"d7e041c366c9dd6d0f024c534b778486688aaaa6","2017-12-28T23:42:09Z","1","15","3","18","1","0","0"
"9c70aa5f92f523c6bac29628554fdde5428e0cdd","2017-12-28T23:38:19Z","3","40","2","42","1","0","0"
"ffd0fe0e3c03106abfaf18df301ac5f0d66e0582","2017-12-28T23:38:19Z","0","0","0","0","0","1","0"
"015d2659a9ea7438ab72b94500a0921f8ff35aa3","2017-12-27T22:25:25Z","3","62","5","67","1","0","0"
"d522ac7249ca1bf71f6de30e62d71a1faa8d4c4c","2017-12-27T22:25:25Z","3","9","3","12","1","0","0"
"7d350390cc2d0eb8c6ed9c19faa9556b5910e172","2017-12-27T22:25:25Z","3","28","41","69","1","0","0"
"ded8f77c9f2471e3c3413aa234656df8cf72dd2f","2017-12-27T22:25:25Z","3","68","19","87","1","0","0"
"6e9866b5a19d06625006a9a8c605db21047df74b","2017-12-27T22:25:24Z","12","699","185","884","1","0","0"
"a55cc5e3f91655ca640c769101d9b7f0d5e16b1b","2017-12-27T22:25:24Z","2","229","0","229","1","0","0"
"75c2a8b6d216013e7fbf797231839a8f4c82757a","2017-12-27T22:23:26Z","0","0","0","0","0","1","0"
"cc0288c3b4bfb82a109a3f279af52c57fc5e1499","2017-12-24T19:39:51Z","3","154","3","157","1","0","0"
"cfeb4a46eebb13b8f0be98eed92cefd54bf78f55","2017-12-23T21:37:28Z","0","0","0","0","0","0","0"
"bf476cd1a362e77e4a9cf3363ca7bf1e60916b06","2017-12-23T20:55:41Z","0","0","0","0","0","1","0"
"ee83b67780f27960d67a66f10f411397eddad22c","2017-12-23T20:51:50Z","33","125","59","184","1","1","0"
"a084ae4eb067c6759b813c27fe6316453a849b18","2017-12-23T04:36:39Z","1","3","3","6","1","0","0"
"c3107801dab8ccbe121157bee7dba29b7d9723e6","2017-12-23T04:34:31Z","24","55","39","94","1","0","0"
"276d4ff4bdce85763c985c90a87ea5e858a1ffe4","2017-12-23T01:08:46Z","5","83","80","163","1","0","0"
"bb96b633174184965cd1bdf9027ef3843f59c54f","2017-12-23T01:03:30Z","31","1354","8","1362","1","0","0"
"f37ced1512f7eabf37f6c93b1b7ffb32c3629b72","2017-12-23T00:59:43Z","7","31","11","42","1","0","0"
"e35a73b4e78f2f05dc5c1163b8083ac1b662b02f","2017-12-23T00:58:59Z","40","174","110","284","1","0","0"
"0e3172a86719029b0642677c59b442f0e3bdd687","2017-12-22T08:48:39Z","0","0","0","0","0","0","0"
"ae202bc0ad3c02cbb6dbb71dd654050c5b5332eb","2017-12-22T01:56:35Z","0","0","0","0","0","1","0"
"7ffbfc9f82e9d2e29a371631c1c7a28e38257f56","2017-12-21T23:11:09Z","0","0","0","0","0","0","0"
"b19387ce0a9427ead22ee95294709e4b9371cb2a","2017-12-21T23:09:28Z","0","0","0","0","0","1","0"
"b221d4bbec138efcdb1aabd07600b7df713f9e40","2017-12-21T23:07:28Z","2","1","3","4","1","0","0"
"6c7cf3f8cae998469a7e7df8c70c459311479a38","2017-12-21T23:03:12Z","2","141","1","142","1","0","0"
"c889c2ed10d6918ecef1da73c14f7be4ad148a79","2017-12-21T23:03:12Z","0","0","0","0","0","1","0"
