"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"93ead9d666faae89d77e41b9ac134dc2c5705f3b","2018-09-29T00:18:28Z","1","1","0","1","1","0","0"
"2fae9a3a97115a98ec9b29daa9489c2f8ea5752f","2018-09-28T23:10:14Z","2","18","3","21","1","0","0"
"8b16899bc1f4ffc22b899cea7724cf2eebd348f8","2018-09-28T20:23:55Z","0","0","0","0","0","1","0"
"1f006959b0863bf254495c4d627b4c9abaca41f0","2018-09-28T16:48:13Z","0","0","0","0","0","0","0"
"8e72351a6566c4587c9f0ea34d26d614ad1aaeb7","2018-09-28T02:27:45Z","12","83","84","167","1","0","0"
"da87ffb329f70d907a010dbda0bd655dda8f1cc8","2018-09-27T20:19:24Z","21","9904","708","10612","1","0","0"
"69bb8a37f85fa07be418704ffb25573c133c0a4f","2018-09-25T19:32:10Z","0","0","0","0","0","0","0"
"32bb5ba156c78c72c3e0702ef3e15f33869407bd","2018-09-25T17:49:43Z","1","20","0","20","1","0","0"
"5e4d9a591ede57b4271e5a6413c93e1be1d50001","2018-09-25T01:36:07Z","3","5","3","8","1","0","0"
"693779dba776bb4f685a3d878840d4a45b5cd835","2018-09-25T00:32:04Z","5","67","166","233","1","0","0"
"acf80d63b096adf723a59487040279ad8a8af76a","2018-09-24T23:09:36Z","2","39","8","47","1","0","0"
"70b1b1696a258ffe042c7124217e3a7894821444","2018-09-22T08:38:30Z","1","1","1","2","1","0","0"
"2653cf4d6b2011ef54a8349d71116c1637e38fe9","2018-09-21T23:32:53Z","0","0","0","0","0","0","0"
"ed7059429402a462ba4902c2da82ac2c2347dfc9","2018-09-21T22:59:37Z","2","77","58","135","1","0","0"
"be04325a6acff8aa8a8b6afb19b1f1c4826c3289","2018-09-21T18:14:37Z","0","0","0","0","0","0","0"
"80883f09838a5d528e78e11e4001bb351b1f805f","2018-09-21T17:58:07Z","0","0","0","0","0","0","0"
"cc09eab9afdb676783e4771c1a82d0888edd674d","2018-09-19T21:32:16Z","2","4","2","6","1","0","0"
"0afc10c2d6d2dedbf0ba3c7f3ec0d21710efe147","2018-09-19T18:36:33Z","5","126","14","140","1","0","0"
"6f71472cf4056367388eb287c7618615e055a4f5","2018-09-17T23:49:56Z","2","53","46","99","1","0","0"
"b0f423295b4674cb5247a6143fd211b050ef0065","2018-09-14T20:52:29Z","79","164","165","329","1","0","0"
"6cf849a7ceb0b223a497dff02742b2f76e1cbaa7","2018-09-13T00:16:52Z","1","3","3","6","1","0","0"
"ed709ff9ff37e0b7b30be05efb63c1fd3cbb8741","2018-09-12T22:06:46Z","2","233","133","366","1","0","0"
"7270938ebf8a4cfb30f70b298335d0708caef366","2018-09-12T20:30:52Z","1","1","1","2","1","0","0"
"7efbc36c72c265e8df96b5cdc002f2a3ab81b9d0","2018-09-12T15:16:54Z","11","192","176","368","1","0","0"
"c8975e987b1f8a954c62607b7ccaa9d907be10bb","2018-09-11T23:24:44Z","4","12","6","18","1","0","0"
"337b78cd34344d8b06eeddea21d4ff2140c09144","2018-09-11T22:01:48Z","0","0","0","0","0","0","0"
"8fc84daa303b1805625f6994e79aaea0ed7bedc2","2018-09-11T01:06:26Z","3","0","246","246","1","0","0"
"98630f187018a0f765f52953a7bab7eb2a1ee534","2018-09-11T00:45:20Z","2","0","15","15","1","0","0"
"1da3133fdf073b9a045e7f1c8616302c479b146f","2018-09-11T00:45:20Z","1","33","14","47","1","0","0"
"95fd47d747433cc6728c1e4481fc1715433799a8","2018-09-10T23:35:08Z","7","2","212","214","1","0","0"
"e1c6cadb50312f0dc810541b1e245b9adca89709","2018-09-07T16:44:10Z","2","8","1","9","1","0","0"
"189991012bbff42b975c51045c32efceaa07f462","2018-09-06T23:58:34Z","3","232","8","240","1","0","0"
