"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"3f4ac29f9112799a7374a99b18acabd0232ff075","2018-08-23T15:55:31Z","0","0","0","0","0","0","0"
"ca9ae4c288b5f4519f2166f42a2efac64fdd7834","2018-08-21T21:39:51Z","0","0","0","0","0","0","0"
"86ade21078b656506c47d51933af6df921ab5161","2018-08-21T20:12:12Z","0","0","0","0","0","0","0"
"92b617379191bec5bc498830c87b0c143975848c","2018-07-30T17:44:21Z","1","7","3","10","1","0","0"
"d8d8ccb98a80108d4f08f7f5e92a4af5f757a27e","2018-07-30T17:43:52Z","1","11","7","18","1","0","0"
"c1e7e2d2808b042cbe47ca31869ee6ccc62c5417","2018-07-20T21:34:45Z","1","30","9","39","1","0","0"
"67ff7d519826279d2e1f24ae6bf98c0a5b394f2d","2018-07-20T21:18:18Z","0","0","0","0","0","0","0"
"9d44cbc19a73b45971c4ecb33c8d34d673afa210","2018-06-07T01:14:47Z","0","0","0","0","0","0","0"
"35c0ea746874472b5a85acc5f07c859765efb6cb","2018-05-22T03:20:00Z","0","0","0","0","0","0","0"
"5184e717cef322c239b59ea846b89cd5ead423f2","2018-05-22T03:14:49Z","0","0","0","0","0","0","0"
"986d3fb2fa27a117ca0566896f99e7b5a0fd5b2a","2018-05-22T03:08:20Z","0","0","0","0","0","1","0"
"f649e051411e092f0123878e16c5132500a2d01e","2018-05-22T03:08:09Z","0","0","0","0","0","1","0"
"4c685b21a83b754abdf129f2efe9b9129aab8768","2018-05-22T03:04:22Z","2","4","0","4","1","0","0"
"d84e26d80c39e3b8e34c7e8bbef0ffb35e2947b5","2018-05-17T16:41:21Z","4","167","1","168","1","1","0"
"1215841e46f1e90d964d335acbc0d8c9aad43590","2018-05-16T13:39:32Z","0","0","0","0","0","0","0"
"354742088597d78a14672c56325ddb66589f37ad","2018-05-09T20:11:43Z","20","318","88","406","1","1","0"
"a6890bbaba29fb1074388c06bf0c231f8e06b4f2","2018-05-09T20:10:08Z","9","194","71","265","1","0","0"
"57085d621242cdca665e94dbd880738c37b9490b","2018-05-01T18:23:48Z","0","0","0","0","0","0","0"
"f2dd56d98ce7d6ea0c0f7fe9f16be51b2ea26105","2018-05-01T18:21:47Z","0","0","0","0","0","0","0"
"f77615ecff5d5f4f5d3164ea64923840f982876f","2018-05-01T18:17:35Z","0","0","0","0","0","0","0"
"d8857cd615f5b040c479df72384b24af513741b7","2018-05-01T18:15:12Z","0","0","0","0","0","0","0"
"446a3bff8da9bd365f0ee2434e7e7703510e53ae","2018-05-01T18:06:37Z","0","0","0","0","0","1","0"
"9fbebdf990ef40d3f59b02b5b5fccb2f447f8759","2018-05-01T18:06:25Z","0","0","0","0","0","1","0"
"049bf84e6803444282d0ad1c4c43f5359cc1dfe5","2018-05-01T16:57:45Z","3","87","17","104","1","0","0"
"941363f14c8e394ab75a62b4ced4d9dacdffbb6d","2018-04-30T16:54:24Z","0","0","0","0","0","1","0"
"1b28ff3cda251af75b57110d59ae98882c54a1db","2018-04-28T01:54:48Z","1","6","0","6","1","0","0"
"ab35f11077e6a4eb41066ccb4acd8dd1aff28a63","2018-04-28T01:50:08Z","2","31","0","31","1","0","0"
"be23a3aeeb9b5766b92e803d4f001bfaaffa45b7","2018-04-28T01:42:53Z","0","0","0","0","0","0","0"
"bf4789bb1f3e8e3e404ea62cdddf88b83f02340d","2018-04-28T00:26:50Z","0","0","0","0","0","0","0"
"91cb49e7ce81baee4e51dcce45e1e043c7e38e0c","2018-04-27T22:47:42Z","0","0","0","0","0","0","0"
"3bc566b22650198499d204f9b792279dc8141441","2018-04-27T22:42:25Z","0","0","0","0","0","0","0"
"7dd379ffe17582d9114adf394944e1af8cdc0698","2018-04-27T22:34:26Z","0","0","0","0","0","1","0"
"4ed639e88291228b384201ea60b9a0b433e8bfa8","2018-04-27T22:34:15Z","0","0","0","0","0","1","0"
"7fb3960afff331deac857d801970fe50a385ff39","2018-04-27T22:30:35Z","0","0","0","0","0","1","0"
"0cf6c4dd1fe434cc50b70b8ee007bf09688a522f","2018-04-26T12:34:31Z","6","0","0","0","1","0","0"
"bdea5b9e99012eacf1a7f35f5f23733c9caf8a89","2018-04-26T07:23:15Z","6","0","0","0","1","0","0"
"bff1027df2aa0374ee92d212b087f6c8672fb19e","2018-04-03T19:19:04Z","0","0","0","0","0","0","0"
"4081dbaa6da4b5e14df5ac5eae23196b14827b8b","2018-03-17T23:00:46Z","1","21","7","28","1","0","0"
"8445689e4d1159298179580b4e260ed23bb2b9bc","2018-01-03T19:08:50Z","6","161","3","164","1","0","0"
"fb7ab06f074783251b5e4b087269a5b4288e4148","2017-12-29T19:35:11Z","0","0","0","0","0","0","0"
"0aaf5ff408a54eb7dc238d3569b5d1cef9273047","2017-12-29T19:14:43Z","7","263","57","320","1","0","0"
"c744ccd51cdea2e92b3e06abc44336943281cddd","2017-12-28T03:14:16Z","1","4","2","6","1","0","0"
