"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"f66083d9333faf37216855a2ba51be765758b0d3","2018-09-22T21:29:07Z","24","167","113","280","1","1","0"
"344728b906daf6d010f66bdf4ccc29ad8fedede5","2018-09-22T21:25:59Z","0","0","0","0","0","0","0"
"50142e8e40a5a7f50f7ab9d973e199aa9812bd66","2018-09-22T18:31:50Z","0","0","0","0","0","0","0"
"700f64e417bcee8a9fc241e929047e04e1a38cae","2018-08-22T20:26:40Z","0","0","0","0","0","0","0"
"9ec3683f13858f16385874218ef4eb9a8fe1d4b6","2018-08-22T20:00:00Z","0","0","0","0","0","0","0"
"2c39f4ef6994e2a25fcf51efc696d8a915e61042","2018-08-22T18:56:06Z","3","4","3","7","1","1","0"
"5615de0833d71ef4335441fb417a76921e0e9630","2018-08-22T17:34:02Z","0","0","0","0","0","1","0"
"c805bfbd0059a08929030140ec7421f5ebd86afb","2018-08-22T07:40:07Z","1","2","1","3","1","0","0"
"a6b6960d73a1da9661f4e85254570bf5f867f954","2018-08-22T07:39:29Z","1","1","1","2","1","1","0"
"3ce30bdf3a694abdd278767ce5ef6742e603ff8e","2018-08-22T07:39:29Z","1","1","1","2","1","1","0"
"f357a3a5d2b40dbd8e768b0670a4dbff5beeab29","2018-08-22T07:39:29Z","0","0","0","0","0","1","0"
"be973f5f5da6a3516aedab98e639690697617747","2018-08-22T03:15:15Z","1","3","3","6","1","0","0"
"2942adf6179dbe7a6c9256ed81e7d31936232206","2018-08-22T00:22:55Z","1","3","3","6","1","0","0"
"3c37da8b609bac9c9c97b55134ff448371dfc274","2018-08-21T22:18:56Z","1","11","0","11","1","0","0"
"cc7757f35e3d6e41051455e8c1b9cabed96cb886","2018-08-21T21:57:47Z","1","11","0","11","1","0","0"
"b43c279b3e1623c193e1dc81955527f70e93f822","2018-08-20T13:52:47Z","0","0","0","0","0","0","0"
"5d8462be93cdfd2db3302c72f7e38fa40462797b","2018-08-20T08:56:23Z","0","0","0","0","0","0","0"
"3a66647752c6bfb2d91a63b992ca9de9dd5e3352","2018-08-07T12:08:16Z","0","0","0","0","0","0","0"
"1724c82e1c008c2ca4008950a57d6a1977e794c8","2018-07-26T18:14:19Z","1","30","0","30","1","0","0"
"58de9298d490986a5126ac1b3243515152aee416","2018-07-26T17:47:34Z","1","30","0","30","1","0","0"
"9b3f786c29a29463850661d667077fe93273f11a","2018-07-26T17:24:01Z","1","2","2","4","1","0","0"
"3b4ebe3e2571377f93e9a6976e021324502a0f78","2018-07-25T18:31:55Z","1","2","1","3","1","0","0"
"7c04ae3ca7e37d7c35c259ef3eb6d8eb29e28b67","2018-07-25T16:49:35Z","0","0","0","0","0","0","0"
"b70931bd7b603d0b1b1e7147ac265b4dcb39f9ab","2018-07-25T16:39:17Z","1","2","2","4","1","0","0"
"e4778b25f2c6e65ebc485d255e38586c7d45ec97","2018-07-24T18:24:59Z","1","2","1","3","1","0","0"
"dfedc986d773e7187865ea96c7d9604982a79292","2018-07-22T00:21:00Z","0","0","0","0","0","0","0"
