"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"c942c61d5f8e8cf90e91ce3d1414d61cf9b4845e","2018-09-28T19:47:41Z","1","6","4","10","1","0","0"
"c3cd1f860e0afc3d23a61bc0b523defaf094ce3a","2018-09-28T13:31:08Z","1","4","4","8","1","0","0"
"7491e2b9a89db28e6e36fcf20c278b846ebd4984","2018-09-27T14:02:24Z","2","14","12","26","1","0","0"
"aa0d30e2dadbe36d4b549aca3c99c3725333815c","2018-09-27T13:42:14Z","1","14","16","30","1","0","0"
"1dcf944a5654acc7add05c9548978a4a6c643a97","2018-09-27T12:25:30Z","13","162","167","329","1","0","0"
"f43307f1221663100e42e9629349d6531135ddf1","2018-09-26T23:25:13Z","4","10","2","12","1","0","0"
"a49aaf3cb3efd85bb10209025ea37cd63c517f76","2018-09-26T22:56:14Z","19","27","0","27","1","0","0"
"8c705fcb39ec55dc14b0308379344a2181dd6adc","2018-09-25T16:20:14Z","1","1","1","2","1","1","0"
"265cab63978890ddf94bba899b3b353a3fde284d","2018-09-25T16:19:08Z","1","5","1","6","1","0","0"
"fcb942ad1ce3b35e00cb63b27df10efa5de6d845","2018-09-25T16:17:42Z","1","4","0","4","1","0","0"
"6e135491c7bcacccf07b15d8d93ed116204fa3f7","2018-09-25T16:15:39Z","2","15","2","17","1","0","0"
"e8abed6e0c67829e30e23e723f42ba07217ca98a","2018-09-19T07:17:15Z","3","19","12","31","1","0","0"
"5209cc98e0f89b46aa240874bfb1a028e357bb73","2018-09-19T06:45:51Z","0","0","0","0","0","1","0"
"86fc16aa0de013fcf8b70cac7b7d4b270dafc7dd","2018-09-19T06:43:23Z","0","0","0","0","0","1","0"
"ad3d6b69e5b510a545bd06569594392c03b3b032","2018-09-18T11:47:30Z","1","1","0","1","1","0","0"
"24e2c9943b6b976bc61e0392a841d6c6b394361b","2018-09-18T11:47:30Z","3","814","704","1518","1","0","0"
"71a9eda7f3e34398deffbda425f9451d6a708f6b","2018-09-18T08:55:44Z","1","9","1","10","1","0","0"
"24a8273fd9111d8299d4950377a501da1631b64a","2018-09-16T21:34:33Z","1","10","5","15","1","0","0"
"2e42f6308f7caa2cedaaf10b35cb6b79f9227a8e","2018-09-13T10:19:22Z","2","37","17","54","1","0","0"
"3d2af7badbcd118c57747a792cd4bbc91f001bdd","2018-09-13T10:19:22Z","1","7","3","10","1","0","0"
"a0eea20b1cc99c96d9dcd61f4522b1775e953d3e","2018-09-13T09:36:52Z","0","0","0","0","0","0","0"
"084c0cceb7bc96288111d42f9ff34a33254283a2","2018-08-30T22:22:06Z","0","0","0","0","0","0","0"
"6ec32146c53a43290bba1af40bb9714cd2439fe3","2018-08-30T22:12:47Z","7","34","49","83","1","0","0"
"2f70d64a6cd7964dfbf9af60bac4983cf96316d1","2018-08-23T13:04:30Z","1","1","1","2","1","0","0"
"e2f69141eabbdba6201c4f0e69123bae81184aa2","2018-08-21T13:31:31Z","2","45","16","61","1","0","0"
"63b7f0d065c51b125f53c90c1c61e2eda9068929","2018-08-21T12:44:25Z","1","2","1","3","1","0","0"
"0a16b1e6117d2c47253322c5c3623126dbb6528a","2018-08-16T01:23:20Z","3","70","61","131","1","0","0"
"e913ca6b127dee04d8df6bd2840b348657893022","2018-08-15T15:23:00Z","1","1","1","2","1","0","0"
"7fb2a8070696dd8392f199c9f67b42c245cb32f2","2018-08-13T00:24:43Z","1","8","1","9","1","0","0"
"2bc16a08961dd303afe2d1c8df96a50d8cd639db","2018-08-11T13:37:09Z","2","25","3","28","1","0","0"
"0264eee6448e9a9ae47a3d770125b795efcec6ca","2018-08-10T12:30:03Z","1","16","8","24","1","0","0"
"65fd2fe17115710c035793e7605c69847e54d8bc","2018-08-08T16:51:35Z","0","0","0","0","0","1","0"
"7cd0e50a6c399a90f242f34406a9154767e7346f","2018-08-08T16:49:45Z","0","0","0","0","0","0","1"
"b55146da161154081a88ade6ce44474f7d982078","2018-08-06T18:09:21Z","1","1","2","3","1","0","0"
"6f1daeb59a251f4b4ca368aa5bbffd81213a0f91","2018-08-06T11:19:01Z","2","51","9","60","1","0","0"
"87a571eefdb316ab23f0de4b51c3bbd4f4fc723d","2018-08-05T21:59:55Z","1","1","1","2","1","0","0"
"62773d804463ceecdb53d87aa8d02025ae3ef2e5","2018-08-05T18:22:14Z","3","50","13","63","1","0","0"
"53cef477c9ecbddd426b9e04a32013c40640de60","2018-08-05T18:22:14Z","1","10","4","14","1","0","0"
"4743eab14d88e8998c080f46b3807ac56c73f17a","2018-08-05T18:22:14Z","1","1","1","2","1","0","0"
"fc7822f1ee54fe2b2904da14bdd40544b672bba2","2018-08-04T14:46:20Z","0","0","0","0","0","0","0"
"8f00bbf22c7119e53f2c10d85cc12d1554127ee3","2018-08-04T14:42:54Z","1","0","9","9","1","0","0"
"64f2d9d08223f67a2cf64e2c8daa1fc4839d158f","2018-08-04T14:35:21Z","2","139","7","146","1","0","1"
"0273c2288d39777528ece72ffa47c0b8790b42ab","2018-07-30T22:30:57Z","1","1","1","2","1","0","0"
"04d8645c7b08c84d25a5b14b0f20d4599feb2547","2018-07-30T21:49:05Z","1","6","6","12","1","0","0"
"9af9b2df166f46d44661ea20557c4a9df7a9b3da","2018-07-30T21:48:38Z","1","1","1","2","1","0","0"
"96db851b62bd966881e59824cc0635175611d380","2018-07-30T21:48:10Z","1","4","0","4","1","0","0"
"56bcbace6b94af3e71884ddd742b24b276515ea8","2018-07-20T17:42:36Z","3","18","4","22","1","0","0"
"a3aa9ac91f6be6b4d36ae21c99fcdfe9fb825b7e","2018-07-20T17:39:18Z","1","62","60","122","1","0","0"
"93fee6bbdc6faf00c09fa99dca885091177a57b4","2018-07-18T23:54:34Z","1","0","6","6","1","0","0"
"4b52e5d010469405c1ec24baa2f8457f3eada222","2018-07-16T17:53:05Z","1","16","16","32","1","0","0"
"1ac90bbe54871a0d2b0dd5839ba64e7ce7dc401b","2018-07-16T17:35:15Z","1","19","19","38","1","0","0"
"59c37a0ab66dcb938d1a266158e4e0d4929e575e","2018-07-16T17:27:14Z","2","45","10","55","1","0","0"
"546d8789e72ab1aec2456ec20f8c935101757d5a","2018-07-16T17:27:14Z","1","21","4","25","1","0","0"
"c99f0dd2970346dd732ce2b9de31ca285bfdb3d7","2018-07-16T15:14:34Z","0","0","0","0","0","0","0"
"e8d8b486108e01cdd35515aa8632393ddcf501e7","2018-07-16T15:13:22Z","15","175","41","216","1","0","0"
"2cd2e7084c7545dd92232b78e2fb50eeb1d7b54a","2018-07-16T15:10:25Z","1","2","0","2","1","0","0"
"d7bf16a8908a5ce3fb602b6c8d35491a49084320","2018-07-16T15:08:46Z","1","2","0","2","1","0","0"
"92519461f233e6b78b65570c32ae8918c93a1b4b","2018-07-14T14:29:36Z","1","48","26","74","1","0","0"
"aa0cbc52417eb705004c0a94361b6777c1bf8636","2018-07-13T12:20:26Z","1","17","0","17","1","0","0"
"88c0c31d97aeaf3dc2b2e9d929899fc3f2b44c4a","2018-07-12T18:01:29Z","3","4","1","5","1","0","0"
"c72eb271eecf4c242acce359a63056a434edb015","2018-07-12T13:45:37Z","2","2","2","4","1","0","0"
"0d02acb765797888efc89cb3bdf30e7616007629","2018-07-12T01:05:02Z","2","2","0","2","1","0","0"
"be7dd8aefa1e991d8a817f8ed3233d1be5c31154","2018-07-12T00:59:27Z","2","14","6","20","1","0","0"
"c6a96bfc475702c47750e233657565ac9a1c7743","2018-07-08T20:44:40Z","1","10","3","13","1","0","0"
"c34a344a35b1e2aaeb3635f3599a782a2cbdf332","2018-07-08T20:26:14Z","1","2","2","4","1","0","0"
"5268da38a22663c8bbf4aff71d29ed47011fb58f","2018-07-08T20:26:01Z","1","27","5","32","1","0","0"
"ad1fecfb82efdd6dc33639e430f6d72939e25ef9","2018-07-08T15:54:13Z","1","8","5","13","1","0","1"
"364ac01c02cc0a0984f4ed206d4458a71b8e56e6","2018-07-04T02:27:54Z","2","137","139","276","1","0","0"
"325c520ab6571ecd6aa0f8d344aaefb1b473824a","2018-07-04T02:27:22Z","1","5","0","5","1","0","0"
"1b4a90a82421a91c5389d4a728f1f00f7a3d8f90","2018-07-03T01:10:21Z","1","4","2","6","1","0","0"
"c553fdd8c030c4f82fa5bd02d0020418220c65b5","2018-07-01T10:57:13Z","2","18","9","27","1","0","0"
"4b4e8fce289fee0e18d7134bbe4e881e22aa66ef","2018-07-01T10:49:15Z","0","0","0","0","0","0","0"
"8e7e5cc5c611c71024ebd2ba1d77707f982d0e21","2018-07-01T09:48:23Z","22","38","38","76","1","0","0"
"3660ab3739ae3fee336cfb108f728f5b2d993bd0","2018-06-30T20:35:51Z","22","84","82","166","1","0","0"
"8137a93032f51a5e0610162160a66c7b03ff28cd","2018-06-30T20:31:01Z","1","2","2","4","1","0","0"
"01025e134d8e3596b87a65e26da841117896ee8a","2018-06-30T20:30:29Z","1","8","6","14","1","0","0"
"2bca8e5b4f9724673523410d30cdb7908f3c4c9a","2018-06-30T14:46:06Z","1","22","18","40","1","0","0"
