"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"3fe9162b695c89e9fb4758e9548d0df2957d6ddc","2018-09-07T14:21:48Z","0","0","0","0","0","0","0"
"8e439b7c890d914152dd878394fc39bfad13b660","2018-09-07T14:09:22Z","2","4","11","15","1","0","0"
"756237218907d21f43fd946acd419f159292a850","2018-09-07T14:09:22Z","3","34","71","105","1","0","0"
"5f39050f26e4b2e5bbb47e6d22498a4f1e112fc1","2018-09-07T14:09:22Z","4","23","60","83","1","1","0"
"7a5a0459f8765b4b528eee70f7412dbb07228988","2018-09-07T14:09:22Z","2","48","46","94","1","0","0"
"bf1015cfc970d7b325bf38f2ab9f310b5f734b02","2018-09-07T14:09:22Z","0","0","0","0","0","0","0"
"2f7a34cb9898449a0f9de6a56c79b0ee5340dc71","2018-09-07T14:09:22Z","2","89","9","98","1","0","0"
"a4f75d3af27901fa8aedf585453907dc45d553f9","2018-09-07T14:09:22Z","52","4523","4534","9057","1","1","0"
"5977ffccb587139c8b1ecb6702e6492b79038ff3","2018-09-07T14:09:22Z","1","32","6","38","1","0","0"
"48b38a6f407f8ab18ce88fc53f40872510d23de1","2018-09-07T14:09:22Z","0","0","0","0","0","0","0"
"93b662afb81722c07bd1e9f9618a0c3cd7d40c90","2018-09-07T14:09:22Z","5","73","39","112","1","0","0"
"347c7effdb13836c51192fe65554c8e5c0ff027c","2018-09-07T14:09:22Z","36","652","830","1482","1","1","0"
"f1e48378b8b54924a62344a92ec21dcd79eedc45","2018-07-24T20:47:30Z","2","33","4","37","1","0","0"
"9e1581a2920546eca99b10af9583b4d4a8cc33cb","2018-07-23T20:22:31Z","0","0","0","0","0","0","0"
"ad3631d945a44fde64094eb2cd2a144205c33a78","2018-07-20T14:15:56Z","2","23","12","35","1","0","0"
"ae92c76243f9b5a969ffcd45fee5c6c4fac41158","2018-07-17T16:15:12Z","10","40","91","131","1","0","0"
"0cfa25d226451a947061c514e4caf1d38071045b","2018-07-17T16:14:51Z","3","202","71","273","1","0","0"
"abe4d58d6eeb0dc0441007fe1f8760bce3c7f259","2018-07-16T19:18:38Z","1","1","1","2","1","0","0"
"b6bb7b74852a0851d7510515afa575e1c6219c97","2018-07-16T18:23:35Z","1","1","0","1","1","0","0"
"da7efce33b2ff3bb63d8033616597f3b3b67ec3c","2018-07-14T04:39:33Z","4","131","2","133","1","0","0"
"c3bfa76f93675be524370adc583ef9acb778972d","2018-07-06T20:37:02Z","0","0","0","0","0","0","0"
"7568eb8f978616e1af4e3104e71f432cc5536cbf","2018-07-06T20:28:02Z","0","0","0","0","0","0","0"
"903f8551b142c371ecfa547bdc2684684b713c5c","2018-07-06T17:19:42Z","1","20","9","29","1","0","0"
"95461fe0e5a51f58edfbccd7796a4f1b12956efd","2018-06-27T21:55:36Z","5","83","27","110","1","0","0"
"01c1c79706c51ce3a80d84ab6c43d3bd5eadb0e2","2018-06-27T21:31:53Z","1","2","11","13","1","0","0"
"96f0402eb5cdc04b446f2d7371f4be970b04d4a2","2018-06-26T15:22:54Z","1","9","1","10","1","0","0"
"308afd541837ee6f8af8a0b19fc7874145c62e7b","2018-06-26T15:20:45Z","2","12","6","18","1","0","0"
"23838a53c7450033fc45a2b52b4309025d3d0c7d","2018-06-25T20:38:38Z","1","11","0","11","1","0","0"
"7c9a685ba98f2c34e5b74e199d5bca813890855b","2018-06-22T21:36:17Z","1","6","3","9","1","0","0"
"afdf1c1debfcec71e8048e60dab6e709e5df8fc5","2018-06-22T21:21:44Z","4","9","6","15","1","1","0"
"df6af718b30b1558c9b519fe5bb3ad119f068062","2018-06-22T18:29:56Z","1","3","0","3","1","0","0"
"13692566b5fa10af5464b2b9d3c5f8020a53e123","2018-06-22T16:22:16Z","4","45","0","45","1","0","0"
"99382b3bbb2b73aebd228aea698a7b2da3b92c30","2018-06-22T16:11:02Z","1","4","0","4","1","0","0"
"28afa92143094ae982d9226278ecdd0362c0394f","2018-06-22T15:56:36Z","7","62","16","78","1","0","0"
"c504fa8c793fff2e15894cfe466ce6f8e4d698ba","2018-06-22T15:41:51Z","3","3","3","6","1","1","0"
"73ef677f4205b7afb1cbc12464ab80103789ce90","2018-06-20T20:08:19Z","1","1","1","2","1","0","0"
"1838e9499bb17c9094fd492289ca91fddec0ad2e","2018-05-16T17:41:38Z","0","0","0","0","0","0","0"
"4fe5ff0962cb141c5b5edd9274dafd331390a950","2018-05-16T14:29:49Z","0","0","0","0","0","0","0"
"8d8c60306f0670957a786b1a4a3a0e3e66c45f36","2018-05-16T14:26:40Z","0","0","0","0","0","0","0"
"af8fb557af31df9b4ba2c967a15f1a2f24b39e6b","2018-05-15T22:08:31Z","0","0","0","0","0","0","0"
"48403ea1aea401a017fa30e24da62436c1254dd2","2018-05-04T13:50:43Z","0","0","0","0","0","0","0"
"875b6e29bb50d65451ca3b1414ed57ecb15a8c9f","2018-05-04T13:49:38Z","5","12","36","48","1","1","0"
"60a8cdb523bc2fc09e5a712ac7a5de7d02b08d88","2017-05-16T18:34:56Z","1","3","1","4","1","0","0"
"cc2c55da79566cb027639383bf6493690e4e83a9","2017-05-16T18:18:03Z","10","22","22","44","1","1","0"
"5502e1001a20a2f7db57662488256559076a4565","2017-05-16T17:42:14Z","10","22","22","44","1","1","0"
"d13b73f8652a8b661773f797f9c3760d7cb1dec5","2017-05-16T14:26:46Z","0","0","0","0","0","1","0"
"5bda5091269d4831215c7aabd00d1f681be05114","2017-05-16T14:23:02Z","1","3","1","4","1","1","0"
"8d6c60cf5557599a226c49af8ef7a165423b6227","2017-03-20T20:25:29Z","0","0","0","0","0","0","0"
"f149963c0c9cbe924408b65447c15b8f086f0316","2017-03-17T22:05:11Z","0","0","0","0","0","0","0"
"aa46d16b5934d035518a03b933ed1c3568ae8208","2017-02-27T00:40:48Z","5","139","23","162","1","1","0"
"cf33c92f68e35dc5667d846784c7e9a906b905d8","2017-02-21T17:30:11Z","0","0","0","0","0","1","0"
"452a1180df0f7bd8fd4044c8339b3fa8e640711d","2017-02-21T16:59:13Z","0","0","0","0","0","1","0"
"c210955e5d4c41651c6075f627f7380875f887b6","2017-02-16T22:30:25Z","2","25","23","48","1","0","0"
"6fb973054e78e7f4246fbbf069757a50b358bf7c","2017-02-16T13:51:24Z","4","54","7","61","1","1","0"
"30da68be5d08cbc111b8596b1671f35e4fdd90b6","2017-02-15T03:59:03Z","2","18","2","20","1","1","0"
"a97c138c139aa8137b770773b6577651ab2a44f4","2017-02-14T22:54:22Z","2","2","5","7","1","0","0"
"454b27611e3551717155b6854814d195bd24247b","2017-02-14T22:46:00Z","1","2","9","11","1","0","0"
"1795c1b16a1cf39a65816893c9187c646f3b20c8","2017-02-14T22:43:47Z","0","0","0","0","0","1","0"
"46dbe98886dc97837bf257a3b295a3ca3064606c","2017-02-14T22:13:24Z","2","36","5","41","1","0","0"
"57ee7b1ab3d91e9cebe729716f1f3699e277ea7a","2017-02-14T22:02:51Z","1","9","9","18","1","0","0"
"8aff26c4b004eab74af6c57b5fb6da4cd66fa34b","2017-02-14T22:00:37Z","2","20","18","38","1","0","0"
"bfbaaed642f4ac29f4f8a27e8f433caa8233e2e2","2017-02-14T21:21:15Z","1","4","4","8","1","0","0"
"d10f2733322a00dfce8f758629ad6e87d9626936","2017-02-14T21:02:17Z","8","265","26","291","1","0","0"
"93e0a21d0041f21e5a984663b04f8d753ead3f39","2017-02-14T20:57:32Z","1","3","1","4","1","0","0"
"1a752b42ed5380f17d564f3eef782953402053d6","2017-02-14T20:56:54Z","1","12","5","17","1","0","0"
"6c6a88d892d02b1c19e81952cf94b3eee8f031d7","2017-02-14T20:56:15Z","0","0","0","0","0","0","0"
"7ed62b36160d93fad880cd365bb3716bbedbcb30","2017-02-14T20:21:51Z","2","59","0","59","1","0","0"
"d6df0add08751d3feb142c350c57a57aad2094ff","2017-02-14T20:09:56Z","1","11","5","16","1","0","0"
"05f77dea34cde37d684154ca87ece2a5c7bdce23","2017-02-14T20:04:27Z","0","0","0","0","0","1","0"
"23c87cdcd2343da49d6d10b260faef3a8f2da3e1","2017-02-14T20:00:52Z","2","59","0","59","1","0","0"
"28a1fa959571b529cd8d5de84606eb62fd85cefe","2017-02-14T19:47:31Z","0","0","0","0","0","1","0"
"b7f8600c8064178ae010cfc8da8cfc46aff317e1","2017-02-14T19:24:02Z","1","3","1","4","1","0","0"
"a231a8b72f220bf0e3680e4d53f50ebf6f28731f","2017-02-14T19:10:10Z","1","1","0","1","1","0","0"
"47dc8f7d3a480b5038aa17425a2fec4eef4dc0f6","2017-02-14T17:48:02Z","6","196","25","221","1","0","0"
