"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"7aa9aa9769ff896d70a18a845a1e0520799d048e","2018-04-24T11:29:50Z","1","186","0","186","1","0","0"
"2edf89c021cee86a41418f6a8b9886d9f98c179d","2018-04-24T11:15:32Z","1","14","10","24","1","0","0"
"62bcd2afe5fffff2a39cf03f5972e6eded803af4","2018-04-24T11:13:31Z","5","173","0","173","1","1","1"
"d2048d9027a6016b9a94c08b04d81bb6c2ce2d54","2018-04-24T09:59:34Z","7","267","36","303","1","0","1"
"d52964a83b56d13801609bd7beeeb18017891cd6","2018-04-16T07:23:44Z","3","431","0","431","1","0","0"
"108289af5ad4be41fc01e3b794a970816bcbb434","2018-04-09T17:21:12Z","0","0","0","0","0","0","0"
"2b0e7648ec0da39c05d020718e7bd59d65ce8296","2018-04-09T17:20:27Z","5","160","8","168","1","0","1"
"feb85b3a1e41380888d3b01ff25bb14cdd736ab1","2018-04-09T17:19:41Z","5","160","8","168","1","0","1"
"513d1e96da1e328634f533483c5e1af5013f7a0d","2018-04-08T20:53:52Z","1","2","1","3","1","0","0"
"5f3b50499e6e2b33a7f837543940b2761bdfde14","2018-04-07T11:21:37Z","1","3","3","6","1","0","0"
"eb2f9904a1f3665b0d67961a50bda381a9f19335","2018-04-07T11:21:21Z","0","0","0","0","0","1","0"
"11bf347d47966aa2f3f0bbc0d62126262528fc49","2018-03-17T05:18:22Z","1","3","3","6","1","0","0"
"08a7c16bfc05ae699139e9344b26bfdfa7286919","2018-03-03T17:05:26Z","1","50","0","50","1","0","1"
"0b97c268e9b888a22c2ae28346dfd831768759e0","2018-03-03T17:04:39Z","6","524","378","902","1","1","1"
"3c8f8f86465d1d8a3d0dc224732037916f74e657","2018-03-02T13:58:29Z","1","95","0","95","1","0","0"
"1f2e792f3b5a019b07588237b41bfa029241c385","2018-03-02T13:52:34Z","1","3","0","3","1","1","0"
"20c46cc9d5af0c98c77223b8ce72b20831b6a2ed","2017-12-17T13:32:13Z","1","1","1","2","1","0","0"
"083a56684b134931725e0c55fb4c78d91da66188","2017-12-10T11:00:12Z","0","0","0","0","0","0","0"
"200a7d1c8aa33f5ab62c9c7870f069e8199a86df","2017-12-10T10:58:39Z","0","0","0","0","0","0","0"
"c1d98e4857babdbfa83b54775d0944b6baa097b7","2017-12-10T10:57:31Z","0","0","0","0","0","0","0"
"dd6f1e677484a1c511b9ac5daa10d614573f003e","2017-12-03T10:03:32Z","15","87","128","215","1","0","0"
"a77f3244267f53a808e2c49304ac814223180bc5","2017-11-29T00:17:27Z","0","0","0","0","0","0","0"
"086f2296376b7eaf10c8b851195b3193aed53cc8","2017-11-28T13:33:04Z","0","0","0","0","0","0","0"
"52dfe22106d2c908f02fc4b8afe2c5969e53cf33","2017-11-28T13:03:52Z","66","2310","844","3154","1","1","1"
"fcfefecb9c82a24856f06b572bd73e704d972e69","2017-11-28T12:59:29Z","3","134","126","260","1","0","0"
"6a54542dc3e63180a9563f343bb8dd0ee28d6008","2017-11-28T12:33:41Z","1","50","0","50","1","1","0"
"de117810d05b51dd31b743daf472dc94c9cf8d82","2017-10-30T18:42:37Z","3","6","6","12","1","0","0"
"5eea068d8c7153e076df231c148f0ad5a76f50b9","2017-10-24T05:59:57Z","0","0","0","0","0","0","0"
"405c74d4379ac624709e84a81e5da60d341d9630","2017-10-10T08:59:48Z","0","0","0","0","0","0","0"
"6408d4c5752fb8dedb49a9abf04ef5a925bb944a","2017-10-10T08:59:02Z","0","0","0","0","0","0","0"
"194d504a3db3337f47c10030666114c19e4e0ef2","2017-10-03T09:29:45Z","2","3","1","4","1","1","0"
"bb7590a18b07e016db8d3b4846947a8e5030fe54","2017-09-11T22:21:17Z","1","28","25","53","1","0","0"
"5cc03683093a3a84ac854a65a23cd52a280da436","2017-09-11T22:03:14Z","3","82","58","140","1","0","0"
"f7924be4ed2e1af0f226030606cf64aa6ba23684","2017-09-11T18:41:50Z","5","147","77","224","1","1","0"
"1582e383672478c66c358814dec6b92978a4f3b2","2017-09-11T11:55:24Z","9","167","88","255","1","0","0"
"8f9f84b80708b542e3b83b80d88519332a300bd8","2017-09-10T22:00:24Z","6","196","13","209","1","1","0"
"69f888d10fe6def7c405e607b4a1f48c720749bc","2017-09-10T18:42:54Z","12","424","211","635","1","1","0"
"bfd324a0aeae7ab18bba4e9075401379b45eff65","2017-09-08T10:33:39Z","1","79","38","117","1","0","0"
"061cdbf254424e3eca6a36e8345a2cffad81a7af","2017-09-06T13:04:11Z","6","150","123","273","1","0","0"
"9f0f0c2926f1afb9c47871e9238bc13c62ab49c7","2017-09-06T08:39:14Z","3","21","12","33","1","0","0"
"062a609cea36b8e0e97ff49169f325ab659387e5","2017-09-05T14:21:10Z","0","0","0","0","0","0","0"
"a6a4b60913901cc68bd000c71f307cdf3101da78","2017-09-05T14:10:55Z","5","230","6","236","1","0","1"
"a1e41cf846241a2e4834b1788c44a8edc5250e80","2017-09-05T13:39:01Z","3","51","34","85","1","0","1"
"125daecbfd0650a6e93bf4704c23a3fe38f7a5b4","2017-09-05T11:20:01Z","13","149","171","320","1","0","0"
"31e88a53d718fb8457bf037279c6d720b41d9bd4","2017-09-04T19:11:03Z","0","0","0","0","0","0","0"
"1b80bb30c68ad68d48646ca60cb55fbabe481e7c","2017-09-04T19:09:59Z","1","12","8","20","1","0","0"
"4d77b3637fd597ae7db8afce9bd00c957c341ee6","2017-09-04T19:02:43Z","13","214","138","352","1","1","0"
"417fcabfe9cf3ebfa51b5044c3b76144f8d5e22a","2017-09-04T12:23:04Z","1","1","1","2","1","0","0"
"e9462d1011b2acb3e3d6b6605fc17cc5496778c6","2017-08-15T21:49:45Z","1","3","3","6","1","0","0"
"d11af030abcde427c085ea779ab84b2b13322f96","2017-08-07T00:18:51Z","2","2","2","4","1","0","0"
"95f8fe20ff337eae58076af3636874e9391a21ff","2017-07-12T22:26:54Z","0","0","0","0","0","0","0"
"5be788508f65d254440cb7ce274272fc3ee7c639","2017-07-12T22:07:42Z","0","0","0","0","0","0","0"
"29b6255d282bf2e1d1f3606a15d3be5b4df07ee3","2017-07-12T12:10:28Z","0","0","0","0","0","0","0"
"dc51d4093bc1a12148b4480480523f10738cd5c2","2017-07-12T11:41:35Z","0","0","0","0","0","0","0"
"eb7fc3ae97dc5f9e5463543feff30d0f7555c8e2","2017-07-12T11:29:02Z","0","0","0","0","0","0","0"
"da70e84643754760a8d667bf9c76f51b90fb1e61","2017-07-12T11:24:16Z","0","0","0","0","0","0","0"
"03b2a682e977e64479b705a565dd078caf2accd7","2017-07-12T11:17:39Z","0","0","0","0","0","0","0"
"c1bc3c9ab15093ccd301cf557a0818b9aed8d78f","2017-07-12T11:00:10Z","0","0","0","0","0","0","0"
"b14a2855fc4dc4b1fc753f5250d728c0c44522dc","2017-07-12T10:49:41Z","0","0","0","0","0","0","0"
"a918fc4a58173da6567d55877d4ac99f303badbe","2017-07-12T10:46:55Z","0","0","0","0","0","0","0"
"473784de19a9e415362f6e32596c6e5c3d779856","2017-07-12T10:35:12Z","0","0","0","0","0","0","0"
"f9547053caee1fce1fd09780c8feeeae19b6c21b","2017-07-12T10:18:18Z","0","0","0","0","0","0","0"
"ea2f1dc9a0d08e2af5a24d24b3b016eaf4fe66a1","2017-07-12T09:51:21Z","0","0","0","0","0","0","0"
"5ebe58ed1712763ca09b1433383ccdecffd783a6","2017-07-12T09:47:41Z","0","0","0","0","0","0","0"
"08107fad4117f7a5d03c90067e2e91fc5178a4b8","2017-07-12T09:41:16Z","0","0","0","0","0","0","0"
"2509f5b8f4a6179e0e4021f3b7284ad8acf76ecb","2017-07-12T09:35:55Z","0","0","0","0","0","0","0"
"1c818b79712bfa47082fdb311943b2e53307e401","2017-07-12T09:27:07Z","0","0","0","0","0","0","0"
"73243596289a21a89c1508a556df3b358ab071cd","2017-07-12T09:05:56Z","0","0","0","0","0","0","0"
"72506e32ff33bf88f940844d768dd2155bd7bf67","2017-07-12T09:03:23Z","0","0","0","0","0","0","0"
"3c99789d370f3b0990fa5882f80820692bfa2213","2017-07-12T09:02:28Z","0","0","0","0","0","0","0"
"9d88b971bd7fb6222ae2bc0ce841a8051f9fc0c6","2017-07-12T09:00:33Z","0","0","0","0","0","0","0"
"99f1c3b9557fc0fe8588eebbb46b18c029ff732b","2017-07-12T07:55:31Z","1","1","1","2","1","0","0"
"0ec4b0639484981bdc8fea52f3a8aa9c28d1128c","2017-07-12T07:55:12Z","0","0","0","0","0","0","0"
"f6a2356ca456affc6f10cd8c2a3ec30ea2964031","2017-07-11T21:46:50Z","9","459","1","460","1","1","1"
"1c42f9578050a99247bce01b52d8a68d934fb6ed","2017-07-08T21:08:04Z","1","1","1","2","1","0","0"
"74866a810a3a14489cb440e451e645e1a037abe7","2017-07-04T15:21:00Z","0","0","0","0","0","1","0"
