"sha","date_commit","number_changed_files","added_loc","deleted_loc","total_loc","source_code","build","test"
"9cf50bf9b751b40778f473f3b19fcfe2c4d40599","2018-01-05T19:36:22Z","1","1","1","2","1","0","0"
"d66b8fc51b3a9caa8f4aee98b3cd4af0658fd49b","2018-01-05T19:34:15Z","0","0","0","0","0","0","0"
"9f09e3610b68d3e3be1df59eaad27599df26ab24","2018-01-05T19:31:55Z","0","0","0","0","0","0","0"
"7b2a09bdf7a64afa358e17acc173f7063aa00d72","2018-01-05T19:29:13Z","0","0","0","0","0","0","0"
"2f1516656c37f97a1ebcc4eb8f3f06540222f0ca","2017-12-19T12:21:01Z","0","0","0","0","0","0","0"
"9825d68ec6e38eb17c650a0fd5bee98f13dabff7","2017-11-27T04:04:49Z","0","0","0","0","0","0","0"
"76bad970e900810e0e77361856c8115b1159830c","2017-11-27T03:56:43Z","0","0","0","0","0","0","0"
"f9ece2ade7778b8ffacbddfddcd0105362be60ca","2017-11-27T03:32:14Z","0","0","0","0","0","0","0"
"60a53abeaea498e24ab1ba683de593eed6737454","2017-11-27T03:32:14Z","0","0","0","0","0","0","0"
"0b27c57769224d2554e896355ea693af1bebf076","2017-11-27T03:32:14Z","0","0","0","0","0","0","0"
"918a79d3ff96d8e5a2fb740b403a86ff8e9cc2bc","2017-11-27T03:31:52Z","0","0","0","0","0","0","0"
"47f1c10e50c29addd31785e4051f4569fa91195b","2017-11-25T07:48:41Z","0","0","0","0","0","0","0"
"336924ea5de14fb998477eb6b0d3e2f569b97f43","2017-08-25T08:09:48Z","1","1","1","2","1","0","0"
"625f4201e8392c8815bc6a8080085b14d223e698","2017-07-29T07:58:12Z","0","0","0","0","0","0","0"
"0c69bc06cf5d227e8c51bd72bd5b559a2589b184","2017-07-29T07:51:43Z","0","0","0","0","0","0","0"
"0bbf9d845b0263f30d180e4c751470f9f4f543ce","2017-07-25T15:18:25Z","0","0","0","0","0","0","0"
"3f91a95b5c355f6e78a2064540a061386cd5c848","2017-07-14T21:20:41Z","0","0","0","0","0","0","0"
"e8b8b77eda9e5748008cd2abe12708cde7688d2e","2017-07-14T21:14:08Z","0","0","0","0","0","0","0"
"7bc0841989cb7a8eaf18d9b9a3af34fa38bb0371","2017-07-13T20:22:41Z","0","0","0","0","0","0","0"
"a8350fbd4d0fb0eb11faa45d135042228b4e40f3","2017-06-12T17:06:45Z","5","0","7","7","1","0","0"
"c91b037ae96212eedc2d7c160a07a11c59c01a41","2017-06-05T20:22:47Z","0","0","0","0","0","1","0"
"6654f4e9d9038a02ac1575951ea31046daf14313","2017-06-01T05:08:09Z","0","0","0","0","0","0","0"
"3c63f2a62273c83f41126dbf0b565777ce709a13","2017-06-01T05:02:58Z","0","0","0","0","0","0","0"
"5d9995c54edaf20d29a97667b14bb52966ebd464","2017-05-26T16:40:02Z","0","0","0","0","0","0","0"
"ecd2de234efd8e25e76fda9ce201456cb8300667","2017-05-26T16:37:19Z","0","0","0","0","0","0","0"
"c6ac517f03a3218e9ef6a1a6117917058ea64d58","2017-05-25T12:41:11Z","0","0","0","0","0","0","0"
"07e8eb7a0cd56e83a787cb210495a1a7a3d51c6f","2017-05-24T18:48:48Z","0","0","0","0","0","0","0"
"e6274dcd3683cdbae9e69b9f19d4bb7f37365f23","2017-05-24T18:06:06Z","0","0","0","0","0","0","0"
"178d74f33597247b718e770d90642c8dee6d793e","2017-05-12T23:33:30Z","0","0","0","0","0","0","0"
"7a885a57b7491d1e1795021a8d972993cc4d92ca","2017-04-24T14:19:49Z","0","0","0","0","0","0","0"
"0ebfad5f8aa78e0c8cf0dced9cbe99c2dc6a67d3","2017-04-24T13:44:17Z","0","0","0","0","0","0","0"
"824706a89161e666cbd3301079161edc5e4392ce","2017-04-17T23:02:45Z","0","0","0","0","0","0","0"
"0f4168f3d5973a16de52941277b6954e90beabe6","2017-04-17T23:00:04Z","1","2","0","2","1","0","0"
"fd488e7e053655fd3db98690ff0dbb2f312d3728","2017-04-17T22:58:16Z","1","2","0","2","1","0","0"
"fd64c0e00a97f4dcff8e3483eeadeca27264f0f6","2017-04-17T22:33:20Z","0","0","0","0","0","0","0"
"f37ac6971c2d2cf566f24ae7ff1e944c6af4a5a8","2017-04-17T22:20:18Z","1","4","2","6","1","0","0"
"c6fe3755b3f4e38fd4fc1cd2a8048ecd0e965b88","2017-04-17T22:19:57Z","0","0","0","0","0","0","0"
"ffa2bf19046a6f7cb8f123074bbfe4fa5bd061b2","2017-04-17T22:19:07Z","1","4","2","6","1","0","0"
"f31a66136201156ff66eae79c6836af37ace1756","2017-04-17T22:18:16Z","0","0","0","0","0","0","0"
"e78faeb91fd4ff1dd0979670c6a94afa32ba9c6e","2017-04-17T21:26:37Z","2","7","11","18","1","0","0"
"314a9888b6b39d55d33bb985f642adea01213892","2017-04-17T21:21:37Z","2","7","11","18","1","0","0"
"903ae504cf8d4920f720e4aa91a33f21f8291b00","2017-04-17T21:20:34Z","0","0","0","0","0","1","0"
"768f4bda8cd8ebe7d04527804327d933c3334e35","2017-04-17T20:09:22Z","0","0","0","0","0","1","0"
"61b931e496c0bd079f923361535a7c742894ef72","2017-04-17T19:30:34Z","1","1","1","2","1","0","0"
"338db9eaf1db6fa6a1a6715d4cec9f847bede323","2017-04-17T19:26:13Z","0","0","0","0","0","0","0"
"860379ccc7cbf5ebdb80f339c6c4e597d9c87b15","2017-04-17T19:25:41Z","0","0","0","0","0","0","0"
"867d030bba315467806eb4dd19de11540b69c82b","2017-04-17T19:01:22Z","0","0","0","0","0","0","0"
"3b5928b9ab6db5dc96dc724fe4d96be133763efa","2017-04-14T21:42:21Z","0","0","0","0","0","0","0"
"cc8a716c6adceab2076c4621126503f6ddf00742","2017-04-03T16:44:31Z","0","0","0","0","0","0","0"
"ba5ef8a33c41c5e625d588abfd038f528862ad41","2017-03-31T01:03:05Z","2","53","23","76","1","0","0"
"0821161ca250afac039da406a600e7f5212f0035","2017-03-30T20:49:25Z","0","0","0","0","0","0","0"
"ad8458466c38e7108d80821c230f638f0160a25f","2017-03-30T17:52:36Z","0","0","0","0","0","0","0"
"66e0d9f859deeea65e48fb4c38c8468e193653e1","2017-03-30T16:56:10Z","0","0","0","0","0","0","0"
"6623b9098b8f1c2f344b60ef26bab973b0a5de9c","2017-03-29T08:15:26Z","1","1","1","2","1","0","0"
"95e924e4a06a4d92a36a71cbd7d0f1904194fa28","2017-03-28T14:27:53Z","0","0","0","0","0","0","0"
"e70175ffe65a7398b174a869f75c807923d4b7a0","2017-03-26T21:45:55Z","1","1","0","1","1","0","0"
"fb98f3500f2f26e41ff7b9f4ed1119bd54ff8241","2017-03-22T19:20:41Z","1","1","0","1","1","0","0"
"a8aa0b486e3237eacde63d2ad44e209fb3501714","2017-03-16T01:53:31Z","0","0","0","0","0","0","0"
"e3be9fc676b2b4ba3b1511541bc082d48e6dad5f","2017-03-16T01:38:20Z","0","0","0","0","0","0","0"
"dc074f226f8a1c22d7dbc7317630335c09d62ca8","2017-03-15T21:20:41Z","7","147","35","182","1","0","0"
"392085da06a3b1651b4d336cc0c747ef900eac14","2017-03-15T21:07:47Z","0","0","0","0","0","0","0"
"c16cf2ba1ec49405551f72807ec080caddcbc859","2017-03-15T21:04:03Z","0","0","0","0","0","0","0"
"b416d7b74547e34a7649f78a0a7336dcfdac8715","2017-03-15T20:32:25Z","6","173","102","275","1","0","0"
"08218376791d1e29456a70e1aed983fdebf801fc","2017-03-14T22:47:04Z","0","0","0","0","0","0","0"
"1a173084e3f1e0356b6115477b6477ac3050dc6f","2017-03-14T22:46:31Z","0","0","0","0","0","0","0"
"7a1d36941003ba46ccc0361d1dde7f0e844142f0","2017-03-14T22:36:04Z","0","0","0","0","0","0","0"
"9095ccb367103f184786d8f013c04420f6eb5c10","2017-03-14T19:28:44Z","0","0","0","0","0","0","0"
"997e081fe518e2cbaa2c2ceb28895ea11fa27e37","2017-03-14T19:25:55Z","0","0","0","0","0","0","0"
"6aaa85b04763af25a93147ecfd671b05d9003c45","2017-03-14T17:54:21Z","0","0","0","0","0","0","0"
"64be535f5b67b889f6753ffa12e9742e78636745","2017-03-14T17:26:54Z","0","0","0","0","0","0","0"
"8694868aafa1af5b6fa81edfe798aae4b898d02d","2017-03-14T17:14:53Z","0","0","0","0","0","0","0"
"67f633a5c9234f27a8a1257b504af35820d43901","2017-03-14T17:12:23Z","0","0","0","0","0","0","0"
"41483ee030f815d6130d046c5bc1e9981a9a1085","2017-03-14T17:10:53Z","0","0","0","0","0","0","0"
"74ddeac8fd9d68881e21d50e27b710264a3974df","2017-03-14T17:06:31Z","0","0","0","0","0","0","0"
"022da02e704240f1f3baf8ea482fd17930e25abd","2017-03-14T16:56:53Z","0","0","0","0","0","0","0"
"85faf8999edc49a933c37dac1f3a4942df3d1b70","2017-03-14T16:56:35Z","0","0","0","0","0","0","0"
"6d99abc783dba44d3d658465ad7d0642a29a9da0","2017-03-14T05:54:15Z","0","0","0","0","0","0","0"
"10818895f67c6d5f3e9d724987899006ef5cfb51","2017-03-14T00:41:41Z","0","0","0","0","0","0","0"
"91ae656192d66ea716b900d3bec0f22dc8bd1faa","2017-03-12T01:58:29Z","0","0","0","0","0","0","0"
"a945f62cdc58c63b8d0b09d98a62376df7641a35","2017-03-12T01:43:09Z","2","2","2","4","1","0","0"
"560112ec07826e6f58b4ec93de4cb6979c0fc438","2017-03-12T01:43:08Z","0","0","0","0","0","0","0"
"d42856571cf23621443a8c34a4aeed52de9ada98","2017-03-12T01:43:08Z","0","0","0","0","0","0","0"
"c062310a0eb21dc0530a977f739d0192b5db27f3","2017-03-12T01:43:08Z","0","0","0","0","0","0","0"
"d48b0fdd89ff2b0ea29cc95ee92f2e26e34ad7c2","2017-03-12T01:43:08Z","0","0","0","0","0","0","0"
"8e55ef16f124727017521dafed94e1d9c75ebd28","2017-03-12T01:43:08Z","0","0","0","0","0","0","0"
"c71bbfcc7199240499d4885baf0a496ea4910b73","2017-03-12T01:43:08Z","2","37","4","41","1","0","0"
"a63b1f8419fee29a009b2036ef4f3cf6a94d7d04","2017-03-12T01:43:08Z","4","115","54","169","1","0","0"
"262b22fcbab4e750aaa2c75333e23db19c0eb517","2017-03-12T01:43:08Z","7","90","549","639","1","0","0"
"984a36ebf268e2a7bc1c078a3394e76e29e0faac","2017-03-12T01:43:07Z","8","337","107","444","1","0","0"
"4ca44668e53fe68209a35cf607f4c517430de9b6","2017-03-12T01:43:07Z","0","0","0","0","0","0","0"
"1ed9e863043ce2d796686d22069ca8f98fc6fd86","2017-03-12T01:43:07Z","2","1","2","3","1","0","0"
"481e8031f87dfc14cb30bb9acd56b17288b3ddd0","2017-03-12T01:43:07Z","6","113","36","149","1","1","0"
"6880884ff9dc94d245589ac2a33c804bfecf236b","2017-03-12T01:43:07Z","0","0","0","0","0","1","0"
"d9950f9507518640e47399853e625b22a9f140a6","2017-03-12T01:43:07Z","0","0","0","0","0","0","0"
"c8a9b994f4ad063d257d6bfef6411f54a7727316","2017-03-12T01:43:07Z","0","0","0","0","0","0","0"
"d698f00a469357d5f96a820ef96c1807c3f9ffbf","2017-03-12T01:43:07Z","1","12","0","12","1","0","0"
"b1406a3060d1d0e41fa608b019870e64ce5e1bb7","2017-03-12T01:43:06Z","0","0","0","0","0","0","0"
"dd35d45ef70d98bab375f9bbd9641de3db63f326","2017-03-12T01:43:06Z","0","0","0","0","0","0","0"
"c5efc3df8a7579bfd89fe9724e373b17f40154a7","2017-03-12T01:43:06Z","1","2","2","4","1","0","0"
"740cb5eae7e0b0f21f8eb13eb70dd76cf120633a","2017-03-12T01:43:06Z","4","26","10","36","1","0","0"
"b1e0594727405d12b95de567c485815be9cf46cb","2017-03-12T01:43:06Z","5","72","22","94","1","0","0"
"9345d40c8bab7d8ec1c2cbec46a5dc568e9a00a0","2017-03-12T01:43:06Z","1","14","1","15","1","0","0"
"37118c379c339850bf69ebe0bb716cade0e79efa","2017-03-12T01:43:06Z","1","1","0","1","1","0","0"
"b61b03e90bc5968043565672d448595784f70e67","2017-03-12T01:43:06Z","0","0","0","0","0","1","0"
"f876a4c009cbf573f8bdc45c3277d297ec56e4fe","2017-03-12T01:43:06Z","6","150","32","182","1","0","0"
"7936df968d87b283639fe6f6d60a9bd494731359","2017-03-12T01:43:05Z","1","3","3","6","1","0","0"
"cdcce73b6501ed1bc01cc01b5a6662693bd1eb8b","2017-03-12T01:43:05Z","0","0","0","0","0","0","0"
"b905734c114e9a648b02d27825f9645301ba1d48","2017-03-12T01:43:05Z","1","1","1","2","1","0","0"
"34b00a2c458709ddb58833afe5451996cecca253","2017-03-12T01:43:05Z","1","38","22","60","1","0","0"
"7d359b65620b58340c83bf950850fc0a6da906d6","2017-03-12T01:43:05Z","10","276","147","423","1","0","0"
"316dd568db623e32358a214ef9f598f1ba91a7a6","2017-03-12T01:43:05Z","3","76","50","126","1","1","0"
"3b3123090842d169a9d20e8435066cf91f4a2600","2017-03-12T01:43:05Z","8","401","689","1090","1","0","0"
"f7f9e013401fe84e1ebe39187648ab87cccf463f","2017-03-12T01:43:05Z","10","33","33","66","1","0","0"
"fef4c7292e61b8b8ee7a35901562d2fa830e6566","2017-03-12T01:43:05Z","2","80","76","156","1","0","0"
"c63cf90642bb4daf8beba7c9caec225c54df2573","2017-03-12T01:43:04Z","17","1436","74","1510","1","1","0"
"585a0f0539ce60f91fa31cc2158b91119395e253","2017-03-12T01:43:04Z","2","4","10","14","1","0","0"
"05cd5555563cdfd7aa1d55a9c9adb250f1014b5f","2017-03-12T01:43:04Z","4","41","59","100","1","0","0"
"1eb9bed018faa3514f8e02f28a1c4db6d91c20e4","2017-03-12T01:43:04Z","5","120","88","208","1","0","0"
"f353647d9300959d7db69a991dc6c8062c2b7d09","2017-03-12T01:43:04Z","1","4","1","5","1","1","0"
"3f4139e7c34def28c11aa5451ed40649c5e2f8a9","2017-03-12T01:43:04Z","2","38","18","56","1","0","0"
"116f1eff5f253fb6b81fb607c69dfe051f3f8c28","2017-03-12T01:43:04Z","2","11","8","19","1","1","0"
"df564805bd21b2e24744c54a3ddb32092ef9e60f","2017-03-12T01:43:04Z","0","0","0","0","0","0","0"
"45e78fb2b2a9713b0b6922f5e4cc8cc648f9e711","2017-03-12T01:43:03Z","3","50","3","53","1","1","0"
"1981a4455740333bfcd81c2c004cdeeb405d29d8","2017-03-12T01:43:03Z","0","0","0","0","0","0","0"
"95babae14616bb9a6d88cf3df3a8fedf11fc2beb","2017-03-12T01:43:03Z","0","0","0","0","0","0","0"
"67f2b6aedfc51d9a1fcef7b1483774fd121dbc18","2017-03-12T01:43:03Z","1","142","3","145","1","0","0"
"a421ff92f213a7c1f0fc7d37af29c4f75b6b8e71","2017-03-12T01:43:03Z","0","0","0","0","0","0","0"
"2e01665dc77726599ee81bb55674a760ee8d723a","2017-03-12T01:43:03Z","0","0","0","0","0","0","0"
"827e32405441ca9834f4f8078de0e2abf72b14e1","2017-03-12T01:43:03Z","11","845","310","1155","1","0","0"
"6a552ca69c85a68e5eb2ac429be9b3fd6ab87a76","2017-03-12T01:43:03Z","24","759","228","987","1","0","0"
"413ef3a5b6bafad168fbc667c30ed9f92ece1209","2017-03-12T01:43:02Z","7","170","46","216","1","0","0"
"7e4d092c0a8c37110646e0ba4410dabd462674bb","2017-03-12T01:43:02Z","2","4","4","8","1","1","0"
"bd99c29dc1c3fd4cc03333edc353afea7e7a4890","2017-03-12T01:43:02Z","3","3","3","6","1","1","0"
"9747ccbdc6aa42912ee6158a599a0fa8b1dcbfcb","2017-03-12T01:43:02Z","2","2","2","4","1","0","0"
"83557577cb41ac385b53dd74d3e028e1a55aada3","2017-03-12T01:43:02Z","9","92","114","206","1","1","0"
"5a7885ca51ea0198e846900439a9c218585ba734","2017-03-12T01:43:02Z","0","0","0","0","0","0","0"
"59084bf47d6d6515c320a309d538c83fc0a7165a","2017-03-12T01:43:02Z","11","1797","0","1797","1","0","0"
"9a072401447e8e2d4f2882ef00043e45f0b618af","2017-03-12T01:43:02Z","30","1234","2934","4168","1","1","0"
"a4ec54f1c60cb43c397243df463a3cb6417aed45","2017-03-12T01:42:40Z","31","3375","0","3375","1","1","0"
